Fund,Year,L2_Distance,Quantile
CSEIX,1999,0.010746414873100268,7
CSEIX,2000,0.01255876200749388,8
CSEIX,2001,0.010220693893015994,7
CSEIX,2002,0.012884338643316973,9
CSEIX,2003,0.007298447068092566,2
CSEIX,2004,0.009438835791859978,5
CSEIX,2005,0.012926423571921893,9
CSEIX,2006,0.011064865729032512,7
CSEIX,2007,0.009079789063491637,5
CSEIX,2008,0.02932017863761284,10
CSEIX,2009,0.0282919508655691,10
CSEIX,2010,0.009219657871287678,5
CSEIX,2011,0.008598023792216374,4
CSEIX,2012,0.005754341529059771,1
CSEIX,2013,0.007296889396047345,2
CSEIX,2014,0.008507375004026164,4
CSEIX,2015,0.017430993580690654,10
CSEIX,2016,0.008459325796348815,4
CSEIX,2017,0.0058326656284049564,1
CSEIX,2018,0.009180840111228215,5
CSEIX,2019,0.008042358660061567,3
CSEIX,2020,0.013897133654517552,9
CSEIX,2021,0.007161085774263843,2
CSEIX,2022,0.009666182586460445,6
CSEIX,2023,0.009338753762285922,5
CSEIX,2024,0.009157316601924108,5
CSEIX,2025,0.009680209119540515,6
CSEIX,2026,0.0002727082088377,1
DFREX,1999,0.010941919807431828,7
DFREX,2000,0.012925077379068367,9
DFREX,2001,0.01059281978548399,7
DFREX,2002,0.012870009566879578,9
DFREX,2003,0.007515527726202651,3
DFREX,2004,0.010293422271896446,7
DFREX,2005,0.00756679256760102,3
DFREX,2006,0.00757173810013215,3
DFREX,2007,0.013193583014287915,9
DFREX,2008,0.032008538379982125,10
DFREX,2009,0.03033701285353273,10
DFREX,2010,0.010078286312896886,6
DFREX,2011,0.009049081030296937,5
DFREX,2012,0.006021725141727952,1
DFREX,2013,0.0072177775885135746,2
DFREX,2014,0.006330503228281859,2
DFREX,2015,0.008289255237855246,4
DFREX,2016,0.00950047035011964,6
DFREX,2017,0.006234470553635723,1
DFREX,2018,0.009356256225971731,5
DFREX,2019,0.00810643958584374,3
DFREX,2020,0.015378074253840215,9
DFREX,2021,0.007508970865842809,3
DFREX,2022,0.0095488534458436,6
DFREX,2023,0.00921255909459173,5
DFREX,2024,0.009307193548469726,5
DFREX,2025,0.009641900163816872,6
DFREX,2026,0.0001772725838092,1
DPREX,1999,0.009731023946446427,6
DPREX,2000,0.011601629518575622,8
DPREX,2001,0.009550262126845229,6
DPREX,2002,0.011282832830414329,8
DPREX,2003,0.006826485184481355,2
DPREX,2004,0.011485913726779373,8
DPREX,2005,0.014115905091163236,9
DPREX,2006,0.03586819778375783,10
DPREX,2007,0.03148465989748951,10
DPREX,2008,0.03124073150773484,10
DPREX,2009,0.029436074436251933,10
DPREX,2010,0.010394985609658472,7
DPREX,2011,0.009468585744037597,5
DPREX,2012,0.006057538657125935,1
DPREX,2013,0.007413585958629934,3
DPREX,2014,0.006975591251771927,2
DPREX,2015,0.011377489590599456,8
DPREX,2016,0.021908555460572268,10
DPREX,2017,0.006467161152710068,2
DPREX,2018,0.008852231118293228,4
DPREX,2019,0.006840677300657404,2
DPREX,2020,0.0074946697505487,3
DPREX,2021,0.0049874840080930075,1
DPREX,2022,0.009748532798666418,6
