Fund,Year,L2_Distance,Quantile
FDCPX,1999,0.01614976985174931,9
FDCPX,2000,0.05714913760292686,10
FDCPX,2001,0.024949742664681907,10
FDCPX,2002,0.0149224562030827,9
FDCPX,2003,0.010191003144013345,7
FDCPX,2004,0.011147166156432705,7
FDCPX,2005,0.006934505444905475,4
FDCPX,2006,0.006735069877233258,4
FDCPX,2007,0.008147754733947686,5
FDCPX,2008,0.014939092562926744,9
FDCPX,2009,0.009289901483987064,6
FDCPX,2010,0.006318447221395752,3
FDCPX,2011,0.006704671426055587,4
FDCPX,2012,0.0060359578744705635,3
FDCPX,2013,0.008212243601881395,5
FDCPX,2014,0.006166202367555175,3
FDCPX,2015,0.006219975357815101,3
FDCPX,2016,0.006486751809268939,3
FDCPX,2017,0.007832986092288061,5
FDCPX,2018,0.016955229447813032,9
FDCPX,2019,0.008522114042342354,5
FDCPX,2020,0.0091720726985875,6
FDCPX,2021,0.010391438268361076,7
FDCPX,2022,0.011203503888170502,7
FDCPX,2023,0.00566377965857354,2
FDCPX,2024,0.006801407831946889,4
FDCPX,2025,0.009677839233006703,6
FDCPX,2026,0.0003993097689351,1
FSCSX,1999,0.016109652226048477,9
FSCSX,2000,0.0685724773004802,10
FSCSX,2001,0.02126197074245011,10
FSCSX,2002,0.012046455210460313,8
FSCSX,2003,0.00815402281384886,5
FSCSX,2004,0.007481917333887153,4
FSCSX,2005,0.006560175522311215,3
FSCSX,2006,0.005648543295003716,2
FSCSX,2007,0.006328706903578286,3
FSCSX,2008,0.011449224407291196,7
FSCSX,2009,0.008636777463215738,5
FSCSX,2010,0.0055774085930935,2
FSCSX,2011,0.008942670187856792,6
FSCSX,2012,0.006515105482371013,3
FSCSX,2013,0.005962570073081594,3
FSCSX,2014,0.01341044467354117,8
FSCSX,2015,0.005153774201853237,2
FSCSX,2016,0.00591205679124208,3
FSCSX,2017,0.0061305485176605355,3
FSCSX,2018,0.006657615394613144,3
FSCSX,2019,0.008910379102561133,6
FSCSX,2020,0.008983714953593689,6
FSCSX,2021,0.007179050874841357,4
FSCSX,2022,0.007990698786256788,5
FSCSX,2023,0.008230943841745154,5
FSCSX,2024,0.008998570423720431,6
FSCSX,2025,0.011798485571225576,8
FSCSX,2026,0.0005729260842842,1
