Fund,Year,L2_Distance,Sector,Quantile
ETHSX,1999,0.0078970881095108,healthcare,5
ETHSX,2000,0.0155558832967767,healthcare,10
ETHSX,2001,0.0110842091567911,healthcare,8
ETHSX,2002,0.0095205279916968,healthcare,7
ETHSX,2003,0.0078109560293373,healthcare,4
ETHSX,2004,0.0066786034376442,healthcare,3
ETHSX,2005,0.0063494256680851,healthcare,2
ETHSX,2006,0.005489673773198,healthcare,1
ETHSX,2007,0.0137368554321991,healthcare,10
ETHSX,2008,0.0154301509722918,healthcare,10
ETHSX,2009,0.0075819069290776,healthcare,4
ETHSX,2010,0.0066418039351822,healthcare,3
ETHSX,2011,0.008164446919645,healthcare,5
ETHSX,2012,0.0110809031499992,healthcare,8
ETHSX,2013,0.0097551365398647,healthcare,7
ETHSX,2014,0.0141318513585305,healthcare,10
ETHSX,2015,0.0107711014263222,healthcare,8
ETHSX,2016,0.0124707697856873,healthcare,9
ETHSX,2017,0.0050960819195425,healthcare,1
ETHSX,2018,0.0052838209569964,healthcare,1
ETHSX,2019,0.0062372806702418,healthcare,2
ETHSX,2020,0.0085737139505401,healthcare,6
ETHSX,2021,0.0076346062906172,healthcare,4
ETHSX,2022,0.00676915724519,healthcare,3
ETHSX,2023,0.0056041478901395,healthcare,2
ETHSX,2024,0.0066899317406383,healthcare,3
ETHSX,2025,0.0099309700833342,healthcare,7
FACDX,1999,0.0088744057766582,healthcare,6
FACDX,2000,0.0146540309521846,healthcare,10
FACDX,2001,0.0111472058206443,healthcare,8
FACDX,2002,0.009567924816816,healthcare,7
FACDX,2003,0.0058173039163349,healthcare,2
FACDX,2004,0.0052845999124766,healthcare,1
FACDX,2005,0.0042794722712647,healthcare,1
FACDX,2006,0.0080180131284068,healthcare,5
FACDX,2007,0.0058035840008581,healthcare,2
FACDX,2008,0.0078426407757724,healthcare,4
FACDX,2009,0.0083812751585244,healthcare,5
FACDX,2010,0.0045541428518212,healthcare,1
FACDX,2011,0.0092775643886234,healthcare,7
FACDX,2012,0.0070407349365949,healthcare,3
FACDX,2013,0.0076671430825278,healthcare,4
FACDX,2014,0.0106664109220661,healthcare,8
FACDX,2015,0.0092543013145369,healthcare,6
FACDX,2016,0.0084201495179919,healthcare,5
FACDX,2017,0.0051642533756056,healthcare,1
FACDX,2018,0.0058773394734228,healthcare,2
FACDX,2019,0.0064920297554932,healthcare,3
FACDX,2020,0.0095156023942706,healthcare,7
FACDX,2021,0.008401639898843,healthcare,5
FACDX,2022,0.0085786495508396,healthcare,6
FACDX,2023,0.0062210070064465,healthcare,2
