Fund,Year,L2_Distance,Sector,Quantile
CSEIX,1999,0.0107464185446104,re,7
CSEIX,2000,0.0125587577411856,re,8
CSEIX,2001,0.0102206901342598,re,6
CSEIX,2002,0.0128843350562088,re,9
CSEIX,2003,0.007298444769962,re,2
CSEIX,2004,0.0094388339931123,re,5
CSEIX,2005,0.0129264218187862,re,9
CSEIX,2006,0.0110648625621401,re,7
CSEIX,2007,0.0090797954408951,re,4
CSEIX,2008,0.0293201794044797,re,10
CSEIX,2009,0.0282919505913501,re,10
CSEIX,2010,0.0092196570210435,re,5
CSEIX,2011,0.0085980243843445,re,4
CSEIX,2012,0.0057543422830664,re,1
CSEIX,2013,0.0072968940035951,re,2
CSEIX,2014,0.0085073718786552,re,4
CSEIX,2015,0.0174309911802747,re,9
CSEIX,2016,0.008459327090777,re,3
CSEIX,2017,0.005832669997025,re,1
CSEIX,2018,0.009180840619296,re,5
CSEIX,2019,0.0080423575705215,re,3
CSEIX,2020,0.0138971363908106,re,9
CSEIX,2021,0.0071610831867708,re,2
CSEIX,2022,0.009666184641496,re,6
CSEIX,2023,0.0093387564566022,re,5
CSEIX,2024,0.009157320335337,re,5
CSEIX,2025,0.0096802111694405,re,6
DFREX,1999,0.010941921607154,re,7
DFREX,2000,0.0129250744117405,re,9
DFREX,2001,0.0105928173202789,re,7
DFREX,2002,0.0128700069180671,re,9
DFREX,2003,0.0075155262690851,re,3
DFREX,2004,0.0102934203741222,re,6
DFREX,2005,0.007566791732152,re,3
DFREX,2006,0.0075717359613918,re,3
DFREX,2007,0.0131935847264409,re,9
DFREX,2008,0.0320085388047871,re,10
DFREX,2009,0.0303370127935214,re,10
DFREX,2010,0.0100782853663167,re,6
DFREX,2011,0.0090490808261296,re,4
DFREX,2012,0.0060217251331315,re,1
DFREX,2013,0.00721778137673,re,2
DFREX,2014,0.0063305011687342,re,1
DFREX,2015,0.0082892555461066,re,3
DFREX,2016,0.00950047102374,re,5
DFREX,2017,0.0062344731325607,re,1
DFREX,2018,0.0093562560842837,re,5
DFREX,2019,0.0081064396127876,re,3
DFREX,2020,0.0153780758200179,re,9
DFREX,2021,0.0075089692288913,re,2
DFREX,2022,0.009548854363348,re,5
DFREX,2023,0.0092125607307058,re,5
DFREX,2024,0.0093071958149154,re,5
DFREX,2025,0.0096419016226267,re,6
DPREX,1999,0.0097310307952072,re,6
DPREX,2000,0.0116016222654073,re,8
DPREX,2001,0.0095502582921936,re,5
DPREX,2002,0.0112828275705041,re,7
DPREX,2003,0.0068264832036447,re,2
DPREX,2004,0.0114859093640814,re,8
DPREX,2005,0.0141159029547601,re,9
DPREX,2006,0.0358681931795952,re,10
DPREX,2007,0.0314846589253433,re,10
DPREX,2008,0.0312407336472071,re,10
DPREX,2009,0.0294360754319658,re,10
DPREX,2010,0.0103949853177019,re,7
DPREX,2011,0.0094685871279097,re,5
DPREX,2012,0.0060575415598628,re,1
DPREX,2013,0.0074135955073023,re,2
DPREX,2014,0.006975587426886,re,2
DPREX,2015,0.0113774888127804,re,8
DPREX,2016,0.0219085534235755,re,10
DPREX,2017,0.0064671704680296,re,1
DPREX,2018,0.0088522347794202,re,4
DPREX,2019,0.0068406771799518,re,2
DPREX,2020,0.0074946766043516,re,2
DPREX,2021,0.0049874896927398,re,1
DPREX,2022,0.0097485294552276,re,6
DPREX,2023,0.0049541111474735,re,1
DPREX,2024,0.0058437502928387,re,1
DPREX,2025,0.0071363790916808,re,2
FREAX,1999,0.010925292654695,re,7
FREAX,2000,0.0129519176846474,re,9
FREAX,2001,0.0132076602686964,re,9
FREAX,2002,0.0122343299982128,re,8
FREAX,2003,0.0088515045731532,re,4
FREAX,2004,0.0107081016066029,re,7
FREAX,2005,0.0111422151763568,re,7
FREAX,2006,0.010466164379351,re,7
FREAX,2007,0.0151723871702627,re,9
FREAX,2008,0.0288956751796813,re,10
FREAX,2009,0.0282173837192274,re,10
FREAX,2010,0.0094824010662749,re,5
FREAX,2011,0.0088455480796613,re,4
FREAX,2012,0.0061934834820893,re,1
FREAX,2013,0.0081739757875485,re,3
FREAX,2014,0.0063207710705748,re,1
FREAX,2015,0.0085235507832287,re,4
FREAX,2016,0.0091859505936013,re,5
FREAX,2017,0.0095102570177558,re,5
FREAX,2018,0.009223138382576,re,5
FREAX,2019,0.0103528539337989,re,7
FREAX,2020,0.0126451649874987,re,8
FREAX,2021,0.0131038587072783,re,9
FREAX,2022,0.0115151843010245,re,8
FREAX,2023,0.0090371099715891,re,4
FREAX,2024,0.0092912279054006,re,5
FREAX,2025,0.0095575046916936,re,5
FRESX,1999,0.0113580183726085,re,7
FRESX,2000,0.0132950494941875,re,9
FRESX,2001,0.0114324704696202,re,8
