symbol,year,actual_days_available,target_days,days_matched,days_imputed,imputation_rate_pct,completeness_pct,zero_returns
ICPAX,1999,187,252,187,65,25.79,74.21,65
ICPAX,2000,251,252,251,1,0.4,99.6,1
ICPAX,2001,246,252,246,6,2.38,97.62,6
ICPAX,2002,250,252,250,2,0.79,99.21,2
ICPAX,2003,250,252,250,2,0.79,99.21,2
ICPAX,2004,250,252,250,2,0.79,99.21,2
ICPAX,2005,251,252,251,1,0.4,99.6,1
ICPAX,2006,250,252,250,2,0.79,99.21,2
ICPAX,2007,249,252,249,3,1.19,98.81,3
ICPAX,2008,251,252,251,1,0.4,99.6,1
ICPAX,2009,250,252,250,2,0.79,99.21,2
ICPAX,2010,250,252,250,2,0.79,99.21,2
ICPAX,2011,251,252,251,1,0.4,99.6,1
ICPAX,2012,248,252,248,4,1.59,98.41,4
ICPAX,2013,250,252,250,2,0.79,99.21,2
ICPAX,2014,250,252,250,2,0.79,99.21,2
ICPAX,2015,250,252,250,2,0.79,99.21,2
ICPAX,2016,251,252,251,1,0.4,99.6,1
ICPAX,2017,250,252,250,2,0.79,99.21,2
ICPAX,2018,249,252,249,3,1.19,98.81,3
ICPAX,2019,250,252,250,2,0.79,99.21,2
ICPAX,2020,251,252,251,1,0.4,99.6,1
ICPAX,2021,250,252,250,2,0.79,99.21,2
ICPAX,2022,250,252,250,2,0.79,99.21,2
ICPAX,2023,249,252,249,3,1.19,98.81,3
ICPAX,2024,250,252,250,2,0.79,99.21,2
ICPAX,2025,248,252,248,4,1.59,98.41,4
VGENX,1999,250,252,250,2,0.79,99.21,2
VGENX,2000,251,252,251,1,0.4,99.6,1
VGENX,2001,246,252,246,6,2.38,97.62,6
VGENX,2002,250,252,250,2,0.79,99.21,2
VGENX,2003,250,252,250,2,0.79,99.21,2
VGENX,2004,250,252,250,2,0.79,99.21,2
VGENX,2005,251,252,251,1,0.4,99.6,1
VGENX,2006,250,252,250,2,0.79,99.21,2
VGENX,2007,249,252,249,3,1.19,98.81,3
VGENX,2008,251,252,251,1,0.4,99.6,1
VGENX,2009,250,252,250,2,0.79,99.21,2
VGENX,2010,250,252,250,2,0.79,99.21,2
VGENX,2011,251,252,251,1,0.4,99.6,1
VGENX,2012,248,252,248,4,1.59,98.41,4
VGENX,2013,250,252,250,2,0.79,99.21,2
VGENX,2014,250,252,250,2,0.79,99.21,2
VGENX,2015,250,252,250,2,0.79,99.21,2
VGENX,2016,251,252,251,1,0.4,99.6,1
VGENX,2017,250,252,250,2,0.79,99.21,2
VGENX,2018,249,252,249,3,1.19,98.81,3
VGENX,2019,250,252,250,2,0.79,99.21,2
VGENX,2020,251,252,251,1,0.4,99.6,1
VGENX,2021,250,252,250,2,0.79,99.21,2
VGENX,2022,250,252,250,2,0.79,99.21,2
VGENX,2023,249,252,249,3,1.19,98.81,3
VGENX,2024,250,252,250,2,0.79,99.21,2
VGENX,2025,248,252,248,4,1.59,98.41,4
