Year,HEALTHCARE_Median_Return
1999,0.0753527997087502
2000,0.5169953948682744
2001,-0.045067047589214315
2002,-0.17808882148460747
2003,0.2753388884452028
2004,0.09536995478423682
2005,0.15052940630293232
2006,0.037676662344381606
2007,0.10616266220538706
2008,-0.247099879992295
2009,0.303831071706117
2010,0.129828177830297
2011,0.0671427170791048
2012,0.17041160827236923
2013,0.41956158175886205
2014,0.30444437785702205
2015,0.08247923924761169
2016,-0.08346071160624069
2017,0.22811390244929952
2018,0.032408644888983096
2019,0.3048215208301135
2020,0.20727632710246313
2021,0.15187505077202212
2022,-0.11740277569102553
2023,0.05425231550185794
2024,0.021860609584767765
2025,0.14129582061047308
