symbol,year,actual_days_available,target_days,days_matched,days_imputed,imputation_rate_pct,completeness_pct,zero_returns
CSEIX,1999,250,252,250,2,0.79,99.21,2
CSEIX,2000,251,252,251,1,0.4,99.6,1
CSEIX,2001,246,252,246,6,2.38,97.62,6
CSEIX,2002,250,252,250,2,0.79,99.21,2
CSEIX,2003,250,252,250,2,0.79,99.21,2
CSEIX,2004,250,252,250,2,0.79,99.21,2
CSEIX,2005,251,252,251,1,0.4,99.6,1
CSEIX,2006,250,252,250,2,0.79,99.21,2
CSEIX,2007,249,252,249,3,1.19,98.81,3
CSEIX,2008,251,252,251,1,0.4,99.6,1
CSEIX,2009,250,252,250,2,0.79,99.21,2
CSEIX,2010,250,252,250,2,0.79,99.21,2
CSEIX,2011,251,252,251,1,0.4,99.6,1
CSEIX,2012,248,252,248,4,1.59,98.41,4
CSEIX,2013,250,252,250,2,0.79,99.21,2
CSEIX,2014,250,252,250,2,0.79,99.21,2
CSEIX,2015,250,252,250,2,0.79,99.21,2
CSEIX,2016,251,252,251,1,0.4,99.6,1
CSEIX,2017,250,252,250,2,0.79,99.21,2
CSEIX,2018,249,252,249,3,1.19,98.81,3
CSEIX,2019,250,252,250,2,0.79,99.21,2
CSEIX,2020,251,252,251,1,0.4,99.6,1
CSEIX,2021,250,252,250,2,0.79,99.21,2
CSEIX,2022,250,252,250,2,0.79,99.21,2
CSEIX,2023,249,252,249,3,1.19,98.81,3
CSEIX,2024,250,252,250,2,0.79,99.21,2
CSEIX,2025,248,252,248,4,1.59,98.41,4
FRESX,1999,250,252,250,2,0.79,99.21,2
FRESX,2000,251,252,251,1,0.4,99.6,1
FRESX,2001,246,252,246,6,2.38,97.62,6
FRESX,2002,250,252,250,2,0.79,99.21,2
FRESX,2003,250,252,250,2,0.79,99.21,2
FRESX,2004,250,252,250,2,0.79,99.21,2
FRESX,2005,251,252,251,1,0.4,99.6,1
FRESX,2006,250,252,250,2,0.79,99.21,2
FRESX,2007,249,252,249,3,1.19,98.81,3
FRESX,2008,251,252,251,1,0.4,99.6,1
FRESX,2009,250,252,250,2,0.79,99.21,2
FRESX,2010,250,252,250,2,0.79,99.21,2
FRESX,2011,251,252,251,1,0.4,99.6,1
FRESX,2012,248,252,248,4,1.59,98.41,4
FRESX,2013,250,252,250,2,0.79,99.21,2
FRESX,2014,250,252,250,2,0.79,99.21,2
FRESX,2015,250,252,250,2,0.79,99.21,2
FRESX,2016,251,252,251,1,0.4,99.6,1
FRESX,2017,250,252,250,2,0.79,99.21,2
FRESX,2018,249,252,249,3,1.19,98.81,3
FRESX,2019,250,252,250,2,0.79,99.21,2
FRESX,2020,251,252,251,1,0.4,99.6,1
FRESX,2021,250,252,250,2,0.79,99.21,2
FRESX,2022,250,252,250,2,0.79,99.21,2
FRESX,2023,249,252,249,3,1.19,98.81,3
FRESX,2024,250,252,250,2,0.79,99.21,2
FRESX,2025,248,252,248,4,1.59,98.41,4
DFREX,1999,250,252,250,2,0.79,99.21,2
DFREX,2000,251,252,251,1,0.4,99.6,1
DFREX,2001,246,252,246,6,2.38,97.62,6
DFREX,2002,250,252,250,2,0.79,99.21,2
DFREX,2003,250,252,250,2,0.79,99.21,2
DFREX,2004,250,252,250,2,0.79,99.21,2
DFREX,2005,251,252,251,1,0.4,99.6,1
DFREX,2006,250,252,250,2,0.79,99.21,2
DFREX,2007,249,252,249,3,1.19,98.81,3
DFREX,2008,251,252,251,1,0.4,99.6,1
DFREX,2009,250,252,250,2,0.79,99.21,2
DFREX,2010,250,252,250,2,0.79,99.21,2
DFREX,2011,251,252,251,1,0.4,99.6,1
DFREX,2012,248,252,248,4,1.59,98.41,4
DFREX,2013,250,252,250,2,0.79,99.21,2
DFREX,2014,250,252,250,2,0.79,99.21,2
DFREX,2015,250,252,250,2,0.79,99.21,2
DFREX,2016,251,252,251,1,0.4,99.6,1
DFREX,2017,250,252,250,2,0.79,99.21,2
DFREX,2018,249,252,249,3,1.19,98.81,3
DFREX,2019,250,252,250,2,0.79,99.21,2
DFREX,2020,251,252,251,1,0.4,99.6,1
DFREX,2021,250,252,250,2,0.79,99.21,2
DFREX,2022,250,252,250,2,0.79,99.21,2
DFREX,2023,249,252,249,3,1.19,98.81,3
DFREX,2024,250,252,250,2,0.79,99.21,2
DFREX,2025,248,252,248,4,1.59,98.41,4
TRREX,1999,250,252,250,2,0.79,99.21,2
TRREX,2000,251,252,251,1,0.4,99.6,1
TRREX,2001,246,252,246,6,2.38,97.62,6
TRREX,2002,250,252,250,2,0.79,99.21,2
TRREX,2003,250,252,250,2,0.79,99.21,2
TRREX,2004,250,252,250,2,0.79,99.21,2
TRREX,2005,251,252,251,1,0.4,99.6,1
TRREX,2006,250,252,250,2,0.79,99.21,2
TRREX,2007,249,252,249,3,1.19,98.81,3
TRREX,2008,251,252,251,1,0.4,99.6,1
TRREX,2009,250,252,250,2,0.79,99.21,2
TRREX,2010,250,252,250,2,0.79,99.21,2
TRREX,2011,251,252,251,1,0.4,99.6,1
TRREX,2012,248,252,248,4,1.59,98.41,4
TRREX,2013,250,252,250,2,0.79,99.21,2
TRREX,2014,250,252,250,2,0.79,99.21,2
TRREX,2015,250,252,250,2,0.79,99.21,2
TRREX,2016,251,252,251,1,0.4,99.6,1
TRREX,2017,250,252,250,2,0.79,99.21,2
TRREX,2018,249,252,249,3,1.19,98.81,3
TRREX,2019,250,252,250,2,0.79,99.21,2
TRREX,2020,251,252,251,1,0.4,99.6,1
TRREX,2021,250,252,250,2,0.79,99.21,2
TRREX,2022,250,252,250,2,0.79,99.21,2
TRREX,2023,249,252,249,3,1.19,98.81,3
TRREX,2024,250,252,250,2,0.79,99.21,2
TRREX,2025,248,252,248,4,1.59,98.41,4
PHRAX,1999,250,252,250,2,0.79,99.21,2
PHRAX,2000,251,252,251,1,0.4,99.6,1
PHRAX,2001,246,252,246,6,2.38,97.62,6
PHRAX,2002,250,252,250,2,0.79,99.21,2
PHRAX,2003,250,252,250,2,0.79,99.21,2
PHRAX,2004,250,252,250,2,0.79,99.21,2
PHRAX,2005,251,252,251,1,0.4,99.6,1
PHRAX,2006,250,252,250,2,0.79,99.21,2
PHRAX,2007,249,252,249,3,1.19,98.81,3
PHRAX,2008,251,252,251,1,0.4,99.6,1
PHRAX,2009,250,252,250,2,0.79,99.21,2
PHRAX,2010,250,252,250,2,0.79,99.21,2
PHRAX,2011,251,252,251,1,0.4,99.6,1
PHRAX,2012,248,252,248,4,1.59,98.41,4
PHRAX,2013,250,252,250,2,0.79,99.21,2
PHRAX,2014,250,252,250,2,0.79,99.21,2
PHRAX,2015,250,252,250,2,0.79,99.21,2
PHRAX,2016,251,252,251,1,0.4,99.6,1
PHRAX,2017,250,252,250,2,0.79,99.21,2
PHRAX,2018,249,252,249,3,1.19,98.81,3
PHRAX,2019,250,252,250,2,0.79,99.21,2
PHRAX,2020,251,252,251,1,0.4,99.6,1
PHRAX,2021,250,252,250,2,0.79,99.21,2
PHRAX,2022,250,252,250,2,0.79,99.21,2
PHRAX,2023,249,252,249,3,1.19,98.81,3
PHRAX,2024,250,252,250,2,0.79,99.21,2
PHRAX,2025,248,252,248,4,1.59,98.41,4
DPREX,1999,250,252,250,2,0.79,99.21,2
DPREX,2000,251,252,251,1,0.4,99.6,1
DPREX,2001,246,252,246,6,2.38,97.62,6
DPREX,2002,250,252,250,2,0.79,99.21,2
DPREX,2003,250,252,250,2,0.79,99.21,2
DPREX,2004,250,252,250,2,0.79,99.21,2
DPREX,2005,251,252,251,1,0.4,99.6,1
DPREX,2006,250,252,250,2,0.79,99.21,2
DPREX,2007,249,252,249,3,1.19,98.81,3
DPREX,2008,251,252,251,1,0.4,99.6,1
DPREX,2009,250,252,250,2,0.79,99.21,2
DPREX,2010,250,252,250,2,0.79,99.21,2
DPREX,2011,251,252,251,1,0.4,99.6,1
DPREX,2012,248,252,248,4,1.59,98.41,4
DPREX,2013,250,252,250,2,0.79,99.21,2
DPREX,2014,250,252,250,2,0.79,99.21,2
DPREX,2015,250,252,250,2,0.79,99.21,2
DPREX,2016,251,252,251,1,0.4,99.6,1
DPREX,2017,250,252,250,2,0.79,99.21,2
DPREX,2018,249,252,249,3,1.19,98.81,3
DPREX,2019,250,252,250,2,0.79,99.21,2
DPREX,2020,251,252,251,1,0.4,99.6,1
DPREX,2021,250,252,250,2,0.79,99.21,2
DPREX,2022,250,252,250,2,0.79,99.21,2
DPREX,2023,249,252,249,3,1.19,98.81,3
DPREX,2024,250,252,250,2,0.79,99.21,2
DPREX,2025,248,252,248,4,1.59,98.41,4
FREAX,1999,250,252,250,2,0.79,99.21,2
FREAX,2000,251,252,251,1,0.4,99.6,1
FREAX,2001,246,252,246,6,2.38,97.62,6
FREAX,2002,250,252,250,2,0.79,99.21,2
FREAX,2003,250,252,250,2,0.79,99.21,2
FREAX,2004,250,252,250,2,0.79,99.21,2
FREAX,2005,251,252,251,1,0.4,99.6,1
FREAX,2006,250,252,250,2,0.79,99.21,2
FREAX,2007,249,252,249,3,1.19,98.81,3
FREAX,2008,251,252,251,1,0.4,99.6,1
FREAX,2009,250,252,250,2,0.79,99.21,2
FREAX,2010,250,252,250,2,0.79,99.21,2
FREAX,2011,251,252,251,1,0.4,99.6,1
FREAX,2012,248,252,248,4,1.59,98.41,4
FREAX,2013,250,252,250,2,0.79,99.21,2
FREAX,2014,250,252,250,2,0.79,99.21,2
FREAX,2015,250,252,250,2,0.79,99.21,2
FREAX,2016,251,252,251,1,0.4,99.6,1
FREAX,2017,250,252,250,2,0.79,99.21,2
FREAX,2018,249,252,249,3,1.19,98.81,3
FREAX,2019,250,252,250,2,0.79,99.21,2
FREAX,2020,251,252,251,1,0.4,99.6,1
FREAX,2021,250,252,250,2,0.79,99.21,2
FREAX,2022,250,252,250,2,0.79,99.21,2
FREAX,2023,249,252,249,3,1.19,98.81,3
FREAX,2024,250,252,250,2,0.79,99.21,2
FREAX,2025,248,252,248,4,1.59,98.41,4
IARAX,1999,250,252,250,2,0.79,99.21,2
IARAX,2000,251,252,251,1,0.4,99.6,1
IARAX,2001,246,252,246,6,2.38,97.62,6
IARAX,2002,250,252,250,2,0.79,99.21,2
IARAX,2003,250,252,250,2,0.79,99.21,2
IARAX,2004,250,252,250,2,0.79,99.21,2
IARAX,2005,251,252,251,1,0.4,99.6,1
IARAX,2006,250,252,250,2,0.79,99.21,2
IARAX,2007,249,252,249,3,1.19,98.81,3
IARAX,2008,251,252,251,1,0.4,99.6,1
IARAX,2009,250,252,250,2,0.79,99.21,2
IARAX,2010,250,252,250,2,0.79,99.21,2
IARAX,2011,251,252,251,1,0.4,99.6,1
IARAX,2012,248,252,248,4,1.59,98.41,4
IARAX,2013,250,252,250,2,0.79,99.21,2
IARAX,2014,250,252,250,2,0.79,99.21,2
IARAX,2015,250,252,250,2,0.79,99.21,2
IARAX,2016,251,252,251,1,0.4,99.6,1
IARAX,2017,250,252,250,2,0.79,99.21,2
IARAX,2018,249,252,249,3,1.19,98.81,3
IARAX,2019,250,252,250,2,0.79,99.21,2
IARAX,2020,251,252,251,1,0.4,99.6,1
IARAX,2021,250,252,250,2,0.79,99.21,2
IARAX,2022,250,252,250,2,0.79,99.21,2
IARAX,2023,249,252,249,3,1.19,98.81,3
IARAX,2024,250,252,250,2,0.79,99.21,2
IARAX,2025,248,252,248,4,1.59,98.41,4
RPFRX,1999,250,252,250,2,0.79,99.21,2
RPFRX,2000,251,252,251,1,0.4,99.6,1
RPFRX,2001,246,252,246,6,2.38,97.62,6
RPFRX,2002,250,252,250,2,0.79,99.21,2
RPFRX,2003,250,252,250,2,0.79,99.21,2
RPFRX,2004,250,252,250,2,0.79,99.21,2
RPFRX,2005,251,252,251,1,0.4,99.6,1
RPFRX,2006,250,252,250,2,0.79,99.21,2
RPFRX,2007,249,252,249,3,1.19,98.81,3
RPFRX,2008,251,252,251,1,0.4,99.6,1
RPFRX,2009,250,252,250,2,0.79,99.21,2
RPFRX,2010,250,252,250,2,0.79,99.21,2
RPFRX,2011,251,252,251,1,0.4,99.6,1
RPFRX,2012,248,252,248,4,1.59,98.41,4
RPFRX,2013,250,252,250,2,0.79,99.21,2
RPFRX,2014,250,252,250,2,0.79,99.21,2
RPFRX,2015,250,252,250,2,0.79,99.21,2
RPFRX,2016,251,252,251,1,0.4,99.6,1
RPFRX,2017,250,252,250,2,0.79,99.21,2
RPFRX,2018,249,252,249,3,1.19,98.81,3
RPFRX,2019,250,252,250,2,0.79,99.21,2
RPFRX,2020,251,252,251,1,0.4,99.6,1
RPFRX,2021,250,252,250,2,0.79,99.21,2
RPFRX,2022,250,252,250,2,0.79,99.21,2
RPFRX,2023,249,252,249,3,1.19,98.81,3
RPFRX,2024,250,252,250,2,0.79,99.21,2
RPFRX,2025,248,252,248,4,1.59,98.41,4
SOAAX,1999,250,252,250,2,0.79,99.21,2
SOAAX,2000,251,252,251,1,0.4,99.6,1
SOAAX,2001,246,252,246,6,2.38,97.62,6
SOAAX,2002,250,252,250,2,0.79,99.21,2
SOAAX,2003,250,252,250,2,0.79,99.21,2
SOAAX,2004,250,252,250,2,0.79,99.21,2
SOAAX,2005,251,252,251,1,0.4,99.6,1
SOAAX,2006,250,252,250,2,0.79,99.21,2
SOAAX,2007,249,252,249,3,1.19,98.81,3
SOAAX,2008,251,252,251,1,0.4,99.6,1
SOAAX,2009,250,252,250,2,0.79,99.21,2
SOAAX,2010,250,252,250,2,0.79,99.21,2
SOAAX,2011,251,252,251,1,0.4,99.6,1
SOAAX,2012,248,252,248,4,1.59,98.41,4
SOAAX,2013,250,252,250,2,0.79,99.21,2
SOAAX,2014,250,252,250,2,0.79,99.21,2
SOAAX,2015,250,252,250,2,0.79,99.21,2
SOAAX,2016,251,252,251,1,0.4,99.6,1
SOAAX,2017,250,252,250,2,0.79,99.21,2
SOAAX,2018,249,252,249,3,1.19,98.81,3
SOAAX,2019,250,252,250,2,0.79,99.21,2
SOAAX,2020,251,252,251,1,0.4,99.6,1
SOAAX,2021,250,252,250,2,0.79,99.21,2
SOAAX,2022,250,252,250,2,0.79,99.21,2
SOAAX,2023,249,252,249,3,1.19,98.81,3
SOAAX,2024,250,252,250,2,0.79,99.21,2
SOAAX,2025,248,252,248,4,1.59,98.41,4
STMDX,1999,250,252,250,2,0.79,99.21,2
STMDX,2000,251,252,251,1,0.4,99.6,1
STMDX,2001,246,252,246,6,2.38,97.62,6
STMDX,2002,250,252,250,2,0.79,99.21,2
STMDX,2003,250,252,250,2,0.79,99.21,2
STMDX,2004,250,252,250,2,0.79,99.21,2
STMDX,2005,251,252,251,1,0.4,99.6,1
STMDX,2006,250,252,250,2,0.79,99.21,2
STMDX,2007,249,252,249,3,1.19,98.81,3
STMDX,2008,251,252,251,1,0.4,99.6,1
STMDX,2009,250,252,250,2,0.79,99.21,2
STMDX,2010,250,252,250,2,0.79,99.21,2
STMDX,2011,251,252,251,1,0.4,99.6,1
STMDX,2012,248,252,248,4,1.59,98.41,4
STMDX,2013,250,252,250,2,0.79,99.21,2
STMDX,2014,250,252,250,2,0.79,99.21,2
STMDX,2015,250,252,250,2,0.79,99.21,2
STMDX,2016,251,252,251,1,0.4,99.6,1
STMDX,2017,250,252,250,2,0.79,99.21,2
STMDX,2018,249,252,249,3,1.19,98.81,3
STMDX,2019,250,252,250,2,0.79,99.21,2
STMDX,2020,251,252,251,1,0.4,99.6,1
STMDX,2021,250,252,250,2,0.79,99.21,2
STMDX,2022,250,252,250,2,0.79,99.21,2
STMDX,2023,249,252,249,3,1.19,98.81,3
STMDX,2024,250,252,250,2,0.79,99.21,2
STMDX,2025,248,252,248,4,1.59,98.41,4
SPY,1999,250,252,250,2,0.79,99.21,2
SPY,2000,251,252,251,1,0.4,99.6,1
SPY,2001,246,252,246,6,2.38,97.62,6
SPY,2002,250,252,250,2,0.79,99.21,2
SPY,2003,250,252,250,2,0.79,99.21,2
SPY,2004,250,252,250,2,0.79,99.21,2
SPY,2005,251,252,251,1,0.4,99.6,1
SPY,2006,250,252,250,2,0.79,99.21,2
SPY,2007,249,252,249,3,1.19,98.81,3
SPY,2008,251,252,251,1,0.4,99.6,1
SPY,2009,250,252,250,2,0.79,99.21,2
SPY,2010,250,252,250,2,0.79,99.21,2
SPY,2011,251,252,251,1,0.4,99.6,1
SPY,2012,248,252,248,4,1.59,98.41,4
SPY,2013,250,252,250,2,0.79,99.21,2
SPY,2014,250,252,250,2,0.79,99.21,2
SPY,2015,250,252,250,2,0.79,99.21,2
SPY,2016,251,252,251,1,0.4,99.6,1
SPY,2017,250,252,250,2,0.79,99.21,2
SPY,2018,249,252,249,3,1.19,98.81,3
SPY,2019,250,252,250,2,0.79,99.21,2
SPY,2020,251,252,251,1,0.4,99.6,1
SPY,2021,250,252,250,2,0.79,99.21,2
SPY,2022,250,252,250,2,0.79,99.21,2
SPY,2023,249,252,249,3,1.19,98.81,3
SPY,2024,250,252,250,2,0.79,99.21,2
SPY,2025,248,252,248,4,1.59,98.41,4
