Year,TECHNOLOGY_Median_Return
1999,1.0179310556160752
2000,-0.2647163531398561
2001,-0.17442579213513765
2002,-0.4234496343816494
2003,0.43365683342830685
2004,0.026277382411935335
2005,0.047619184854025054
2006,0.06719526007405197
2007,0.19169333914538322
2008,-0.47416974357228225
2009,0.6895603096934022
2010,0.16980224977682923
2011,-0.05639837861773778
2012,0.09178861900981605
2013,0.27459289244459906
2014,0.16635180254784698
2015,0.08601038524193139
2016,0.17253806213752032
2017,0.3417678911726061
2018,-0.08082172932928056
2019,0.42001740346373007
2020,0.4272822907234721
2021,0.24612072306286614
2022,-0.32203885574577384
2023,0.4764339632075638
2024,0.30234360743128574
2025,0.24100391093822982
