symbol,year,actual_days_available,target_days,days_matched,days_imputed,imputation_rate_pct,completeness_pct,zero_returns
KTCAX,1999,250,252,250,2,0.79,99.21,2
KTCAX,2000,251,252,251,1,0.4,99.6,1
KTCAX,2001,246,252,246,6,2.38,97.62,6
KTCAX,2002,250,252,250,2,0.79,99.21,2
KTCAX,2003,250,252,250,2,0.79,99.21,2
KTCAX,2004,250,252,250,2,0.79,99.21,2
KTCAX,2005,251,252,251,1,0.4,99.6,1
KTCAX,2006,250,252,250,2,0.79,99.21,2
KTCAX,2007,249,252,249,3,1.19,98.81,3
KTCAX,2008,251,252,251,1,0.4,99.6,1
KTCAX,2009,250,252,250,2,0.79,99.21,2
KTCAX,2010,250,252,250,2,0.79,99.21,2
KTCAX,2011,251,252,251,1,0.4,99.6,1
KTCAX,2012,248,252,248,4,1.59,98.41,4
KTCAX,2013,250,252,250,2,0.79,99.21,2
KTCAX,2014,250,252,250,2,0.79,99.21,2
KTCAX,2015,250,252,250,2,0.79,99.21,2
KTCAX,2016,251,252,251,1,0.4,99.6,1
KTCAX,2017,250,252,250,2,0.79,99.21,2
KTCAX,2018,249,252,249,3,1.19,98.81,3
KTCAX,2019,250,252,250,2,0.79,99.21,2
KTCAX,2020,251,252,251,1,0.4,99.6,1
KTCAX,2021,250,252,250,2,0.79,99.21,2
KTCAX,2022,250,252,250,2,0.79,99.21,2
KTCAX,2023,249,252,249,3,1.19,98.81,3
KTCAX,2024,250,252,250,2,0.79,99.21,2
KTCAX,2025,248,252,248,4,1.59,98.41,4
MTCAX,1999,250,252,250,2,0.79,99.21,2
MTCAX,2000,251,252,251,1,0.4,99.6,1
MTCAX,2001,246,252,246,6,2.38,97.62,6
MTCAX,2002,250,252,250,2,0.79,99.21,2
MTCAX,2003,250,252,250,2,0.79,99.21,2
MTCAX,2004,250,252,250,2,0.79,99.21,2
MTCAX,2005,251,252,251,1,0.4,99.6,1
MTCAX,2006,250,252,250,2,0.79,99.21,2
MTCAX,2007,249,252,249,3,1.19,98.81,3
MTCAX,2008,251,252,251,1,0.4,99.6,1
MTCAX,2009,250,252,250,2,0.79,99.21,2
MTCAX,2010,250,252,250,2,0.79,99.21,2
MTCAX,2011,251,252,251,1,0.4,99.6,1
MTCAX,2012,248,252,248,4,1.59,98.41,4
MTCAX,2013,250,252,250,2,0.79,99.21,2
MTCAX,2014,250,252,250,2,0.79,99.21,2
MTCAX,2015,250,252,250,2,0.79,99.21,2
MTCAX,2016,251,252,251,1,0.4,99.6,1
MTCAX,2017,250,252,250,2,0.79,99.21,2
MTCAX,2018,249,252,249,3,1.19,98.81,3
MTCAX,2019,250,252,250,2,0.79,99.21,2
MTCAX,2020,251,252,251,1,0.4,99.6,1
MTCAX,2021,250,252,250,2,0.79,99.21,2
MTCAX,2022,250,252,250,2,0.79,99.21,2
MTCAX,2023,249,252,249,3,1.19,98.81,3
MTCAX,2024,250,252,250,2,0.79,99.21,2
MTCAX,2025,248,252,248,4,1.59,98.41,4
SLMCX,1999,250,252,250,2,0.79,99.21,2
SLMCX,2000,251,252,251,1,0.4,99.6,1
SLMCX,2001,246,252,246,6,2.38,97.62,6
SLMCX,2002,250,252,250,2,0.79,99.21,2
SLMCX,2003,250,252,250,2,0.79,99.21,2
SLMCX,2004,250,252,250,2,0.79,99.21,2
SLMCX,2005,251,252,251,1,0.4,99.6,1
SLMCX,2006,250,252,250,2,0.79,99.21,2
SLMCX,2007,249,252,249,3,1.19,98.81,3
SLMCX,2008,251,252,251,1,0.4,99.6,1
SLMCX,2009,250,252,250,2,0.79,99.21,2
SLMCX,2010,250,252,250,2,0.79,99.21,2
SLMCX,2011,251,252,251,1,0.4,99.6,1
SLMCX,2012,248,252,248,4,1.59,98.41,4
SLMCX,2013,250,252,250,2,0.79,99.21,2
SLMCX,2014,250,252,250,2,0.79,99.21,2
SLMCX,2015,250,252,250,2,0.79,99.21,2
SLMCX,2016,251,252,251,1,0.4,99.6,1
SLMCX,2017,250,252,250,2,0.79,99.21,2
SLMCX,2018,249,252,249,3,1.19,98.81,3
SLMCX,2019,250,252,250,2,0.79,99.21,2
SLMCX,2020,251,252,251,1,0.4,99.6,1
SLMCX,2021,250,252,250,2,0.79,99.21,2
SLMCX,2022,250,252,250,2,0.79,99.21,2
SLMCX,2023,249,252,249,3,1.19,98.81,3
SLMCX,2024,250,252,250,2,0.79,99.21,2
SLMCX,2025,248,252,248,4,1.59,98.41,4
RSIFX,1999,250,252,250,2,0.79,99.21,2
RSIFX,2000,251,252,251,1,0.4,99.6,1
RSIFX,2001,246,252,246,6,2.38,97.62,6
RSIFX,2002,250,252,250,2,0.79,99.21,2
RSIFX,2003,250,252,250,2,0.79,99.21,2
RSIFX,2004,250,252,250,2,0.79,99.21,2
RSIFX,2005,251,252,251,1,0.4,99.6,1
RSIFX,2006,250,252,250,2,0.79,99.21,2
RSIFX,2007,249,252,249,3,1.19,98.81,3
RSIFX,2008,251,252,251,1,0.4,99.6,1
RSIFX,2009,250,252,250,2,0.79,99.21,2
RSIFX,2010,250,252,250,2,0.79,99.21,2
RSIFX,2011,251,252,251,1,0.4,99.6,1
RSIFX,2012,248,252,248,4,1.59,98.41,4
RSIFX,2013,250,252,250,2,0.79,99.21,2
RSIFX,2014,250,252,250,2,0.79,99.21,2
RSIFX,2015,250,252,250,2,0.79,99.21,2
RSIFX,2016,251,252,251,1,0.4,99.6,1
RSIFX,2017,250,252,250,2,0.79,99.21,2
RSIFX,2018,249,252,249,3,1.19,98.81,3
RSIFX,2019,250,252,250,2,0.79,99.21,2
RSIFX,2020,251,252,251,1,0.4,99.6,1
RSIFX,2021,250,252,250,2,0.79,99.21,2
RSIFX,2022,250,252,250,2,0.79,99.21,2
RSIFX,2023,249,252,249,3,1.19,98.81,3
RSIFX,2024,250,252,250,2,0.79,99.21,2
RSIFX,2025,248,252,248,4,1.59,98.41,4
FSPTX,1999,250,252,250,2,0.79,99.21,2
FSPTX,2000,251,252,251,1,0.4,99.6,1
FSPTX,2001,246,252,246,6,2.38,97.62,6
FSPTX,2002,250,252,250,2,0.79,99.21,2
FSPTX,2003,250,252,250,2,0.79,99.21,2
FSPTX,2004,250,252,250,2,0.79,99.21,2
FSPTX,2005,251,252,251,1,0.4,99.6,1
FSPTX,2006,250,252,250,2,0.79,99.21,2
FSPTX,2007,249,252,249,3,1.19,98.81,3
FSPTX,2008,251,252,251,1,0.4,99.6,1
FSPTX,2009,250,252,250,2,0.79,99.21,2
FSPTX,2010,250,252,250,2,0.79,99.21,2
FSPTX,2011,251,252,251,1,0.4,99.6,1
FSPTX,2012,248,252,248,4,1.59,98.41,4
FSPTX,2013,250,252,250,2,0.79,99.21,2
FSPTX,2014,250,252,250,2,0.79,99.21,2
FSPTX,2015,250,252,250,2,0.79,99.21,2
FSPTX,2016,251,252,251,1,0.4,99.6,1
FSPTX,2017,250,252,250,2,0.79,99.21,2
FSPTX,2018,249,252,249,3,1.19,98.81,3
FSPTX,2019,250,252,250,2,0.79,99.21,2
FSPTX,2020,251,252,251,1,0.4,99.6,1
FSPTX,2021,250,252,250,2,0.79,99.21,2
FSPTX,2022,250,252,250,2,0.79,99.21,2
FSPTX,2023,249,252,249,3,1.19,98.81,3
FSPTX,2024,250,252,250,2,0.79,99.21,2
FSPTX,2025,248,252,248,4,1.59,98.41,4
FSCSX,1999,250,252,250,2,0.79,99.21,2
FSCSX,2000,251,252,251,1,0.4,99.6,1
FSCSX,2001,246,252,246,6,2.38,97.62,6
