symbol,year,actual_days_available,target_days,days_matched,days_imputed,imputation_rate_pct,completeness_pct,zero_returns
BULIX,1999,250,252,250,2,0.79,99.21,2
BULIX,2000,251,252,251,1,0.4,99.6,1
BULIX,2001,246,252,246,6,2.38,97.62,6
BULIX,2002,250,252,250,2,0.79,99.21,2
BULIX,2003,250,252,250,2,0.79,99.21,2
BULIX,2004,250,252,250,2,0.79,99.21,2
BULIX,2005,251,252,251,1,0.4,99.6,1
BULIX,2006,250,252,250,2,0.79,99.21,2
BULIX,2007,249,252,249,3,1.19,98.81,3
BULIX,2008,251,252,251,1,0.4,99.6,1
BULIX,2009,250,252,250,2,0.79,99.21,2
BULIX,2010,250,252,250,2,0.79,99.21,2
BULIX,2011,251,252,251,1,0.4,99.6,1
BULIX,2012,248,252,248,4,1.59,98.41,4
BULIX,2013,250,252,250,2,0.79,99.21,2
BULIX,2014,250,252,250,2,0.79,99.21,2
BULIX,2015,250,252,250,2,0.79,99.21,2
BULIX,2016,251,252,251,1,0.4,99.6,1
BULIX,2017,250,252,250,2,0.79,99.21,2
BULIX,2018,249,252,249,3,1.19,98.81,3
BULIX,2019,250,252,250,2,0.79,99.21,2
BULIX,2020,251,252,251,1,0.4,99.6,1
BULIX,2021,250,252,250,2,0.79,99.21,2
BULIX,2022,250,252,250,2,0.79,99.21,2
BULIX,2023,249,252,249,3,1.19,98.81,3
BULIX,2024,250,252,250,2,0.79,99.21,2
BULIX,2025,248,252,248,4,1.59,98.41,4
MMUFX,1999,250,252,250,2,0.79,99.21,2
MMUFX,2000,251,252,251,1,0.4,99.6,1
MMUFX,2001,246,252,246,6,2.38,97.62,6
MMUFX,2002,250,252,250,2,0.79,99.21,2
MMUFX,2003,250,252,250,2,0.79,99.21,2
MMUFX,2004,250,252,250,2,0.79,99.21,2
MMUFX,2005,251,252,251,1,0.4,99.6,1
MMUFX,2006,250,252,250,2,0.79,99.21,2
MMUFX,2007,249,252,249,3,1.19,98.81,3
MMUFX,2008,251,252,251,1,0.4,99.6,1
MMUFX,2009,250,252,250,2,0.79,99.21,2
MMUFX,2010,250,252,250,2,0.79,99.21,2
MMUFX,2011,251,252,251,1,0.4,99.6,1
MMUFX,2012,248,252,248,4,1.59,98.41,4
MMUFX,2013,250,252,250,2,0.79,99.21,2
MMUFX,2014,250,252,250,2,0.79,99.21,2
MMUFX,2015,250,252,250,2,0.79,99.21,2
MMUFX,2016,251,252,251,1,0.4,99.6,1
MMUFX,2017,250,252,250,2,0.79,99.21,2
MMUFX,2018,249,252,249,3,1.19,98.81,3
MMUFX,2019,250,252,250,2,0.79,99.21,2
MMUFX,2020,251,252,251,1,0.4,99.6,1
MMUFX,2021,250,252,250,2,0.79,99.21,2
MMUFX,2022,250,252,250,2,0.79,99.21,2
MMUFX,2023,249,252,249,3,1.19,98.81,3
MMUFX,2024,250,252,250,2,0.79,99.21,2
MMUFX,2025,248,252,248,4,1.59,98.41,4
PRUAX,1999,250,252,250,2,0.79,99.21,2
PRUAX,2000,251,252,251,1,0.4,99.6,1
PRUAX,2001,246,252,246,6,2.38,97.62,6
PRUAX,2002,250,252,250,2,0.79,99.21,2
PRUAX,2003,250,252,250,2,0.79,99.21,2
PRUAX,2004,250,252,250,2,0.79,99.21,2
PRUAX,2005,251,252,251,1,0.4,99.6,1
PRUAX,2006,250,252,250,2,0.79,99.21,2
PRUAX,2007,249,252,249,3,1.19,98.81,3
PRUAX,2008,251,252,251,1,0.4,99.6,1
PRUAX,2009,250,252,250,2,0.79,99.21,2
PRUAX,2010,250,252,250,2,0.79,99.21,2
PRUAX,2011,251,252,251,1,0.4,99.6,1
PRUAX,2012,248,252,248,4,1.59,98.41,4
PRUAX,2013,250,252,250,2,0.79,99.21,2
PRUAX,2014,250,252,250,2,0.79,99.21,2
PRUAX,2015,250,252,250,2,0.79,99.21,2
PRUAX,2016,251,252,251,1,0.4,99.6,1
PRUAX,2017,250,252,250,2,0.79,99.21,2
PRUAX,2018,249,252,249,3,1.19,98.81,3
PRUAX,2019,250,252,250,2,0.79,99.21,2
PRUAX,2020,251,252,251,1,0.4,99.6,1
PRUAX,2021,250,252,250,2,0.79,99.21,2
PRUAX,2022,250,252,250,2,0.79,99.21,2
PRUAX,2023,249,252,249,3,1.19,98.81,3
PRUAX,2024,250,252,250,2,0.79,99.21,2
PRUAX,2025,248,252,248,4,1.59,98.41,4
FKUTX,1999,250,252,250,2,0.79,99.21,2
FKUTX,2000,251,252,251,1,0.4,99.6,1
FKUTX,2001,246,252,246,6,2.38,97.62,6
FKUTX,2002,250,252,250,2,0.79,99.21,2
FKUTX,2003,250,252,250,2,0.79,99.21,2
FKUTX,2004,250,252,250,2,0.79,99.21,2
FKUTX,2005,251,252,251,1,0.4,99.6,1
