Fund,Year,L2_Distance,Sector
CSEIX,1999,0.01074641854461043,re
CSEIX,2000,0.012558757741185665,re
CSEIX,2001,0.01022069013425985,re
CSEIX,2002,0.01288433505620886,re
CSEIX,2003,0.007298444769962068,re
CSEIX,2004,0.009438833993112327,re
CSEIX,2005,0.012926421818786227,re
CSEIX,2006,0.011064862562140104,re
CSEIX,2007,0.009079795440895143,re
CSEIX,2008,0.02932017940447977,re
CSEIX,2009,0.02829195059135019,re
CSEIX,2010,0.009219657021043581,re
CSEIX,2011,0.008598024384344564,re
CSEIX,2012,0.005754342283066411,re
CSEIX,2013,0.0072968940035951875,re
CSEIX,2014,0.008507371878655271,re
CSEIX,2015,0.01743099118027472,re
CSEIX,2016,0.008459327090777,re
CSEIX,2017,0.005832669997025023,re
CSEIX,2018,0.009180840619296084,re
CSEIX,2019,0.008042357570521585,re
CSEIX,2020,0.013897136390810602,re
CSEIX,2021,0.007161083186770847,re
CSEIX,2022,0.009666184641496014,re
CSEIX,2023,0.009338756456602287,re
CSEIX,2024,0.009157320335337038,re
CSEIX,2025,0.009680211169440548,re
DFREX,1999,0.010941921607154013,re
DFREX,2000,0.012925074411740546,re
DFREX,2001,0.010592817320278914,re
DFREX,2002,0.012870006918067112,re
DFREX,2003,0.0075155262690851845,re
DFREX,2004,0.010293420374122205,re
DFREX,2005,0.007566791732152042,re
DFREX,2006,0.007571735961391821,re
DFREX,2007,0.013193584726440905,re
DFREX,2008,0.0320085388047871,re
DFREX,2009,0.030337012793521436,re
DFREX,2010,0.010078285366316771,re
DFREX,2011,0.009049080826129688,re
DFREX,2012,0.006021725133131511,re
DFREX,2013,0.007217781376730018,re
DFREX,2014,0.006330501168734225,re
DFREX,2015,0.00828925554610663,re
DFREX,2016,0.009500471023740065,re
DFREX,2017,0.006234473132560772,re
DFREX,2018,0.009356256084283792,re
DFREX,2019,0.008106439612787609,re
DFREX,2020,0.015378075820017994,re
DFREX,2021,0.007508969228891345,re
DFREX,2022,0.009548854363348066,re
DFREX,2023,0.009212560730705874,re
DFREX,2024,0.009307195814915462,re
DFREX,2025,0.00964190162262672,re
DPREX,1999,0.009731030795207296,re
DPREX,2000,0.01160162226540733,re
DPREX,2001,0.009550258292193699,re
DPREX,2002,0.011282827570504169,re
DPREX,2003,0.006826483203644763,re
DPREX,2004,0.011485909364081422,re
