Fund,Year,L2_Norm,Sector
BULIX,1999,0.10127145983845771,utilities
BULIX,2000,0.14870253212017281,utilities
BULIX,2001,0.1418551579351147,utilities
BULIX,2002,0.15865434525704278,utilities
BULIX,2003,0.07966709825102884,utilities
BULIX,2004,0.06888568576280724,utilities
BULIX,2005,0.07671749180818734,utilities
BULIX,2006,0.0576686607477218,utilities
BULIX,2007,0.07983596920685401,utilities
BULIX,2008,0.14007463597711692,utilities
BULIX,2009,0.10520808427226057,utilities
BULIX,2010,0.06071802198769763,utilities
BULIX,2011,0.06637179239124631,utilities
BULIX,2012,0.06458045459962554,utilities
BULIX,2013,0.07349603018859935,utilities
BULIX,2014,0.0854278396169989,utilities
BULIX,2015,0.09756007811847135,utilities
BULIX,2016,0.11314988450096847,utilities
BULIX,2017,0.07765536350231253,utilities
BULIX,2018,0.11792509822464023,utilities
BULIX,2019,0.09083901019929158,utilities
BULIX,2020,0.18913086393630738,utilities
BULIX,2021,0.11046938748663666,utilities
BULIX,2022,0.1416391738445056,utilities
BULIX,2023,0.150942448033423,utilities
BULIX,2024,0.1493759583628447,utilities
BULIX,2025,0.13282644881865313,utilities
EVUAX,1999,0.08724634054598208,utilities
EVUAX,2000,0.1879354412130899,utilities
EVUAX,2001,0.14080142830745407,utilities
EVUAX,2002,0.14844631134086414,utilities
EVUAX,2003,0.07561233217215035,utilities
EVUAX,2004,0.06660962704068514,utilities
EVUAX,2005,0.076096697706483,utilities
EVUAX,2006,0.06043806973302566,utilities
EVUAX,2007,0.08366924139245835,utilities
EVUAX,2008,0.1312716696052031,utilities
EVUAX,2009,0.0790435264216672,utilities
EVUAX,2010,0.062069862169491195,utilities
EVUAX,2011,0.06168746112072843,utilities
EVUAX,2012,0.0549094050121396,utilities
EVUAX,2013,0.06087495505999703,utilities
EVUAX,2014,0.07797779195232761,utilities
EVUAX,2015,0.09269191607414204,utilities
EVUAX,2016,0.10905221200281578,utilities
EVUAX,2017,0.07710813882150172,utilities
EVUAX,2018,0.10839128957898127,utilities
EVUAX,2019,0.08477012305673147,utilities
EVUAX,2020,0.1646027872104005,utilities
EVUAX,2021,0.10945785341002437,utilities
EVUAX,2022,0.1406347158520353,utilities
EVUAX,2023,0.13008744299806443,utilities
EVUAX,2024,0.1292282015172696,utilities
EVUAX,2025,0.11704848136679594,utilities
FIUIX,1999,0.10409686995752665,utilities
FIUIX,2000,0.186434435496108,utilities
FIUIX,2001,0.11862149724209148,utilities
FIUIX,2002,0.16167039225600674,utilities
FIUIX,2003,0.09237197169459702,utilities
FIUIX,2004,0.06906196294121139,utilities
FIUIX,2005,0.07296014879475261,utilities
FIUIX,2006,0.06034035266833079,utilities
FIUIX,2007,0.08075764611836127,utilities
FIUIX,2008,0.14504658759418457,utilities
FIUIX,2009,0.11206399732748587,utilities
FIUIX,2010,0.06444001751493478,utilities
FIUIX,2011,0.07283370625731296,utilities
FIUIX,2012,0.06131021118046535,utilities
FIUIX,2013,0.0689406173333431,utilities
FIUIX,2014,0.07254830455839449,utilities
FIUIX,2015,0.07902211544920901,utilities
FIUIX,2016,0.10001886124201877,utilities
FIUIX,2017,0.06507327585460856,utilities
FIUIX,2018,0.09980281562989488,utilities
FIUIX,2019,0.08343999993863246,utilities
FIUIX,2020,0.14830246577674902,utilities
FIUIX,2021,0.10401289050613897,utilities
FIUIX,2022,0.13197714355275628,utilities
FIUIX,2023,0.12368419268992997,utilities
FIUIX,2024,0.13519724765673402,utilities
FIUIX,2025,0.12446533039535451,utilities
