Fund,Year,L2_Distance,Sector
FNARX,1999,0.01662682655433287,energy
FNARX,2000,0.020252992336231408,energy
FNARX,2001,0.01486164398533742,energy
FNARX,2002,0.011195956954640537,energy
FNARX,2003,0.009603912005353814,energy
FNARX,2004,0.00908385226029614,energy
FNARX,2005,0.012282185522616153,energy
FNARX,2006,0.013631159613527144,energy
FNARX,2007,0.009515525701758778,energy
FNARX,2008,0.02778835441269099,energy
FNARX,2009,0.015374522807419874,energy
FNARX,2010,0.0077790491362452075,energy
FNARX,2011,0.010397365185750554,energy
FNARX,2012,0.0071805933243579015,energy
FNARX,2013,0.006799139756829417,energy
FNARX,2014,0.012256241842534567,energy
FNARX,2015,0.012498492403686036,energy
FNARX,2016,0.014764359069837939,energy
FNARX,2017,0.009988363526332825,energy
FNARX,2018,0.00935539018267041,energy
FNARX,2019,0.0082159585918928,energy
FNARX,2020,0.018172179190701694,energy
FNARX,2021,0.01377465897499012,energy
FNARX,2022,0.019738560627238104,energy
FNARX,2023,0.012686474274496642,energy
FNARX,2024,0.010461372785407104,energy
FNARX,2025,0.010023859814795812,energy
FSENX,1999,0.01683816596362025,energy
FSENX,2000,0.022128747129177853,energy
FSENX,2001,0.018103046065367168,energy
FSENX,2002,0.012441861305198346,energy
FSENX,2003,0.011112027840196152,energy
FSENX,2004,0.0102105116891365,energy
FSENX,2005,0.012945891185458419,energy
FSENX,2006,0.014578924093327826,energy
FSENX,2007,0.010293756815366505,energy
FSENX,2008,0.027469408204393912,energy
FSENX,2009,0.01567676497485285,energy
FSENX,2010,0.007836233241979108,energy
FSENX,2011,0.009975355969668765,energy
FSENX,2012,0.006758050578330168,energy
FSENX,2013,0.010117139552563943,energy
FSENX,2014,0.011151122941261431,energy
FSENX,2015,0.012433162468161358,energy
FSENX,2016,0.015227146769612366,energy
FSENX,2017,0.010653708815848276,energy
FSENX,2018,0.011106211273321745,energy
FSENX,2019,0.010711220372449988,energy
FSENX,2020,0.024858829781981947,energy
FSENX,2021,0.01706899123412447,energy
FSENX,2022,0.021926260434416762,energy
FSENX,2023,0.014315137822626906,energy
FSENX,2024,0.01176150345124704,energy
FSENX,2025,0.011984164061061647,energy
ICPAX,1999,0.011343228529332672,energy
ICPAX,2000,0.021039733471197003,energy
ICPAX,2001,0.008341213447076638,energy
ICPAX,2002,0.007320716621550933,energy
ICPAX,2003,0.0058853866093289825,energy
ICPAX,2004,0.005203580303452068,energy
ICPAX,2005,0.022231238802119364,energy
ICPAX,2006,0.06076337173485646,energy
