Sector,Fund,Selection Freq (%),Mean Marginal Impact,95% CI Lower,95% CI Upper
healthcare,FBDIX,95.15,0.387163477,0.24170017500000002,0.5223818
healthcare,VGHCX,4.2,0.2193275395,0.068258075,0.388696
healthcare,FSHCX,0.65,0.242694727,0.109553525,0.37423765
energy,PRNEX,94.35,0.9107388945,0.46,1.292222
energy,ICPAX,5.6000000000000005,0.3423588945,-0.06691699999999999,0.6722497749999998
energy,VGENX,0.05,0.4032788945,0.075556,0.7600277749999999
technology,FSELX,89.45,0.25624615949999996,0.12941687500000001,0.3939067249999999
technology,FDCPX,5.35,0.1704711595,0.07692755,0.25901419999999997
technology,SHGTX,3.45,0.0627511595,-0.044142324999999996,0.186531075
utilities,MMUFX,47.349999999999994,0.1879546915,0.048611125,0.33828125
utilities,ICTUX,32.300000000000004,0.1652818605,0.029364475,0.3026145999999999
utilities,PRUAX,12.15,0.1172818425,-0.017910275,0.270247
real estate,RPFRX,52.449999999999996,0.214276201,0.024369675,0.39976852499999993
real estate,SOAAX,27.700000000000003,0.17018120099999998,-0.008514075000000001,0.3753185499999994
real estate,DPREX,15.2,0.11829620099999999,-0.126630575,0.31355812499999997
