,healthcare,energy,technology,utilities,real estate
CSEIX,0.0,0.0,0.0,0.0,2.85
DFREX,0.0,0.0,0.0,0.0,0.1
DPREX,0.0,0.0,0.0,0.0,15.2
EVUAX,0.0,0.0,0.0,0.5,0.0
FBDIX,95.15,0.0,0.0,0.0,0.0
FDCPX,0.0,0.0,5.35,0.0,0.0
FIUIX,0.0,0.0,0.0,0.8500000000000001,0.0
FKUTX,0.0,0.0,0.0,3.3000000000000003,0.0
FREAX,0.0,0.0,0.0,0.0,0.15
FSELX,0.0,0.0,89.45,0.0,0.0
FSHCX,0.65,0.0,0.0,0.0,0.0
FSUTX,0.0,0.0,0.0,1.7500000000000002,0.0
FUGAX,0.0,0.0,0.0,1.3,0.0
GASFX,0.0,0.0,0.0,0.5,0.0
IARAX,0.0,0.0,0.0,0.0,0.35000000000000003
ICPAX,0.0,5.6000000000000005,0.0,0.0,0.0
ICTEX,0.0,0.0,0.05,0.0,0.0
ICTUX,0.0,0.0,0.0,32.300000000000004,0.0
MMUFX,0.0,0.0,0.0,47.349999999999994,0.0
PHRAX,0.0,0.0,0.0,0.0,0.4
PRNEX,0.0,94.35,0.0,0.0,0.0
PRUAX,0.0,0.0,0.0,12.15,0.0
ROGSX,0.0,0.0,0.1,0.0,0.0
RPFRX,0.0,0.0,0.0,0.0,52.449999999999996
RSIFX,0.0,0.0,1.6,0.0,0.0
SHGTX,0.0,0.0,3.45,0.0,0.0
SOAAX,0.0,0.0,0.0,0.0,27.700000000000003
STMDX,0.0,0.0,0.0,0.0,0.5499999999999999
TRREX,0.0,0.0,0.0,0.0,0.25
VGENX,0.0,0.05,0.0,0.0,0.0
VGHCX,4.2,0.0,0.0,0.0,0.0
