Fund,Year,Decile,KMeans,Ward
DPREX,1999,4,1,9
RPFRX,1999,5,1,9
DPREX,2000,5,1,9
RPFRX,2000,4,1,9
DPREX,2001,3,8,2
RPFRX,2001,3,8,2
DPREX,2002,6,7,3
RPFRX,2002,6,7,3
DPREX,2003,4,8,2
RPFRX,2003,3,8,2
DPREX,2004,8,10,5
RPFRX,2004,8,10,5
DPREX,2005,6,7,3
RPFRX,2005,5,7,3
DPREX,2006,6,7,3
RPFRX,2006,4,1,9
DPREX,2007,9,3,10
RPFRX,2007,7,5,7
DPREX,2008,10,2,4
RPFRX,2008,10,4,1
DPREX,2009,10,4,1
RPFRX,2009,10,6,8
DPREX,2010,7,5,7
RPFRX,2010,5,7,3
DPREX,2011,7,5,7
RPFRX,2011,5,7,3
DPREX,2012,4,1,9
RPFRX,2012,3,8,2
DPREX,2013,5,7,3
RPFRX,2013,5,1,3
DPREX,2014,4,8,2
RPFRX,2014,2,8,2
DPREX,2015,7,5,7
RPFRX,2015,5,7,3
DPREX,2016,7,5,7
RPFRX,2016,6,7,3
DPREX,2017,4,1,9
RPFRX,2017,4,8,2
DPREX,2018,7,5,7
RPFRX,2018,7,5,7
DPREX,2019,4,1,9
RPFRX,2019,5,1,3
DPREX,2020,4,1,9
RPFRX,2020,10,6,6
DPREX,2021,1,8,2
RPFRX,2021,6,7,3
DPREX,2022,3,8,2
RPFRX,2022,8,10,5
DPREX,2023,2,8,2
RPFRX,2023,9,3,10
DPREX,2024,2,8,2
RPFRX,2024,8,10,5
DPREX,2025,2,8,2
RPFRX,2025,8,10,7
