,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,12.0,18.0,18.0,14.0,14.0,21.0,16.0,14.0,16.0,18.0
DFREX,12.0,0.0,22.0,16.0,10.0,15.0,17.0,19.0,16.0,15.0,18.0
DPREX,18.0,22.0,0.0,24.0,21.0,22.0,22.0,16.0,19.0,17.0,20.0
FREAX,18.0,16.0,24.0,0.0,17.0,17.0,20.0,21.0,17.0,19.0,20.0
FRESX,14.0,10.0,21.0,17.0,0.0,15.0,14.0,19.0,16.0,17.0,18.0
IARAX,14.0,15.0,22.0,17.0,15.0,0.0,19.0,15.0,19.0,18.0,19.0
PHRAX,21.0,17.0,22.0,20.0,14.0,19.0,0.0,22.0,23.0,21.0,22.0
RPFRX,16.0,19.0,16.0,21.0,19.0,15.0,22.0,0.0,18.0,14.0,17.0
SOAAX,14.0,16.0,19.0,17.0,16.0,19.0,23.0,18.0,0.0,18.0,13.0
STMDX,16.0,15.0,17.0,19.0,17.0,18.0,21.0,14.0,18.0,0.0,16.0
TRREX,18.0,18.0,20.0,20.0,18.0,19.0,22.0,17.0,13.0,16.0,0.0
