Fund,H_without_fund,drop_in_diversification
FSELX,0.7317460317460317,0.018903318903318977
RSIFX,0.7388888888888889,0.011760461760461749
FDCPX,0.7428571428571429,0.007792207792207795
SHGTX,0.7428571428571429,0.007792207792207795
FSCSX,0.7507936507936508,-0.0001443001443001135
ICTEX,0.7515873015873016,-0.0009379509379509043
ROGSX,0.7523809523809524,-0.0017316017316016952
FSPTX,0.7587301587301587,-0.008080808080808022
MTCAX,0.7611111111111111,-0.010461760461760394
SLMCX,0.7619047619047619,-0.011255411255411185
KTCAX,0.7642857142857142,-0.013636363636363558
