,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,7.0,13.0,4.0,7.0,7.0,8.0,5.0,9.0,2.0,5.0
DFREX,7.0,0.0,10.0,5.0,4.0,8.0,3.0,11.0,6.0,5.0,8.0
DPREX,13.0,10.0,0.0,11.0,8.0,11.0,9.0,16.0,11.0,15.0,12.0
FREAX,4.0,5.0,11.0,0.0,5.0,7.0,6.0,8.0,7.0,6.0,5.0
FRESX,7.0,4.0,8.0,5.0,0.0,4.0,1.0,9.0,8.0,9.0,4.0
IARAX,7.0,8.0,11.0,7.0,4.0,0.0,5.0,7.0,7.0,9.0,2.0
PHRAX,8.0,3.0,9.0,6.0,1.0,5.0,0.0,10.0,7.0,8.0,5.0
RPFRX,5.0,11.0,16.0,8.0,9.0,7.0,10.0,0.0,11.0,7.0,5.0
SOAAX,9.0,6.0,11.0,7.0,8.0,7.0,7.0,11.0,0.0,9.0,8.0
STMDX,2.0,5.0,15.0,6.0,9.0,9.0,8.0,7.0,9.0,0.0,7.0
TRREX,5.0,8.0,12.0,5.0,4.0,2.0,5.0,5.0,8.0,7.0,0.0
