Fund,I_without_fund,marginal_impact
DPREX,2.9,0.4553719008264472
RPFRX,3.1699999999999995,0.1853719008264476
SOAAX,3.2299999999999995,0.12537190082644756
STMDX,3.2899999999999996,0.0653719008264475
CSEIX,3.389999999999999,-0.034628099173551696
DFREX,3.389999999999999,-0.034628099173551696
IARAX,3.3899999999999992,-0.03462809917355214
FREAX,3.419999999999999,-0.06462809917355195
PHRAX,3.439999999999999,-0.08462809917355196
TRREX,3.4499999999999993,-0.0946280991735522
FRESX,3.469999999999999,-0.11462809917355177
