,CSEIX,DFREX,DPREX,FREAX,FRESX,IARAX,PHRAX,RPFRX,SOAAX,STMDX,TRREX
CSEIX,0.0,11.0,36.0,11.0,10.0,13.0,15.0,14.0,13.0,6.0,12.0
DFREX,11.0,0.0,33.0,14.0,3.0,16.0,4.0,21.0,12.0,13.0,7.0
DPREX,36.0,33.0,0.0,35.0,32.0,37.0,35.0,42.0,33.0,40.0,34.0
FREAX,11.0,14.0,35.0,0.0,13.0,12.0,16.0,19.0,16.0,15.0,13.0
FRESX,10.0,3.0,32.0,13.0,0.0,15.0,7.0,18.0,13.0,14.0,6.0
IARAX,13.0,16.0,37.0,12.0,15.0,0.0,18.0,15.0,12.0,13.0,13.0
PHRAX,15.0,4.0,35.0,16.0,7.0,18.0,0.0,21.0,14.0,17.0,7.0
RPFRX,14.0,21.0,42.0,19.0,18.0,15.0,21.0,0.0,15.0,16.0,14.0
SOAAX,13.0,12.0,33.0,16.0,13.0,12.0,14.0,15.0,0.0,9.0,11.0
STMDX,6.0,13.0,40.0,15.0,14.0,13.0,17.0,16.0,9.0,0.0,14.0
TRREX,12.0,7.0,34.0,13.0,6.0,13.0,7.0,14.0,11.0,14.0,0.0
