Fund,I_without_fund,marginal_impact
FSELX,8.580000000000002,0.38694214876032973
FDCPX,8.670000000000002,0.29694214876032987
RSIFX,8.710000000000003,0.25694214876032895
SHGTX,8.830000000000002,0.13694214876032973
ROGSX,8.880000000000004,0.08694214876032724
SLMCX,8.890000000000002,0.07694214876032923
ICTEX,8.910000000000002,0.05694214876032966
FSCSX,8.980000000000002,-0.013057851239670626
MTCAX,9.050000000000002,-0.08305785123967091
FSPTX,9.070000000000002,-0.10305785123967048
KTCAX,9.080000000000002,-0.11305785123967027
