,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,49.0,91.0,37.0,47.0,39.0,39.0,36.0,59.0,58.0,55.0
FSCSX,49.0,0.0,112.0,30.0,32.0,26.0,30.0,43.0,70.0,37.0,40.0
FSELX,91.0,112.0,0.0,94.0,122.0,114.0,108.0,117.0,44.0,109.0,106.0
FSPTX,37.0,30.0,94.0,0.0,34.0,22.0,20.0,45.0,56.0,39.0,40.0
ICTEX,47.0,32.0,122.0,34.0,0.0,22.0,26.0,27.0,84.0,43.0,50.0
KTCAX,39.0,26.0,114.0,22.0,22.0,0.0,10.0,33.0,76.0,33.0,40.0
MTCAX,39.0,30.0,108.0,20.0,26.0,10.0,0.0,31.0,70.0,37.0,44.0
ROGSX,36.0,43.0,117.0,45.0,27.0,33.0,31.0,0.0,85.0,64.0,67.0
RSIFX,59.0,70.0,44.0,56.0,84.0,76.0,70.0,85.0,0.0,71.0,70.0
SHGTX,58.0,37.0,109.0,39.0,43.0,33.0,37.0,64.0,71.0,0.0,15.0
SLMCX,55.0,40.0,106.0,40.0,50.0,40.0,44.0,67.0,70.0,15.0,0.0
