,FDCPX,FSCSX,FSELX,FSPTX,ICTEX,KTCAX,MTCAX,ROGSX,RSIFX,SHGTX,SLMCX
FDCPX,0.0,22.0,22.0,18.0,22.0,19.0,18.0,18.0,17.0,24.0,22.0
FSCSX,22.0,0.0,24.0,12.0,14.0,15.0,16.0,19.0,21.0,14.0,14.0
FSELX,22.0,24.0,0.0,23.0,23.0,23.0,23.0,23.0,17.0,24.0,24.0
FSPTX,18.0,12.0,23.0,0.0,15.0,12.0,13.0,22.0,19.0,19.0,16.0
ICTEX,22.0,14.0,23.0,15.0,0.0,17.0,17.0,17.0,24.0,17.0,21.0
KTCAX,19.0,15.0,23.0,12.0,17.0,0.0,7.0,18.0,22.0,18.0,15.0
MTCAX,18.0,16.0,23.0,13.0,17.0,7.0,0.0,18.0,21.0,20.0,19.0
ROGSX,18.0,19.0,23.0,22.0,17.0,18.0,18.0,0.0,20.0,23.0,23.0
RSIFX,17.0,21.0,17.0,19.0,24.0,22.0,21.0,20.0,0.0,23.0,22.0
SHGTX,24.0,14.0,24.0,19.0,17.0,18.0,20.0,23.0,23.0,0.0,8.0
SLMCX,22.0,14.0,24.0,16.0,21.0,15.0,19.0,23.0,22.0,8.0,0.0
