,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,13.0,23.0,24.0,27.0,29.0,16.0,26.0,30.0,22.0
EVUAX,13.0,0.0,18.0,35.0,38.0,38.0,21.0,29.0,25.0,25.0
FIUIX,23.0,18.0,0.0,39.0,40.0,40.0,23.0,37.0,19.0,31.0
FKUTX,24.0,35.0,39.0,0.0,13.0,13.0,24.0,30.0,52.0,34.0
FSUTX,27.0,38.0,40.0,13.0,0.0,4.0,31.0,31.0,53.0,41.0
FUGAX,29.0,38.0,40.0,13.0,4.0,0.0,29.0,35.0,55.0,43.0
GASFX,16.0,21.0,23.0,24.0,31.0,29.0,0.0,26.0,36.0,26.0
ICTUX,26.0,29.0,37.0,30.0,31.0,35.0,26.0,0.0,42.0,32.0
MMUFX,30.0,25.0,19.0,52.0,53.0,55.0,36.0,42.0,0.0,34.0
PRUAX,22.0,25.0,31.0,34.0,41.0,43.0,26.0,32.0,34.0,0.0
