,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX
BULIX,0.0,13.0,14.0,19.0,21.0,21.0,15.0,20.0,20.0,15.0
EVUAX,13.0,0.0,17.0,25.0,24.0,24.0,17.0,22.0,17.0,17.0
FIUIX,14.0,17.0,0.0,20.0,20.0,20.0,14.0,20.0,16.0,20.0
FKUTX,19.0,25.0,20.0,0.0,7.0,10.0,17.0,19.0,24.0,18.0
FSUTX,21.0,24.0,20.0,7.0,0.0,3.0,18.0,15.0,24.0,21.0
FUGAX,21.0,24.0,20.0,10.0,3.0,0.0,19.0,16.0,23.0,23.0
GASFX,15.0,17.0,14.0,17.0,18.0,19.0,0.0,19.0,20.0,15.0
ICTUX,20.0,22.0,20.0,19.0,15.0,16.0,19.0,0.0,22.0,22.0
MMUFX,20.0,17.0,16.0,24.0,24.0,23.0,20.0,22.0,0.0,16.0
PRUAX,15.0,17.0,20.0,18.0,21.0,23.0,15.0,22.0,16.0,0.0
