Date,Fund_Return,SPY_Return,Residual,Fund,Year,Quantile
2007-12-28,-3.506830606897449,-0.002505917923125,-3.5038821629803443,ICPAX,2007,1
2020-03-09,-0.2467501300286595,-0.078095014606548,-0.1637398015923519,RYEIX,2020,1
2020-03-09,-0.2221486010536997,-0.078095014606548,-0.1427632744647776,FRNRX,2020,1
2020-03-09,-0.21710795300829,-0.078095014606548,-0.1356593210295284,FSENX,2020,1
2000-12-14,-0.1403611441727302,-0.0127391718540439,-0.1269116716765164,ICPAX,2000,1
2020-03-09,-0.1989690862738807,-0.078095014606548,-0.1202713101646521,FNARX,2020,1
2020-03-09,-0.19736832894454,-0.078095014606548,-0.1168528403806332,ICPAX,2020,1
2020-03-09,-0.1773440011630039,-0.078095014606548,-0.1062661918685164,VGENX,2020,1
2001-01-03,-0.0404627054584021,0.0480351319625829,-0.0914477486934155,RYEIX,2001,1
2008-10-13,0.0600706517564375,0.1451976157706251,-0.0885494121563184,ICPAX,2008,1
2000-04-03,-0.0817456916260379,0.0058187643300025,-0.087339762811384,ICPAX,2000,1
2001-01-03,-0.0344575740205443,0.0480351319625829,-0.0848078898191717,FSENX,2001,1
2008-12-04,-0.1070432706381649,-0.0231326714841013,-0.0830272127740137,FSENX,2008,1
2014-11-28,-0.0848349740076589,-0.0021191478062659,-0.0825382163303829,RYEIX,2014,1
2008-11-20,-0.158961835211727,-0.0742337456289921,-0.0815480133253204,FSENX,2008,1
2008-10-28,0.0387595802411719,0.1168554579812042,-0.0807766936132642,ICPAX,2008,1
2014-11-28,-0.0823928847978787,-0.0021191478062659,-0.0803922822157125,FNARX,2014,1
2008-11-20,-0.154869823069584,-0.0742337456289921,-0.0794110798624547,FRNRX,2008,1
2014-11-28,-0.0809568096286251,-0.0021191478062659,-0.0788325020801643,FRNRX,2014,1
2020-03-18,-0.1301653173147607,-0.0506326962787803,-0.0787068415611751,FRNRX,2020,1
2008-12-04,-0.1017341859331358,-0.0231326714841013,-0.0785205595342016,FNARX,2008,1
2014-11-28,-0.0803993601043184,-0.0021191478062659,-0.0783412590424768,FSENX,2014,1
2008-10-02,-0.1133502286655416,-0.0362742175075757,-0.0768702918153452,FNARX,2008,1
2020-03-18,-0.1302104672689323,-0.0506326962787803,-0.0763749527163815,RYEIX,2020,1
2008-11-20,-0.1508749120126922,-0.0742337456289921,-0.0760750633543574,FNARX,2008,1
2020-03-18,-0.1279590264108099,-0.0506326962787803,-0.0752069809149924,FSENX,2020,1
2001-01-03,-0.030735963356388,0.0480351319625829,-0.0747758517441804,VGENX,2001,1
2020-03-17,-0.0171672617525217,0.0539920429826394,-0.0744806771321593,RYEIX,2020,1
2008-10-15,-0.1771596288884798,-0.0984478224839104,-0.0744434511602056,FSENX,2008,1
2001-01-03,-0.0248101362291884,0.0480351319625829,-0.073439972766171,FNARX,2001,1
2014-11-28,-0.0749624346162114,-0.0021191478062659,-0.0724108814709078,ICPAX,2014,1
2000-03-15,-0.0480411434040054,0.0233306086455016,-0.0716052932047512,ICPAX,2000,1
2020-03-18,-0.1230768473195524,-0.0506326962787803,-0.0707422864991808,ICPAX,2020,1
2008-12-04,-0.0936524510154422,-0.0231326714841013,-0.070159170379143,FRNRX,2008,1
2008-10-02,-0.1078881826367268,-0.0362742175075757,-0.0701399442814292,FSENX,2008,1
2008-10-22,-0.1245624923068953,-0.0544535637810731,-0.0697306164204231,FNARX,2008,1
