Fund,Sector,Year,Total_Days,Alpha,Beta,Alpha_Pvalue,Beta_Pvalue,R_Squared,Adj_R_Squared,Residual_Std,Fstatistic,F_Pvalue
ETHSX,healthcare,1999,250,0.0002229316444916141,0.5000703973786444,0.6518084451091097,3.5255669310946492e-25,0.3521903366424769,0.34957820090313196,0.007782278459628475,134.82849736239572,3.5255669310948164e-25
ETHSX,healthcare,2000,250,0.002629772683946311,0.5898091727295453,0.007540263492777553,6.639392049167129e-17,0.24566172963590538,0.24262004306185658,0.015433591417792486,80.76497155619381,6.639392049167098e-17
ETHSX,healthcare,2001,249,0.0001537872212836431,0.7043256607552442,0.8146655150714923,5.855113883978867e-36,0.470468962635085,0.46832511228138085,0.010339298210557365,219.4504676234591,5.8551138839789105e-36
ETHSX,healthcare,2002,251,-0.0004073685764587262,0.6923098854600547,0.4990056992550438,5.882570114012099e-51,0.5962944558866823,0.5946731484806047,0.009519251383637465,367.78617901295706,5.882570114012454e-51
ETHSX,healthcare,2003,250,0.0003257245826482741,0.8131229132261675,0.5089251476930874,1.9652681182562522e-43,0.5376543663437767,0.5357900694338725,0.007755012543370379,288.395246211842,1.965268118256181e-43
ETHSX,healthcare,2004,250,-0.0001695737946141205,1.0897581395096856,0.6611093850448722,3.209349211311657e-53,0.614282427434421,0.6127271146418178,0.006096753058413277,394.95748402242026,3.209349211311724e-53
ETHSX,healthcare,2005,250,0.00022359937426457568,0.808659139408502,0.5774926306751311,5.951135788289535e-30,0.40679375910179716,0.40440179845301405,0.006332439211404763,170.06707836466953,5.951135788289492e-30
ETHSX,healthcare,2006,250,-0.0005069891076667995,0.9064419641803207,0.12512038444773801,4.972398523012028e-44,0.5427332409416816,0.5408894233648336,0.005189853923022601,294.35300311512657,4.972398523012006e-44
ETHSX,healthcare,2007,250,0.00012102149733150008,0.6521179624442958,0.6815747216633008,9.696784152258129e-61,0.6644465348353932,0.6630934966694069,0.0046561156889339825,491.07745186998096,9.696784152258342e-61
ETHSX,healthcare,2008,250,0.0007947698132491878,0.6316722357785032,0.1339749577517913,6.330604905553168e-88,0.7973054319783012,0.796488115171762,0.00834390135572258,975.5157676916689,6.330604905553691e-88
ETHSX,healthcare,2009,250,-0.0001360519988936195,0.5523426505682857,0.7646203517405965,8.071817226874896e-55,0.6255428957206859,0.6240329880421402,0.007163885247809211,414.29214819493046,8.071817226874736e-55
ETHSX,healthcare,2010,250,3.0091250594412676e-05,0.7294152798720311,0.922548436225936,1.1818073640245183e-74,0.7407375721009173,0.7396921590851951,0.004882763003072188,708.5597375973559,1.181807364024369e-74
ETHSX,healthcare,2011,250,0.00012286249548432572,0.7824305752595159,0.6584609148522089,2.974913887622105e-112,0.87093692652865,0.8704165109098139,0.0043891900959027105,1673.5410987020398,2.9749138876218003e-112
ETHSX,healthcare,2012,250,0.00011874921754963233,0.7773666089959461,0.6668810041596316,4.157422226689602e-61,0.6667259525097742,0.6653821055440877,0.0043483596520423355,496.1323495411783,4.1574222266895575e-61
ETHSX,healthcare,2013,250,0.0004752037649284113,0.9366994960301187,0.11786613464888455,5.8919015527021995e-58,0.6466838735324258,0.6452592117321534,0.004734905813655051,453.92097507544815,5.891901552702082e-58
ETHSX,healthcare,2014,250,0.0003440781038709125,1.1845019582673664,0.39329369947102044,2.8092804797350878e-56,0.6355244912612177,0.6340548319517871,0.006338212729733201,432.429806815196,2.809280479734849e-56
ETHSX,healthcare,2015,250,0.0002895983532563005,0.9645023702749623,0.5131988688023137,1.3200063432395076e-57,0.6443830433571259,0.642949104015824,0.006992114533373218,449.3795691330105,1.3200063432395758e-57
