Date,Residual,Fund,Sector,Year
1999-01-05,-0.006169983768438759,FNARX,energy,1999
1999-01-06,0.01919277422306681,FNARX,energy,1999
1999-01-07,0.014029590465991873,FNARX,energy,1999
1999-01-08,-0.0014209909052228628,FNARX,energy,1999
1999-01-11,8.8896923259535e-05,FNARX,energy,1999
1999-01-12,-0.017836394873612188,FNARX,energy,1999
1999-01-13,-0.02221029380740083,FNARX,energy,1999
1999-01-14,-0.013385226726425035,FNARX,energy,1999
1999-01-15,0.007489107329474687,FNARX,energy,1999
1999-01-19,-0.005626253684792006,FNARX,energy,1999
1999-01-20,-0.015386880162871559,FNARX,energy,1999
1999-01-21,0.01053074034369504,FNARX,energy,1999
1999-01-22,-0.00957942130896298,FNARX,energy,1999
1999-01-25,-0.009308379457358407,FNARX,energy,1999
1999-01-26,-0.02631031529809183,FNARX,energy,1999
1999-01-27,-0.019901444797916543,FNARX,energy,1999
1999-01-28,-0.0106028172426619,FNARX,energy,1999
1999-01-29,-0.0037072195783409896,FNARX,energy,1999
1999-02-01,0.0010048396035506214,FNARX,energy,1999
1999-02-02,0.0023416988340301706,FNARX,energy,1999
1999-02-03,0.018932453104642193,FNARX,energy,1999
1999-02-04,0.0029623001068107844,FNARX,energy,1999
1999-02-05,0.027162344926818252,FNARX,energy,1999
1999-02-08,0.005347260314652037,FNARX,energy,1999
1999-02-09,-0.014372701300245271,FNARX,energy,1999
1999-02-10,-0.004482065360810202,FNARX,energy,1999
1999-02-11,-0.015057967557580744,FNARX,energy,1999
1999-02-12,-0.007734663791922795,FNARX,energy,1999
1999-02-16,-0.01113816576874107,FNARX,energy,1999
1999-02-17,-0.016757501654962315,FNARX,energy,1999
1999-02-18,0.006257513193051849,FNARX,energy,1999
1999-02-19,-0.013733388360791033,FNARX,energy,1999
1999-02-22,-0.0053014398350561265,FNARX,energy,1999
1999-02-23,-0.004626803492368603,FNARX,energy,1999
1999-02-24,-0.0036869377917056424,FNARX,energy,1999
1999-02-25,0.009866300218265029,FNARX,energy,1999
1999-02-26,-0.0071854682648455435,FNARX,energy,1999
1999-03-01,-0.009616664343038688,FNARX,energy,1999
1999-03-02,-0.0017972489197393077,FNARX,energy,1999
1999-03-03,0.02273583792512985,FNARX,energy,1999
1999-03-04,0.02704752089835992,FNARX,energy,1999
1999-03-05,0.006473576963993021,FNARX,energy,1999
1999-03-08,0.02056107345157375,FNARX,energy,1999
1999-03-09,-0.009518385737107908,FNARX,energy,1999
1999-03-10,0.05236699477158865,FNARX,energy,1999
1999-03-11,0.00398817412722521,FNARX,energy,1999
1999-03-12,0.006707271235658495,FNARX,energy,1999
1999-03-15,-0.020294869006779823,FNARX,energy,1999
1999-03-16,-0.0030591592733106524,FNARX,energy,1999
1999-03-17,0.03401420939862463,FNARX,energy,1999
1999-03-18,0.004174032779333398,FNARX,energy,1999
1999-03-19,-0.0015431394013628533,FNARX,energy,1999
1999-03-22,0.01660438832954427,FNARX,energy,1999
1999-03-23,-0.014265548595472874,FNARX,energy,1999
1999-03-24,0.006723289266947077,FNARX,energy,1999
1999-03-25,0.001491468041342845,FNARX,energy,1999
1999-03-26,0.016358017061003663,FNARX,energy,1999
1999-03-29,0.023340435403745294,FNARX,energy,1999
1999-03-30,-0.014444261855116975,FNARX,energy,1999
1999-03-31,-0.008851893227991355,FNARX,energy,1999
1999-04-01,-0.018301749269831365,FNARX,energy,1999
1999-04-05,0.006612710027115401,FNARX,energy,1999
1999-04-06,-0.01065846722961249,FNARX,energy,1999
1999-04-07,-0.014393709177119303,FNARX,energy,1999
1999-04-08,0.00520119222972008,FNARX,energy,1999
1999-04-09,0.019974277097913273,FNARX,energy,1999
1999-04-12,-0.0006247322801491689,FNARX,energy,1999
1999-04-13,0.007367160659345491,FNARX,energy,1999
1999-04-14,-0.005397333270000581,FNARX,energy,1999
1999-04-15,0.0374555532134541,FNARX,energy,1999
1999-04-16,0.048725673958759486,FNARX,energy,1999
1999-04-19,0.029077275600645623,FNARX,energy,1999
1999-04-20,-0.030484994569318892,FNARX,energy,1999
1999-04-21,-0.007199474433575728,FNARX,energy,1999
1999-04-22,0.007980987126309182,FNARX,energy,1999
1999-04-23,-0.018906761168010672,FNARX,energy,1999
1999-04-26,-0.022149383412025683,FNARX,energy,1999
1999-04-27,0.021625804740586507,FNARX,energy,1999
1999-04-28,0.05695004010353148,FNARX,energy,1999
1999-04-29,0.02598019854837366,FNARX,energy,1999
1999-04-30,-0.010539952494624385,FNARX,energy,1999
1999-05-03,0.014884028310754095,FNARX,energy,1999
1999-05-04,0.004806296230901587,FNARX,energy,1999
1999-05-05,-0.009914018237786912,FNARX,energy,1999
1999-05-06,-0.009428150463563713,FNARX,energy,1999
1999-05-07,-0.006343883553930545,FNARX,energy,1999
1999-05-10,-0.0028638398817346193,FNARX,energy,1999
1999-05-11,-0.008137271757090433,FNARX,energy,1999
1999-05-12,-0.025257633118815417,FNARX,energy,1999
1999-05-13,0.012082582798553874,FNARX,energy,1999
1999-05-14,-0.00011835155091006501,FNARX,energy,1999
1999-05-17,-0.012100772673865784,FNARX,energy,1999
1999-05-18,-0.01784075772918274,FNARX,energy,1999
1999-05-19,0.0057827709461732045,FNARX,energy,1999
1999-05-20,0.009389671235147681,FNARX,energy,1999
1999-05-21,0.024781703329291603,FNARX,energy,1999
1999-05-24,-0.021252796863215198,FNARX,energy,1999
1999-05-25,-0.004603165162305579,FNARX,energy,1999
1999-05-26,0.01737899928081365,FNARX,energy,1999
1999-05-27,-0.01785141947862874,FNARX,energy,1999
1999-05-28,0.00287455653762775,FNARX,energy,1999
1999-06-01,-0.009046103342780451,FNARX,energy,1999
1999-06-02,0.013505107708994579,FNARX,energy,1999
1999-06-03,0.009860905823377073,FNARX,energy,1999
1999-06-04,0.003717168658992912,FNARX,energy,1999
1999-06-07,0.012369621533333052,FNARX,energy,1999
1999-06-08,-0.00908187013078402,FNARX,energy,1999
1999-06-09,0.002855151258990891,FNARX,energy,1999
1999-06-10,0.009283026554842021,FNARX,energy,1999
1999-06-11,0.008047272661351832,FNARX,energy,1999
1999-06-14,0.0038852014377933008,FNARX,energy,1999
1999-06-15,0.00969970567359383,FNARX,energy,1999
1999-06-16,-0.02320662269850681,FNARX,energy,1999
1999-06-17,0.0035637468298778986,FNARX,energy,1999
1999-06-18,0.002895314090497373,FNARX,energy,1999
1999-06-21,-0.02691849364620342,FNARX,energy,1999
1999-06-22,-0.012800174328728785,FNARX,energy,1999
1999-06-23,0.0123586879736472,FNARX,energy,1999
1999-06-24,-0.01708979967270984,FNARX,energy,1999
1999-06-25,-0.0028933829686832264,FNARX,energy,1999
1999-06-28,-0.005301040941165392,FNARX,energy,1999
1999-06-29,0.015671434593404344,FNARX,energy,1999
1999-06-30,0.014906739874029008,FNARX,energy,1999
1999-07-01,-0.0054080744233309976,FNARX,energy,1999
1999-07-02,0.005084513452838854,FNARX,energy,1999
1999-07-06,0.016321273852165693,FNARX,energy,1999
1999-07-07,-0.014255226759959192,FNARX,energy,1999
1999-07-08,0.012453369606951467,FNARX,energy,1999
1999-07-09,-0.0022597948893872204,FNARX,energy,1999
1999-07-12,0.009837355695264345,FNARX,energy,1999
1999-07-13,-0.009040387791581977,FNARX,energy,1999
1999-07-14,0.00039667836591120945,FNARX,energy,1999
1999-07-15,-0.0007213328000262613,FNARX,energy,1999
1999-07-16,-0.007149867658992639,FNARX,energy,1999
1999-07-19,-0.006359362115138817,FNARX,energy,1999
1999-07-20,-0.01692925739512144,FNARX,energy,1999
1999-07-21,0.004591735172104341,FNARX,energy,1999
1999-07-22,-0.0008035875847952189,FNARX,energy,1999
1999-07-23,0.004873506857262834,FNARX,energy,1999
1999-07-26,-0.014100441079792744,FNARX,energy,1999
1999-07-27,-0.0039518244508112395,FNARX,energy,1999
1999-07-28,0.0119445868401553,FNARX,energy,1999
1999-07-29,0.009917911346752246,FNARX,energy,1999
1999-07-30,0.011030397064303676,FNARX,energy,1999
1999-08-02,-0.01043960457348302,FNARX,energy,1999
1999-08-03,0.009245273921666644,FNARX,energy,1999
1999-08-04,0.016591053792914645,FNARX,energy,1999
1999-08-05,0.01695744259154978,FNARX,energy,1999
1999-08-06,0.0019291119149955353,FNARX,energy,1999
1999-08-09,0.027095133256346025,FNARX,energy,1999
1999-08-10,-0.0036538569719266564,FNARX,energy,1999
1999-08-11,0.007732879363794977,FNARX,energy,1999
1999-08-12,-0.0016358147078287897,FNARX,energy,1999
1999-08-13,-0.014740269067491348,FNARX,energy,1999
1999-08-16,-0.008250675556759759,FNARX,energy,1999
1999-08-17,0.0072377669159451475,FNARX,energy,1999
1999-08-18,-0.005769156760562534,FNARX,energy,1999
1999-08-19,0.005857473212110647,FNARX,energy,1999
1999-08-20,0.0002633777026354875,FNARX,energy,1999
1999-08-23,-0.0012910227171530429,FNARX,energy,1999
1999-08-24,-0.015078257698004218,FNARX,energy,1999
1999-08-25,-0.024006976213230655,FNARX,energy,1999
1999-08-26,-0.007579573492535781,FNARX,energy,1999
1999-08-27,-0.0001513133521846245,FNARX,energy,1999
1999-08-30,-0.0029462513167983475,FNARX,energy,1999
1999-08-31,0.01712062725445877,FNARX,energy,1999
1999-09-01,-0.0036732140193232402,FNARX,energy,1999
1999-09-02,-0.010162760563802591,FNARX,energy,1999
1999-09-03,-0.001164844619610285,FNARX,energy,1999
1999-09-07,0.025135418966730612,FNARX,energy,1999
1999-09-08,0.001454925670012045,FNARX,energy,1999
1999-09-09,0.02500907913844875,FNARX,energy,1999
1999-09-10,-0.00710624619029254,FNARX,energy,1999
1999-09-13,-0.006590080487936896,FNARX,energy,1999
1999-09-14,-0.012299072634355715,FNARX,energy,1999
1999-09-15,-0.008453422206598574,FNARX,energy,1999
1999-09-16,-0.004042165696840105,FNARX,energy,1999
1999-09-17,0.0019368910728936352,FNARX,energy,1999
1999-09-20,-0.018469378627327324,FNARX,energy,1999
1999-09-21,-0.017750432384255936,FNARX,energy,1999
1999-09-22,-0.004066400785854975,FNARX,energy,1999
1999-09-23,-0.002271448542170636,FNARX,energy,1999
1999-09-24,-0.015319365810695512,FNARX,energy,1999
1999-09-27,0.012362556910607312,FNARX,energy,1999
1999-09-28,-0.021842714997665366,FNARX,energy,1999
1999-09-29,0.019796450543013933,FNARX,energy,1999
1999-09-30,-0.003776166192102701,FNARX,energy,1999
1999-10-01,-0.0011428359542467927,FNARX,energy,1999
1999-10-04,-0.014127543598688948,FNARX,energy,1999
1999-10-05,-0.029355143219030874,FNARX,energy,1999
1999-10-06,-0.0010164744936003653,FNARX,energy,1999
1999-10-07,-0.01507169391778931,FNARX,energy,1999
1999-10-08,-0.022588105330163956,FNARX,energy,1999
1999-10-11,0.029830155064238566,FNARX,energy,1999
1999-10-12,0.003443556847175802,FNARX,energy,1999
1999-10-13,0.015114733058513722,FNARX,energy,1999
1999-10-14,-0.004500978123940268,FNARX,energy,1999
1999-10-15,-0.009008495152645254,FNARX,energy,1999
1999-10-18,-0.014421767523706846,FNARX,energy,1999
1999-10-19,0.0019793979402895796,FNARX,energy,1999
1999-10-20,0.013692400150923857,FNARX,energy,1999
1999-10-21,0.0031640901914361972,FNARX,energy,1999
1999-10-22,0.01550606929281066,FNARX,energy,1999
1999-10-25,-0.012327919857840024,FNARX,energy,1999
1999-10-26,-0.01781316984535202,FNARX,energy,1999
1999-10-27,-0.010947924112438438,FNARX,energy,1999
1999-10-28,-0.01563716786147222,FNARX,energy,1999
1999-10-29,0.008949630502210457,FNARX,energy,1999
1999-11-01,0.007070156044835165,FNARX,energy,1999
1999-11-02,-0.011861982961427656,FNARX,energy,1999
1999-11-03,-0.0060872311872904195,FNARX,energy,1999
1999-11-04,-0.010907868003284164,FNARX,energy,1999
1999-11-05,-0.024454443813716576,FNARX,energy,1999
1999-11-08,0.02829802892252643,FNARX,energy,1999
1999-11-09,0.023834950876190402,FNARX,energy,1999
1999-11-10,0.017513424177441127,FNARX,energy,1999
1999-11-11,-0.009058981700097012,FNARX,energy,1999
1999-11-12,0.011437354804130414,FNARX,energy,1999
1999-11-15,0.01266890018590814,FNARX,energy,1999
1999-11-16,0.00025430081218114856,FNARX,energy,1999
1999-11-17,0.024038811073025274,FNARX,energy,1999
1999-11-18,-0.01331502845348773,FNARX,energy,1999
1999-11-19,-0.007343485432322978,FNARX,energy,1999
1999-11-22,-0.019253612871267416,FNARX,energy,1999
1999-11-23,-0.01915372557325598,FNARX,energy,1999
1999-11-24,0.007487456666321111,FNARX,energy,1999
1999-11-26,-0.007444019293483269,FNARX,energy,1999
1999-11-29,-0.021380848981999268,FNARX,energy,1999
1999-11-30,0.0030526638026489063,FNARX,energy,1999
1999-12-01,0.022597736758893792,FNARX,energy,1999
1999-12-02,-0.011727834232926056,FNARX,energy,1999
1999-12-03,-0.010908204487864245,FNARX,energy,1999
1999-12-06,-0.011511806761366332,FNARX,energy,1999
1999-12-07,-0.011436266743655589,FNARX,energy,1999
1999-12-08,0.014580066776408203,FNARX,energy,1999
1999-12-09,-0.0036261600603880273,FNARX,energy,1999
1999-12-10,-0.015425269127679555,FNARX,energy,1999
1999-12-13,-0.0016566274776312435,FNARX,energy,1999
1999-12-14,0.0032226258220696925,FNARX,energy,1999
1999-12-15,0.0283501537732232,FNARX,energy,1999
1999-12-16,0.005210590234793887,FNARX,energy,1999
1999-12-17,-0.007576484535150544,FNARX,energy,1999
1999-12-20,-0.015779959022846346,FNARX,energy,1999
1999-12-21,-0.003713322717109602,FNARX,energy,1999
1999-12-22,0.0015511953954792327,FNARX,energy,1999
1999-12-23,0.01696631842338072,FNARX,energy,1999
1999-12-27,-0.0031168018106558022,FNARX,energy,1999
1999-12-28,0.010291485768360443,FNARX,energy,1999
1999-12-29,0.01183776057042357,FNARX,energy,1999
1999-12-30,-0.015634652275339937,FNARX,energy,1999
2000-01-05,0.015591234712655968,FNARX,energy,2000
2000-01-06,0.03128063457440581,FNARX,energy,2000
2000-01-07,-0.001209377122050782,FNARX,energy,2000
2000-01-10,-0.011164208530307232,FNARX,energy,2000
2000-01-11,0.007930915500184104,FNARX,energy,2000
2000-01-12,-0.013093188739651946,FNARX,energy,2000
2000-01-13,0.008884454055808878,FNARX,energy,2000
2000-01-14,-0.007731656401326588,FNARX,energy,2000
2000-01-18,0.02842386387469651,FNARX,energy,2000
2000-01-19,-0.0048225334031009,FNARX,energy,2000
2000-01-20,-0.018810803247568803,FNARX,energy,2000
2000-01-21,0.017974117261030806,FNARX,energy,2000
2000-01-24,-0.01913969570244175,FNARX,energy,2000
2000-01-25,-0.012194411342179103,FNARX,energy,2000
2000-01-26,-0.00957595822049901,FNARX,energy,2000
2000-01-27,-0.018126487233945568,FNARX,energy,2000
2000-01-28,-0.011450185712035845,FNARX,energy,2000
2000-01-31,0.00467887101791928,FNARX,energy,2000
2000-02-01,0.0049939408608377315,FNARX,energy,2000
2000-02-02,-0.0007284950483559399,FNARX,energy,2000
2000-02-03,-0.013298488208540129,FNARX,energy,2000
2000-02-04,-0.012473257611770353,FNARX,energy,2000
2000-02-07,0.0067911346702950685,FNARX,energy,2000
2000-02-08,-0.01825704251069641,FNARX,energy,2000
2000-02-09,-0.022887450748410663,FNARX,energy,2000
2000-02-10,0.022428278574259115,FNARX,energy,2000
2000-02-11,-0.009078598439083947,FNARX,energy,2000
2000-02-14,0.021275405269072727,FNARX,energy,2000
2000-02-15,0.02989100615286321,FNARX,energy,2000
2000-02-16,0.007815374735830202,FNARX,energy,2000
2000-02-17,-0.0018819503471625013,FNARX,energy,2000
2000-02-18,-0.02494089960500124,FNARX,energy,2000
2000-02-22,-0.011985646249672887,FNARX,energy,2000
2000-02-23,-0.022306645458814528,FNARX,energy,2000
2000-02-24,0.0013916996222350906,FNARX,energy,2000
2000-02-25,-0.008549824810362913,FNARX,energy,2000
2000-02-28,0.014457396438635289,FNARX,energy,2000
2000-02-29,0.0218592280876421,FNARX,energy,2000
2000-03-01,0.03201956417192584,FNARX,energy,2000
2000-03-02,0.014981477974842977,FNARX,energy,2000
2000-03-03,-0.013730216675075468,FNARX,energy,2000
2000-03-06,-0.0016392690940825526,FNARX,energy,2000
2000-03-07,0.06127584972154364,FNARX,energy,2000
2000-03-08,-0.022819797550378582,FNARX,energy,2000
2000-03-09,-0.0024248197928339573,FNARX,energy,2000
2000-03-10,-0.006489192838597733,FNARX,energy,2000
2000-03-13,-0.008438709535104592,FNARX,energy,2000
2000-03-14,-0.0021820003221943657,FNARX,energy,2000
2000-03-15,0.0013991148430289868,FNARX,energy,2000
2000-03-16,0.02638478506124234,FNARX,energy,2000
2000-03-17,-0.029775062042101,FNARX,energy,2000
2000-03-20,-0.01049761979634385,FNARX,energy,2000
2000-03-21,0.01393999397253224,FNARX,energy,2000
2000-03-22,-0.0011869710589712766,FNARX,energy,2000
2000-03-23,-0.004452984633910879,FNARX,energy,2000
2000-03-24,0.0019633067905050023,FNARX,energy,2000
2000-03-27,-0.005209112415483344,FNARX,energy,2000
2000-03-28,-0.007118192526986323,FNARX,energy,2000
2000-03-29,0.03933018290922807,FNARX,energy,2000
2000-03-30,0.018281802898936023,FNARX,energy,2000
2000-03-31,0.0012697673593868785,FNARX,energy,2000
2000-04-03,0.01063902511564677,FNARX,energy,2000
2000-04-04,-0.01943949101900363,FNARX,energy,2000
2000-04-05,-0.024580356941186605,FNARX,energy,2000
2000-04-06,0.01041877415724376,FNARX,energy,2000
2000-04-07,-0.013368533296096066,FNARX,energy,2000
2000-04-10,-0.020313819573013328,FNARX,energy,2000
2000-04-11,0.022601580573919953,FNARX,energy,2000
2000-04-12,0.019246497745593213,FNARX,energy,2000
2000-04-13,-0.01098166380750413,FNARX,energy,2000
2000-04-14,-0.008261352962784562,FNARX,energy,2000
2000-04-17,-0.03022609558621083,FNARX,energy,2000
2000-04-18,0.009309985334109493,FNARX,energy,2000
2000-04-19,0.009298287875857347,FNARX,energy,2000
2000-04-20,0.009909156292565613,FNARX,energy,2000
2000-04-24,0.000306721690049863,FNARX,energy,2000
2000-04-25,-0.0031052869101946146,FNARX,energy,2000
2000-04-26,0.004200230679047181,FNARX,energy,2000
2000-04-27,0.015250344891700202,FNARX,energy,2000
2000-04-28,-0.011149577895659797,FNARX,energy,2000
2000-05-01,0.0015813300146822907,FNARX,energy,2000
2000-05-02,0.021090141226447777,FNARX,energy,2000
2000-05-03,-0.015949545232171923,FNARX,energy,2000
2000-05-04,0.017170487758392344,FNARX,energy,2000
2000-05-05,0.010589402144174047,FNARX,energy,2000
2000-05-08,0.008285227823324125,FNARX,energy,2000
2000-05-09,0.0011449333362105873,FNARX,energy,2000
2000-05-10,0.0029906831956648646,FNARX,energy,2000
2000-05-11,0.015029473121449732,FNARX,energy,2000
