Date,Residual,Fund,Sector,Year
1999-01-05,-0.0008223903254151194,ETHSX,healthcare,1999
1999-01-06,-0.009445225185793453,ETHSX,healthcare,1999
1999-01-07,-0.0017128605394391132,ETHSX,healthcare,1999
1999-01-08,-0.005058140799078988,ETHSX,healthcare,1999
1999-01-11,-0.004516707192285224,ETHSX,healthcare,1999
1999-01-12,-0.0020881676427265024,ETHSX,healthcare,1999
1999-01-13,0.0027267443514556885,ETHSX,healthcare,1999
1999-01-14,-0.0030635889954579547,ETHSX,healthcare,1999
1999-01-15,0.00491829688303091,ETHSX,healthcare,1999
1999-01-19,-0.00348981472319608,ETHSX,healthcare,1999
1999-01-20,-0.0076676347303042845,ETHSX,healthcare,1999
1999-01-21,-0.0008210459701703636,ETHSX,healthcare,1999
1999-01-22,0.0003252915857561748,ETHSX,healthcare,1999
1999-01-25,-0.006482123516956698,ETHSX,healthcare,1999
1999-01-26,0.010613144847070776,ETHSX,healthcare,1999
1999-01-27,0.007896539490679134,ETHSX,healthcare,1999
1999-01-28,-0.0023133668414485123,ETHSX,healthcare,1999
1999-01-29,0.003936120836903073,ETHSX,healthcare,1999
1999-02-01,-0.0001173368175373603,ETHSX,healthcare,1999
1999-02-02,-0.006208904707901485,ETHSX,healthcare,1999
1999-02-03,-0.0013037434744168734,ETHSX,healthcare,1999
1999-02-04,-0.0035619323637275727,ETHSX,healthcare,1999
1999-02-05,-0.001994559788919408,ETHSX,healthcare,1999
1999-02-08,-0.004120993214025969,ETHSX,healthcare,1999
1999-02-09,-0.007091045460543613,ETHSX,healthcare,1999
1999-02-10,-0.002245822496416831,ETHSX,healthcare,1999
1999-02-11,-0.002840652983390762,ETHSX,healthcare,1999
1999-02-12,0.001071275596920285,ETHSX,healthcare,1999
1999-02-16,0.0016436469303817217,ETHSX,healthcare,1999
1999-02-17,-0.010942805337165823,ETHSX,healthcare,1999
1999-02-18,-0.0035599978701372297,ETHSX,healthcare,1999
1999-02-19,-0.010729820399306866,ETHSX,healthcare,1999
1999-02-22,0.0014816039276757467,ETHSX,healthcare,1999
1999-02-23,0.012469956573555306,ETHSX,healthcare,1999
1999-02-24,-0.0013391227409770175,ETHSX,healthcare,1999
1999-02-25,-0.0037668690370075107,ETHSX,healthcare,1999
1999-02-26,0.004171923511448235,ETHSX,healthcare,1999
1999-03-01,-0.011126721584276087,ETHSX,healthcare,1999
1999-03-02,0.003596952946052439,ETHSX,healthcare,1999
1999-03-03,-0.01010675119362082,ETHSX,healthcare,1999
1999-03-04,0.002528874714810502,ETHSX,healthcare,1999
1999-03-05,0.0023125498974553623,ETHSX,healthcare,1999
1999-03-08,0.0030353310582183317,ETHSX,healthcare,1999
1999-03-09,-0.0037025838402818265,ETHSX,healthcare,1999
1999-03-10,0.0042546182728817345,ETHSX,healthcare,1999
1999-03-11,-0.0005119310869489014,ETHSX,healthcare,1999
1999-03-12,0.0028128219801963044,ETHSX,healthcare,1999
