Date,Residual,Fund,Sector,Year
1999-01-05,0.0020936454102915645,CSEIX,real estate,1999
1999-01-06,-0.0010875959280649931,CSEIX,real estate,1999
1999-01-07,-0.005890524395494553,CSEIX,real estate,1999
1999-01-08,-0.0013604141339245712,CSEIX,real estate,1999
1999-01-11,-0.0045171271568543265,CSEIX,real estate,1999
1999-01-12,-0.0007976376331771434,CSEIX,real estate,1999
1999-01-13,5.7241996307757625e-05,CSEIX,real estate,1999
1999-01-14,-0.002814134316698691,CSEIX,real estate,1999
1999-01-15,0.0016837083731183694,CSEIX,real estate,1999
1999-01-19,0.002620069453304169,CSEIX,real estate,1999
1999-01-20,-0.0033748498348994786,CSEIX,real estate,1999
1999-01-21,-0.0009507837317607004,CSEIX,real estate,1999
1999-01-22,0.0005624517564261662,CSEIX,real estate,1999
1999-01-25,0.004229602187960584,CSEIX,real estate,1999
1999-01-26,-0.004386482868919054,CSEIX,real estate,1999
1999-01-27,-0.006340262353573064,CSEIX,real estate,1999
1999-01-28,-0.005269961608303002,CSEIX,real estate,1999
1999-01-29,-0.0073504577474332216,CSEIX,real estate,1999
1999-02-01,0.0029106602031766116,CSEIX,real estate,1999
1999-02-02,0.0009446178804014128,CSEIX,real estate,1999
1999-02-03,0.0013216078187812852,CSEIX,real estate,1999
1999-02-04,-0.00017068106775301804,CSEIX,real estate,1999
1999-02-05,-0.004501753673992431,CSEIX,real estate,1999
1999-02-08,-0.000864350365405415,CSEIX,real estate,1999
1999-02-09,0.0025477114743460644,CSEIX,real estate,1999
1999-02-10,-0.00831494021947599,CSEIX,real estate,1999
1999-02-11,-0.004967809621525007,CSEIX,real estate,1999
1999-02-12,-0.007596951141525226,CSEIX,real estate,1999
1999-02-16,0.001957917274102169,CSEIX,real estate,1999
1999-02-17,-0.0005844578305945641,CSEIX,real estate,1999
1999-02-18,-0.00044410308333400625,CSEIX,real estate,1999
1999-02-19,-0.003156237501195224,CSEIX,real estate,1999
1999-02-22,0.007957270418548358,CSEIX,real estate,1999
1999-02-23,0.0024145734721521847,CSEIX,real estate,1999
1999-02-24,0.003094167875604849,CSEIX,real estate,1999
1999-02-25,-0.0007509631079810229,CSEIX,real estate,1999
