Date,Residual,Fund,Sector,Year
1999-01-05,0.0030540972724974642,DFREX,real estate,1999
1999-01-06,5.250582132287169e-05,DFREX,real estate,1999
1999-01-07,-0.005753568118316299,DFREX,real estate,1999
1999-01-08,-0.0005905190731136472,DFREX,real estate,1999
1999-01-11,-0.0020351517870334096,DFREX,real estate,1999
1999-01-12,-0.00031663961259662454,DFREX,real estate,1999
1999-01-13,-0.0015021965279373077,DFREX,real estate,1999
1999-01-14,-0.002854411250815523,DFREX,real estate,1999
1999-01-15,-0.0009394883950702376,DFREX,real estate,1999
1999-01-19,0.004452665495275021,DFREX,real estate,1999
1999-01-20,-0.003938399951550992,DFREX,real estate,1999
1999-01-21,-0.00024731419595152735,DFREX,real estate,1999
1999-01-22,0.0004489831054658843,DFREX,real estate,1999
1999-01-25,0.0015874858216165164,DFREX,real estate,1999
1999-01-26,-0.00422094296574001,DFREX,real estate,1999
1999-01-27,-0.004331478431942667,DFREX,real estate,1999
1999-01-28,-0.009081906779218628,DFREX,real estate,1999
1999-01-29,-0.00480569309480422,DFREX,real estate,1999
1999-02-01,0.0025158299364801406,DFREX,real estate,1999
1999-02-02,0.005062589365476547,DFREX,real estate,1999
1999-02-03,0.0032929162513196993,DFREX,real estate,1999
1999-02-04,0.0026421320755576592,DFREX,real estate,1999
1999-02-05,-0.0027270101455776786,DFREX,real estate,1999
1999-02-08,0.0008223270703344204,DFREX,real estate,1999
1999-02-09,0.0026049203833240554,DFREX,real estate,1999
1999-02-10,-0.009668623915792646,DFREX,real estate,1999
1999-02-11,-0.006478261260039677,DFREX,real estate,1999
1999-02-12,-0.006970466814338455,DFREX,real estate,1999
1999-02-16,0.0008544487872578446,DFREX,real estate,1999
1999-02-17,-0.003099997076906315,DFREX,real estate,1999
1999-02-18,0.004492747161693022,DFREX,real estate,1999
1999-02-19,-0.001109809225594112,DFREX,real estate,1999
1999-02-22,0.008423923063709109,DFREX,real estate,1999
1999-02-23,0.0019415140504554715,DFREX,real estate,1999
1999-02-24,0.001256806541809622,DFREX,real estate,1999
1999-02-25,-0.001306714365425312,DFREX,real estate,1999
1999-02-26,-0.0018974198949835198,DFREX,real estate,1999
1999-03-01,0.0015972320824102707,DFREX,real estate,1999
1999-03-02,-0.0005391102766374777,DFREX,real estate,1999
1999-03-03,-0.0012177880361738435,DFREX,real estate,1999
1999-03-04,-0.000307480823239793,DFREX,real estate,1999
1999-03-05,0.001429576332028663,DFREX,real estate,1999
1999-03-08,-0.0021817240578259995,DFREX,real estate,1999
1999-03-09,0.002155134773470081,DFREX,real estate,1999
1999-03-10,-0.0032718358011356277,DFREX,real estate,1999
1999-03-11,-0.002683184273561308,DFREX,real estate,1999
1999-03-12,0.00038276946489610017,DFREX,real estate,1999
1999-03-15,-0.0064159374585044,DFREX,real estate,1999
1999-03-16,-0.004502711336926445,DFREX,real estate,1999
1999-03-17,0.0006651429343218445,DFREX,real estate,1999
1999-03-18,-0.004951791356699854,DFREX,real estate,1999
1999-03-19,-0.0005509315379720243,DFREX,real estate,1999
1999-03-22,-0.007763362556087396,DFREX,real estate,1999
1999-03-23,-0.001042094667073423,DFREX,real estate,1999
1999-03-24,0.0022092572612365134,DFREX,real estate,1999
1999-03-25,-0.001991005465983864,DFREX,real estate,1999
1999-03-26,0.0009803428745951586,DFREX,real estate,1999
1999-03-29,0.008481161472838521,DFREX,real estate,1999
1999-03-30,0.003349590541478353,DFREX,real estate,1999
1999-03-31,0.00965810103576814,DFREX,real estate,1999
1999-04-01,-0.005721901277126669,DFREX,real estate,1999
1999-04-05,-0.0006248513440532907,DFREX,real estate,1999
1999-04-06,-0.003821119185291508,DFREX,real estate,1999
1999-04-07,-0.0032373697647034246,DFREX,real estate,1999
1999-04-08,-0.0002960888791480804,DFREX,real estate,1999
1999-04-09,0.0010385259825245008,DFREX,real estate,1999
1999-04-12,0.0076576106418873285,DFREX,real estate,1999
1999-04-13,0.006007400621509591,DFREX,real estate,1999
1999-04-14,0.01388584912580628,DFREX,real estate,1999
1999-04-15,0.016532430564272064,DFREX,real estate,1999
1999-04-16,0.034942412711905076,DFREX,real estate,1999
1999-04-19,0.01702388749262648,DFREX,real estate,1999
1999-04-20,-0.002716189625003659,DFREX,real estate,1999
1999-04-21,-0.0005049954526675331,DFREX,real estate,1999
1999-04-22,0.0038970360446745904,DFREX,real estate,1999
1999-04-23,0.002820153265405771,DFREX,real estate,1999
1999-04-26,-0.005874865007434476,DFREX,real estate,1999
1999-04-27,-0.005802684992360115,DFREX,real estate,1999
1999-04-28,0.005612195721967207,DFREX,real estate,1999
1999-04-29,-0.0013356763725278437,DFREX,real estate,1999
1999-04-30,0.012100506005956467,DFREX,real estate,1999
1999-05-03,0.0029130671831399824,DFREX,real estate,1999
1999-05-04,0.0017360731817634713,DFREX,real estate,1999
1999-05-05,0.004001082582604948,DFREX,real estate,1999
1999-05-06,0.003177512755032727,DFREX,real estate,1999
1999-05-07,0.0024680012656620566,DFREX,real estate,1999
1999-05-10,0.016087004644654842,DFREX,real estate,1999
1999-05-11,0.00440794643173636,DFREX,real estate,1999
1999-05-12,0.0023698184598046563,DFREX,real estate,1999
1999-05-13,-0.00026296607969343,DFREX,real estate,1999
1999-05-14,-0.007507032795199249,DFREX,real estate,1999
1999-05-17,-0.007698022348257079,DFREX,real estate,1999
1999-05-18,-0.005704059565146605,DFREX,real estate,1999
1999-05-19,0.005571358967600523,DFREX,real estate,1999
1999-05-20,0.010009888330694968,DFREX,real estate,1999
1999-05-21,0.007611666141585814,DFREX,real estate,1999
1999-05-24,-0.0017674096686020255,DFREX,real estate,1999
1999-05-25,-0.0003198968700276648,DFREX,real estate,1999
1999-05-26,-0.00930722672729763,DFREX,real estate,1999
1999-05-27,0.0017463030844158429,DFREX,real estate,1999
1999-05-28,0.0034060975107494465,DFREX,real estate,1999
1999-06-01,-0.0009405647567680054,DFREX,real estate,1999
1999-06-02,-0.0014207872867032373,DFREX,real estate,1999
1999-06-03,0.00265375621704643,DFREX,real estate,1999
1999-06-04,-0.001954780717185346,DFREX,real estate,1999
1999-06-07,-0.0008322568226744637,DFREX,real estate,1999
1999-06-08,-0.0017793861611326515,DFREX,real estate,1999
1999-06-09,-0.0004568679784784798,DFREX,real estate,1999
1999-06-10,-0.0026182278736848596,DFREX,real estate,1999
1999-06-11,-0.0034894976174890853,DFREX,real estate,1999
1999-06-14,-0.0014381006206330774,DFREX,real estate,1999
1999-06-15,0.008718171835592066,DFREX,real estate,1999
1999-06-16,0.003490744657458986,DFREX,real estate,1999
1999-06-17,-0.0015618522840323249,DFREX,real estate,1999
1999-06-18,-0.0021997310450826016,DFREX,real estate,1999
1999-06-21,-0.0015680038443930627,DFREX,real estate,1999
1999-06-22,-0.005146628020618579,DFREX,real estate,1999
