Date,Residual,Fund,Sector,Year
1999-01-05,0.0041811086082450665,FREAX,real estate,1999
1999-01-06,0.00030333243173863086,FREAX,real estate,1999
1999-01-07,-0.005112994796960766,FREAX,real estate,1999
1999-01-08,-0.002188026086551764,FREAX,real estate,1999
1999-01-11,-0.001280611282764528,FREAX,real estate,1999
1999-01-12,-0.00040555162728833074,FREAX,real estate,1999
1999-01-13,0.00015290085849228093,FREAX,real estate,1999
1999-01-14,-0.003887757001680104,FREAX,real estate,1999
1999-01-15,-0.0007121202069196491,FREAX,real estate,1999
1999-01-19,0.0038844892035756915,FREAX,real estate,1999
1999-01-20,-0.0031172592018322504,FREAX,real estate,1999
1999-01-21,0.0021702727197287957,FREAX,real estate,1999
1999-01-22,0.00137023007197421,FREAX,real estate,1999
1999-01-25,0.0017838580558471558,FREAX,real estate,1999
1999-01-26,-0.0033212985800887616,FREAX,real estate,1999
1999-01-27,-0.002792066753491319,FREAX,real estate,1999
1999-01-28,-0.008344306018504185,FREAX,real estate,1999
1999-01-29,-0.003979627048065326,FREAX,real estate,1999
1999-02-01,0.0008849491214273368,FREAX,real estate,1999
1999-02-02,0.004386139313180385,FREAX,real estate,1999
1999-02-03,0.0035444968778128353,FREAX,real estate,1999
1999-02-04,0.0009675992228912513,FREAX,real estate,1999
1999-02-05,-0.0037074640743794372,FREAX,real estate,1999
1999-02-08,0.0017981006987052655,FREAX,real estate,1999
1999-02-09,0.0025986804736164155,FREAX,real estate,1999
1999-02-10,-0.008178306030310776,FREAX,real estate,1999
1999-02-11,-0.0064728036858714135,FREAX,real estate,1999
1999-02-12,-0.006361593736884455,FREAX,real estate,1999
1999-02-16,0.0009048809913754846,FREAX,real estate,1999
1999-02-17,-0.0031496548303533,FREAX,real estate,1999
1999-02-18,0.0029972934347857493,FREAX,real estate,1999
1999-02-19,-0.00017143754003158258,FREAX,real estate,1999
1999-02-22,0.007214673146056352,FREAX,real estate,1999
1999-02-23,0.0029475670395937214,FREAX,real estate,1999
1999-02-24,0.001235539648539607,FREAX,real estate,1999
1999-02-25,-0.002230042705703855,FREAX,real estate,1999
1999-02-26,-0.002810001233202043,FREAX,real estate,1999
1999-03-01,0.002621893237039448,FREAX,real estate,1999
1999-03-02,0.0003155457792488305,FREAX,real estate,1999
1999-03-03,-0.002911855786910137,FREAX,real estate,1999
1999-03-04,-0.001039955459309254,FREAX,real estate,1999
1999-03-05,0.0034615145182799612,FREAX,real estate,1999
1999-03-08,-0.0012744382977524248,FREAX,real estate,1999
1999-03-09,0.0014029048174262816,FREAX,real estate,1999
1999-03-10,-0.002387911968534275,FREAX,real estate,1999
1999-03-11,-0.0026339833330487916,FREAX,real estate,1999
1999-03-12,0.00039049138196490965,FREAX,real estate,1999
1999-03-15,-0.006477662373001389,FREAX,real estate,1999
1999-03-16,-0.0037468097467869546,FREAX,real estate,1999
1999-03-17,0.0007217039798725533,FREAX,real estate,1999
1999-03-18,-0.005832789949423579,FREAX,real estate,1999
1999-03-19,0.001149347818817178,FREAX,real estate,1999
1999-03-22,-0.007955165446720572,FREAX,real estate,1999
1999-03-23,-0.002392721535671458,FREAX,real estate,1999
1999-03-24,0.001521030221836028,FREAX,real estate,1999
1999-03-25,-0.003683170389311953,FREAX,real estate,1999
1999-03-26,0.0010266992147778776,FREAX,real estate,1999
1999-03-29,0.011045554253488,FREAX,real estate,1999
1999-03-30,0.001727060843873373,FREAX,real estate,1999
1999-03-31,0.007381886273267389,FREAX,real estate,1999
1999-04-01,-0.003214767819511316,FREAX,real estate,1999
1999-04-05,-0.0003767420874312645,FREAX,real estate,1999
1999-04-06,-0.003992781375183277,FREAX,real estate,1999
1999-04-07,-0.004187546224196252,FREAX,real estate,1999
1999-04-08,0.0007784579218842133,FREAX,real estate,1999
1999-04-09,-0.0024741373891302284,FREAX,real estate,1999
1999-04-12,0.007363728484994167,FREAX,real estate,1999
1999-04-13,0.0045557100693055545,FREAX,real estate,1999
1999-04-14,0.013725656388752295,FREAX,real estate,1999
1999-04-15,0.01667827330578394,FREAX,real estate,1999
1999-04-16,0.033554823212508834,FREAX,real estate,1999
1999-04-19,0.020539192292080354,FREAX,real estate,1999
1999-04-20,-0.0026946043185426087,FREAX,real estate,1999
1999-04-21,0.0006403788093782667,FREAX,real estate,1999
1999-04-22,0.00427475578862457,FREAX,real estate,1999
1999-04-23,0.0013642645676402968,FREAX,real estate,1999
1999-04-26,-0.004454951079054894,FREAX,real estate,1999
1999-04-27,-0.006863642333495734,FREAX,real estate,1999
1999-04-28,0.006706748581779817,FREAX,real estate,1999
1999-04-29,-0.0005965530562368065,FREAX,real estate,1999
1999-04-30,0.010279386028319354,FREAX,real estate,1999
1999-05-03,0.000849088710749872,FREAX,real estate,1999
1999-05-04,0.0017579624959828417,FREAX,real estate,1999
1999-05-05,0.005210684258538685,FREAX,real estate,1999
1999-05-06,0.004186758501261111,FREAX,real estate,1999
1999-05-07,0.003565130093036703,FREAX,real estate,1999
1999-05-10,0.01622614649937454,FREAX,real estate,1999
1999-05-11,0.004023337540452737,FREAX,real estate,1999
1999-05-12,0.0034426621811359634,FREAX,real estate,1999
1999-05-13,-0.0009699975814318441,FREAX,real estate,1999
1999-05-14,-0.009729689859677312,FREAX,real estate,1999
1999-05-17,-0.007274693499877724,FREAX,real estate,1999
1999-05-18,-0.006819073008870468,FREAX,real estate,1999
1999-05-19,0.006048443862087623,FREAX,real estate,1999
1999-05-20,0.011435098982273607,FREAX,real estate,1999
1999-05-21,0.008072614488843175,FREAX,real estate,1999
1999-05-24,-0.0035702081794761623,FREAX,real estate,1999
1999-05-25,0.00035729370679649574,FREAX,real estate,1999
1999-05-26,-0.009704238509058265,FREAX,real estate,1999
1999-05-27,0.0017678612020543378,FREAX,real estate,1999
1999-05-28,0.0013755371996578953,FREAX,real estate,1999
1999-06-01,-0.00017065541463847332,FREAX,real estate,1999
1999-06-02,-0.0014405812678020007,FREAX,real estate,1999
1999-06-03,0.0021263199920030034,FREAX,real estate,1999
1999-06-04,-0.0026202658872082622,FREAX,real estate,1999
1999-06-07,-0.0008012436979292421,FREAX,real estate,1999
1999-06-08,-0.0027461031942726003,FREAX,real estate,1999
1999-06-09,0.00037287362940183807,FREAX,real estate,1999
1999-06-10,-0.003636924785751528,FREAX,real estate,1999
1999-06-11,-0.0037512909330149283,FREAX,real estate,1999
1999-06-14,-0.0031050239366308178,FREAX,real estate,1999
1999-06-15,0.008621963743793796,FREAX,real estate,1999
1999-06-16,0.002364078438316386,FREAX,real estate,1999
1999-06-17,-0.000699352838524398,FREAX,real estate,1999
1999-06-18,-0.0030914167945382516,FREAX,real estate,1999
1999-06-21,-0.0007818141622130007,FREAX,real estate,1999
1999-06-22,-0.003891853889163426,FREAX,real estate,1999
1999-06-23,-0.004942401882233988,FREAX,real estate,1999
1999-06-24,-0.004787765912183172,FREAX,real estate,1999
1999-06-25,-0.0019862291192687437,FREAX,real estate,1999
1999-06-28,0.00826475481238918,FREAX,real estate,1999
1999-06-29,0.00013505772837583778,FREAX,real estate,1999
1999-06-30,-0.002440777350371242,FREAX,real estate,1999
1999-07-01,-0.0005072884732400956,FREAX,real estate,1999
1999-07-02,0.00090882853008214,FREAX,real estate,1999
1999-07-06,-0.0030329299279598203,FREAX,real estate,1999
1999-07-07,-0.0065487038767249196,FREAX,real estate,1999
1999-07-08,-0.007376500180588001,FREAX,real estate,1999
1999-07-09,0.0038960072030728606,FREAX,real estate,1999
1999-07-12,0.0024248428354762238,FREAX,real estate,1999
1999-07-13,0.0006459410401673184,FREAX,real estate,1999
1999-07-14,-0.0019927992246995705,FREAX,real estate,1999
1999-07-15,0.002145930370276543,FREAX,real estate,1999
1999-07-16,-0.0011303909873489697,FREAX,real estate,1999
1999-07-19,-0.0015658635316265746,FREAX,real estate,1999
1999-07-20,-0.002662017445338524,FREAX,real estate,1999
1999-07-21,0.00039226627523433104,FREAX,real estate,1999
1999-07-22,-0.002603312034551571,FREAX,real estate,1999
1999-07-23,-0.0020801247026580867,FREAX,real estate,1999
1999-07-26,-0.005798131009391484,FREAX,real estate,1999
1999-07-27,-0.0014533777451795893,FREAX,real estate,1999
1999-07-28,-0.002643116239550545,FREAX,real estate,1999
1999-07-29,-0.0034538053170232817,FREAX,real estate,1999
1999-07-30,0.010234567840414434,FREAX,real estate,1999
1999-08-02,-0.004272796027195543,FREAX,real estate,1999
1999-08-03,-0.0018300507748021176,FREAX,real estate,1999
1999-08-04,-0.0069691957335499734,FREAX,real estate,1999
1999-08-05,-0.0032918766035333396,FREAX,real estate,1999
1999-08-06,-0.0003454028284308919,FREAX,real estate,1999
1999-08-09,-0.0030132185982045747,FREAX,real estate,1999
1999-08-10,-0.0029831634942823907,FREAX,real estate,1999
1999-08-11,-0.000986960989323328,FREAX,real estate,1999
1999-08-12,0.003876915329968332,FREAX,real estate,1999
1999-08-13,0.005804359574810136,FREAX,real estate,1999
1999-08-16,-0.001063457029963175,FREAX,real estate,1999
1999-08-17,0.001346301366178755,FREAX,real estate,1999
1999-08-18,0.00364511938328042,FREAX,real estate,1999
1999-08-19,0.00025275628524910746,FREAX,real estate,1999
1999-08-20,0.0009662639181102356,FREAX,real estate,1999
1999-08-23,2.8325495296636655e-05,FREAX,real estate,1999
1999-08-24,-0.0035829881716677677,FREAX,real estate,1999
1999-08-25,-0.00428268860460607,FREAX,real estate,1999
1999-08-26,0.0015179925246923873,FREAX,real estate,1999
1999-08-27,0.0006576426746592337,FREAX,real estate,1999
1999-08-30,-0.0030613288608372703,FREAX,real estate,1999
1999-08-31,0.014763174528024494,FREAX,real estate,1999
1999-09-01,-0.006216798992919821,FREAX,real estate,1999
1999-09-02,-0.0028654151007725176,FREAX,real estate,1999
1999-09-03,-0.002760035413797393,FREAX,real estate,1999
1999-09-07,0.007674093977289947,FREAX,real estate,1999
1999-09-08,-0.002706274827428028,FREAX,real estate,1999
1999-09-09,-0.004047731388356246,FREAX,real estate,1999
1999-09-10,-0.0005925408743134894,FREAX,real estate,1999
1999-09-13,-0.0016548957673968166,FREAX,real estate,1999
1999-09-14,-0.006081582999371116,FREAX,real estate,1999
1999-09-15,-0.004284475137660085,FREAX,real estate,1999
1999-09-16,-0.002807930582543423,FREAX,real estate,1999
1999-09-17,-0.0010379177094279567,FREAX,real estate,1999
1999-09-20,-0.0040513685726324454,FREAX,real estate,1999
1999-09-21,-0.007421509012961146,FREAX,real estate,1999
1999-09-22,-0.0021942909818050103,FREAX,real estate,1999
1999-09-23,-0.0012475735080802772,FREAX,real estate,1999
1999-09-24,-0.004262530277684133,FREAX,real estate,1999
1999-09-27,-0.002275196836261506,FREAX,real estate,1999
1999-09-28,0.000476607903538893,FREAX,real estate,1999
1999-09-29,-0.0003531333253394878,FREAX,real estate,1999
1999-09-30,0.007106687338287137,FREAX,real estate,1999
1999-10-01,-0.004137159359014011,FREAX,real estate,1999
1999-10-04,0.002158294177700095,FREAX,real estate,1999
1999-10-05,0.004088063621019363,FREAX,real estate,1999
1999-10-06,-0.0022405013019142776,FREAX,real estate,1999
1999-10-07,-0.007471942181425502,FREAX,real estate,1999
1999-10-08,-0.004101713295137907,FREAX,real estate,1999
1999-10-11,0.004189555373496661,FREAX,real estate,1999
1999-10-12,-0.0009206229863631377,FREAX,real estate,1999
