Date,Residual,Fund,Sector,Year
1999-01-05,0.0032243367296805924,FRESX,real estate,1999
1999-01-06,-0.0034228568646203477,FRESX,real estate,1999
1999-01-07,-0.004931852629088817,FRESX,real estate,1999
1999-01-08,0.0037293535150823656,FRESX,real estate,1999
1999-01-11,7.493965780709525e-05,FRESX,real estate,1999
1999-01-12,-0.0007905478422652362,FRESX,real estate,1999
1999-01-13,-0.004062772341155934,FRESX,real estate,1999
1999-01-14,-0.004090413191919768,FRESX,real estate,1999
1999-01-15,-0.0030261759588411045,FRESX,real estate,1999
1999-01-19,0.0038863530437700964,FRESX,real estate,1999
1999-01-20,-0.003377503637875712,FRESX,real estate,1999
1999-01-21,0.00020905815675096185,FRESX,real estate,1999
1999-01-22,0.003684394717170583,FRESX,real estate,1999
1999-01-25,0.000851534558489026,FRESX,real estate,1999
1999-01-26,-0.004630362446687275,FRESX,real estate,1999
1999-01-27,-0.005482858568399977,FRESX,real estate,1999
1999-01-28,-0.009030202317765244,FRESX,real estate,1999
1999-01-29,-0.006649131360385124,FRESX,real estate,1999
1999-02-01,0.008127278301990944,FRESX,real estate,1999
1999-02-02,0.0054983780106314046,FRESX,real estate,1999
1999-02-03,0.008021669688384633,FRESX,real estate,1999
1999-02-04,0.0032990370099432948,FRESX,real estate,1999
1999-02-05,-0.0035642661942626606,FRESX,real estate,1999
1999-02-08,0.001218101396481726,FRESX,real estate,1999
1999-02-09,0.0022763111573050328,FRESX,real estate,1999
1999-02-10,-0.009014264054149623,FRESX,real estate,1999
1999-02-11,-0.009167297295752054,FRESX,real estate,1999
1999-02-12,-0.0036003485367769555,FRESX,real estate,1999
1999-02-16,0.00025987923987020245,FRESX,real estate,1999
1999-02-17,-0.0016811589700769384,FRESX,real estate,1999
1999-02-18,0.002507504585008557,FRESX,real estate,1999
1999-02-19,0.0003042439878939214,FRESX,real estate,1999
1999-02-22,0.008089390709885609,FRESX,real estate,1999
1999-02-23,0.006092935309391516,FRESX,real estate,1999
1999-02-24,0.0010459833232980913,FRESX,real estate,1999
1999-02-25,-0.002550181086994244,FRESX,real estate,1999
1999-02-26,-0.0038861576686662373,FRESX,real estate,1999
1999-03-01,0.0017920586179800714,FRESX,real estate,1999
1999-03-02,-4.684590397453499e-05,FRESX,real estate,1999
1999-03-03,0.0008226881492885737,FRESX,real estate,1999
1999-03-04,0.0038366357873979256,FRESX,real estate,1999
1999-03-05,0.004271060657259312,FRESX,real estate,1999
1999-03-08,-0.003888729263020113,FRESX,real estate,1999
1999-03-09,0.0017819019171970052,FRESX,real estate,1999
1999-03-10,-0.004176018621104173,FRESX,real estate,1999
1999-03-11,-0.002506540505566452,FRESX,real estate,1999
1999-03-12,-0.0019366642089884286,FRESX,real estate,1999
1999-03-15,-0.008828927429660665,FRESX,real estate,1999
1999-03-16,-0.009319340025521722,FRESX,real estate,1999
1999-03-17,0.0020431729099091834,FRESX,real estate,1999
1999-03-18,-0.0031431165131133674,FRESX,real estate,1999
1999-03-19,-0.0024337917370394406,FRESX,real estate,1999
1999-03-22,-0.007476530328352634,FRESX,real estate,1999
1999-03-23,-0.0023905601592870357,FRESX,real estate,1999
1999-03-24,0.0015227838383739044,FRESX,real estate,1999
1999-03-25,-0.005746993897041088,FRESX,real estate,1999
1999-03-26,0.001062501940034128,FRESX,real estate,1999
1999-03-29,0.008638051221269495,FRESX,real estate,1999
1999-03-30,0.00149365273894057,FRESX,real estate,1999
1999-03-31,0.006877456369140077,FRESX,real estate,1999
1999-04-01,-0.0034453415509690297,FRESX,real estate,1999
1999-04-05,-0.0013872960052701028,FRESX,real estate,1999
1999-04-06,-0.0008840819780887613,FRESX,real estate,1999
1999-04-07,-0.0001407544414947174,FRESX,real estate,1999
1999-04-08,0.0026617261756132706,FRESX,real estate,1999
1999-04-09,-0.00589997005648602,FRESX,real estate,1999
1999-04-12,0.008323022839522973,FRESX,real estate,1999
1999-04-13,0.0089942569506057,FRESX,real estate,1999
1999-04-14,0.01153783404669919,FRESX,real estate,1999
1999-04-15,0.018397852884798175,FRESX,real estate,1999
1999-04-16,0.03482864750573406,FRESX,real estate,1999
1999-04-19,0.02083233563061778,FRESX,real estate,1999
1999-04-20,-0.005052953471390655,FRESX,real estate,1999
1999-04-21,-0.003340863266420613,FRESX,real estate,1999
1999-04-22,0.0020871553266285895,FRESX,real estate,1999
1999-04-23,0.005397219047203931,FRESX,real estate,1999
1999-04-26,-0.0011454832834088538,FRESX,real estate,1999
1999-04-27,-0.010202905500563363,FRESX,real estate,1999
1999-04-28,0.009880691142775047,FRESX,real estate,1999
1999-04-29,-0.0007284185910324274,FRESX,real estate,1999
1999-04-30,0.011609266332248451,FRESX,real estate,1999
1999-05-03,0.004607574712110657,FRESX,real estate,1999
1999-05-04,0.002530737733183364,FRESX,real estate,1999
1999-05-05,0.004022645728518636,FRESX,real estate,1999
1999-05-06,0.003928878179876149,FRESX,real estate,1999
1999-05-07,0.0034309439742894066,FRESX,real estate,1999
1999-05-10,0.018066663407073667,FRESX,real estate,1999
1999-05-11,0.002444508450934412,FRESX,real estate,1999
1999-05-12,0.0009618777372135084,FRESX,real estate,1999
1999-05-13,-0.004439550791308385,FRESX,real estate,1999
1999-05-14,-0.008928158222308769,FRESX,real estate,1999
1999-05-17,-0.006123553721686873,FRESX,real estate,1999
1999-05-18,-0.008537870834218177,FRESX,real estate,1999
1999-05-19,0.00589878110290596,FRESX,real estate,1999
1999-05-20,0.0110685791379873,FRESX,real estate,1999
1999-05-21,0.007365494171864254,FRESX,real estate,1999
1999-05-24,-0.00013317585111968832,FRESX,real estate,1999
1999-05-25,-0.0025465910144273677,FRESX,real estate,1999
1999-05-26,-0.010664375221243083,FRESX,real estate,1999
1999-05-27,0.0031343090814426574,FRESX,real estate,1999
1999-05-28,0.0021845296652000415,FRESX,real estate,1999
1999-06-01,-0.0011822776945102423,FRESX,real estate,1999
1999-06-02,-0.0017324331858303288,FRESX,real estate,1999
1999-06-03,0.00367004744590937,FRESX,real estate,1999
1999-06-04,-0.004673590358243194,FRESX,real estate,1999
1999-06-07,-0.0025269118228186394,FRESX,real estate,1999
1999-06-08,-0.003992458577276576,FRESX,real estate,1999
1999-06-09,0.0014895047221299578,FRESX,real estate,1999
1999-06-10,-0.005288662351517173,FRESX,real estate,1999
1999-06-11,-0.000625978276833808,FRESX,real estate,1999
