Date,Residual,Fund,Sector,Year
1999-01-05,0.0016381876601750571,IARAX,real estate,1999
1999-01-06,-0.0005535640277061229,IARAX,real estate,1999
1999-01-07,-0.0043828087053740345,IARAX,real estate,1999
1999-01-08,0.0003382188571192453,IARAX,real estate,1999
1999-01-11,-0.0013366608820026564,IARAX,real estate,1999
1999-01-12,-0.0013189717968332413,IARAX,real estate,1999
1999-01-13,-0.0016135313426732115,IARAX,real estate,1999
1999-01-14,-0.005741550169692371,IARAX,real estate,1999
1999-01-15,0.0027803256491791394,IARAX,real estate,1999
1999-01-19,0.003050647820568721,IARAX,real estate,1999
1999-01-20,-0.007530039107936403,IARAX,real estate,1999
1999-01-21,-0.00047615788172512396,IARAX,real estate,1999
1999-01-22,-0.004773050687316285,IARAX,real estate,1999
1999-01-25,0.0018282160247328342,IARAX,real estate,1999
1999-01-26,-0.00604940392330661,IARAX,real estate,1999
1999-01-27,-0.0029479266199820327,IARAX,real estate,1999
1999-01-28,-0.007719708035283662,IARAX,real estate,1999
1999-01-29,-0.009478025131055235,IARAX,real estate,1999
1999-02-01,-0.0009381773506593933,IARAX,real estate,1999
1999-02-02,0.003601434770030105,IARAX,real estate,1999
1999-02-03,0.007287529449357609,IARAX,real estate,1999
1999-02-04,0.0053865231666638536,IARAX,real estate,1999
1999-02-05,-0.001222249303622477,IARAX,real estate,1999
1999-02-08,-0.001744649210324666,IARAX,real estate,1999
1999-02-09,0.001695620964867174,IARAX,real estate,1999
1999-02-10,-0.010261237458038246,IARAX,real estate,1999
1999-02-11,-0.009382444533454819,IARAX,real estate,1999
1999-02-12,-0.006685393843452639,IARAX,real estate,1999
1999-02-16,0.0008841457812786529,IARAX,real estate,1999
1999-02-17,-0.004231295070066039,IARAX,real estate,1999
1999-02-18,0.002188926295915037,IARAX,real estate,1999
1999-02-19,-0.000199471134107708,IARAX,real estate,1999
1999-02-22,0.009410484366401054,IARAX,real estate,1999
1999-02-23,0.0003008766701167142,IARAX,real estate,1999
1999-02-24,0.002095223306989209,IARAX,real estate,1999
1999-02-25,-0.0033003611878291753,IARAX,real estate,1999
1999-02-26,-0.0020658051816617243,IARAX,real estate,1999
1999-03-01,0.0027030096956617354,IARAX,real estate,1999
1999-03-02,-0.00338960960606191,IARAX,real estate,1999
1999-03-03,-0.003058660349629571,IARAX,real estate,1999
1999-03-04,-0.00015452863319460712,IARAX,real estate,1999
1999-03-05,0.0045732845850736305,IARAX,real estate,1999
1999-03-08,-0.004078846766484869,IARAX,real estate,1999
1999-03-09,0.0005041983502750699,IARAX,real estate,1999
1999-03-10,-0.0015854684764487776,IARAX,real estate,1999
1999-03-11,-0.0018298944981187536,IARAX,real estate,1999
1999-03-12,0.002167066288608778,IARAX,real estate,1999
1999-03-15,-0.010406276586621013,IARAX,real estate,1999
1999-03-16,-0.003051904979195593,IARAX,real estate,1999
1999-03-17,-0.001157825260869034,IARAX,real estate,1999
1999-03-18,-0.006083611044654157,IARAX,real estate,1999
1999-03-19,-0.0010082878184915788,IARAX,real estate,1999
1999-03-22,-0.007563388834827381,IARAX,real estate,1999
1999-03-23,-0.0015262021045554697,IARAX,real estate,1999
1999-03-24,-0.0032360561685494775,IARAX,real estate,1999
1999-03-25,-0.0009218398813774579,IARAX,real estate,1999
1999-03-26,0.0019724005492206343,IARAX,real estate,1999
1999-03-29,0.009711002720513144,IARAX,real estate,1999
1999-03-30,0.004611050608034873,IARAX,real estate,1999
1999-03-31,0.015223579022594257,IARAX,real estate,1999
1999-04-01,-0.008974372379921996,IARAX,real estate,1999
1999-04-05,-0.0003362072343231601,IARAX,real estate,1999
1999-04-06,0.0014393872881530584,IARAX,real estate,1999
1999-04-07,-0.004361358411279467,IARAX,real estate,1999
1999-04-08,0.0008162573107362071,IARAX,real estate,1999
1999-04-09,-0.0007185801550028861,IARAX,real estate,1999
1999-04-12,0.007641572010953726,IARAX,real estate,1999
1999-04-13,0.005606850034637049,IARAX,real estate,1999
1999-04-14,0.015070887442194399,IARAX,real estate,1999
1999-04-15,0.019058745744232348,IARAX,real estate,1999
1999-04-16,0.032781999529563476,IARAX,real estate,1999
1999-04-19,0.017640487391110314,IARAX,real estate,1999
1999-04-20,-0.0036512721227099044,IARAX,real estate,1999
1999-04-21,-0.00014603264563041538,IARAX,real estate,1999
1999-04-22,0.004432967260753321,IARAX,real estate,1999
1999-04-23,0.007380133956635963,IARAX,real estate,1999
1999-04-26,-0.00631931658424968,IARAX,real estate,1999
1999-04-27,-0.005398544082296082,IARAX,real estate,1999
1999-04-28,0.008574980478563655,IARAX,real estate,1999
1999-04-29,0.0019026902438782239,IARAX,real estate,1999
1999-04-30,0.0122212547653099,IARAX,real estate,1999
1999-05-03,0.0017210588477745384,IARAX,real estate,1999
1999-05-04,5.650357310122865e-05,IARAX,real estate,1999
1999-05-05,0.0011082130782620267,IARAX,real estate,1999
1999-05-06,0.0034214420269190566,IARAX,real estate,1999
1999-05-07,0.00618504481670901,IARAX,real estate,1999
1999-05-10,0.014972420072505366,IARAX,real estate,1999
1999-05-11,0.004957085301144322,IARAX,real estate,1999
1999-05-12,0.005163990847323769,IARAX,real estate,1999
1999-05-13,-0.001832996925991032,IARAX,real estate,1999
1999-05-14,-0.008457003020705928,IARAX,real estate,1999
1999-05-17,-0.008318483597557809,IARAX,real estate,1999
1999-05-18,-0.005379453436071724,IARAX,real estate,1999
1999-05-19,0.0061878543835802114,IARAX,real estate,1999
1999-05-20,0.011685524146148539,IARAX,real estate,1999
1999-05-21,0.00494644954445736,IARAX,real estate,1999
1999-05-24,-0.00292389632302314,IARAX,real estate,1999
1999-05-25,0.0011214828208697173,IARAX,real estate,1999
1999-05-26,-0.010800194414582956,IARAX,real estate,1999
1999-05-27,0.0034166474466908797,IARAX,real estate,1999
1999-05-28,0.0022371787499443716,IARAX,real estate,1999
1999-06-01,-0.00021388741137694104,IARAX,real estate,1999
1999-06-02,-0.0006793076516580721,IARAX,real estate,1999
1999-06-03,-0.0003291489765619039,IARAX,real estate,1999
1999-06-04,-0.0026822559741240875,IARAX,real estate,1999
1999-06-07,-0.0025096583100050873,IARAX,real estate,1999
1999-06-08,-0.0028827527243082706,IARAX,real estate,1999
1999-06-09,0.0020194111190514827,IARAX,real estate,1999
1999-06-10,-0.003789833266205935,IARAX,real estate,1999
1999-06-11,-0.0013914563939356089,IARAX,real estate,1999
1999-06-14,-0.003211941166329488,IARAX,real estate,1999
1999-06-15,0.007133690829131281,IARAX,real estate,1999
1999-06-16,0.004108976744747691,IARAX,real estate,1999
1999-06-17,0.0009327035302419324,IARAX,real estate,1999
1999-06-18,-0.003235462572843689,IARAX,real estate,1999
1999-06-21,-0.0025256535353023876,IARAX,real estate,1999
1999-06-22,-0.0049439642457763475,IARAX,real estate,1999
1999-06-23,-0.006045310038780221,IARAX,real estate,1999
1999-06-24,-0.004105375235916694,IARAX,real estate,1999
1999-06-25,-0.0003519143877827145,IARAX,real estate,1999
1999-06-28,0.005867861163852377,IARAX,real estate,1999
1999-06-29,-0.001586836660962159,IARAX,real estate,1999
1999-06-30,0.003495983393138711,IARAX,real estate,1999
1999-07-01,-0.0030946770329060187,IARAX,real estate,1999
1999-07-02,0.0017714499548930724,IARAX,real estate,1999
1999-07-06,-0.00398925719233099,IARAX,real estate,1999
1999-07-07,-0.007596206752066257,IARAX,real estate,1999
1999-07-08,-0.00673501212972511,IARAX,real estate,1999
1999-07-09,0.0004985592103498363,IARAX,real estate,1999
1999-07-12,0.0024507268413825126,IARAX,real estate,1999
1999-07-13,-0.00024349852998957683,IARAX,real estate,1999
1999-07-14,-0.0029376215189223604,IARAX,real estate,1999
1999-07-15,0.003062888995617771,IARAX,real estate,1999
1999-07-16,-0.0011849767529738086,IARAX,real estate,1999
1999-07-19,-0.0007931228273053462,IARAX,real estate,1999
1999-07-20,-0.0036854661219535537,IARAX,real estate,1999
1999-07-21,0.0012415717580458675,IARAX,real estate,1999
1999-07-22,-0.0001216940087811029,IARAX,real estate,1999
1999-07-23,-0.003045783195237785,IARAX,real estate,1999
1999-07-26,-0.006881144576813526,IARAX,real estate,1999
1999-07-27,0.00026111361163307534,IARAX,real estate,1999
1999-07-28,-0.0018557976412697462,IARAX,real estate,1999
1999-07-29,-0.006258926925096523,IARAX,real estate,1999
1999-07-30,0.00957350257901762,IARAX,real estate,1999
1999-08-02,-0.0035388197786161988,IARAX,real estate,1999
1999-08-03,-0.0010371996649593898,IARAX,real estate,1999
1999-08-04,-0.006333447486996234,IARAX,real estate,1999
1999-08-05,-0.004291884931402375,IARAX,real estate,1999
1999-08-06,-0.00041098142036310233,IARAX,real estate,1999
1999-08-09,-0.004038211162626411,IARAX,real estate,1999
1999-08-10,-0.001313967123547786,IARAX,real estate,1999
1999-08-11,-0.001020524547906585,IARAX,real estate,1999
1999-08-12,0.005767143336801252,IARAX,real estate,1999
1999-08-13,0.004155552914495592,IARAX,real estate,1999
1999-08-16,-0.00021673865722944666,IARAX,real estate,1999
1999-08-17,0.002260338160539028,IARAX,real estate,1999
1999-08-18,0.00548258470438525,IARAX,real estate,1999
1999-08-19,0.00021350049534603994,IARAX,real estate,1999
1999-08-20,0.000975152976619878,IARAX,real estate,1999
1999-08-23,-0.0017517254753173696,IARAX,real estate,1999
1999-08-24,-0.003698763052043763,IARAX,real estate,1999
1999-08-25,-0.0035073729817989624,IARAX,real estate,1999
1999-08-26,0.0006043498398743632,IARAX,real estate,1999
1999-08-27,0.0024144865151895026,IARAX,real estate,1999
1999-08-30,-0.0022990836301368133,IARAX,real estate,1999
1999-08-31,0.016860103413968458,IARAX,real estate,1999
1999-09-01,-0.00901500788981308,IARAX,real estate,1999
1999-09-02,-0.0020908627058523607,IARAX,real estate,1999
1999-09-03,0.003472451439619265,IARAX,real estate,1999
1999-09-07,0.0015253424306493732,IARAX,real estate,1999
1999-09-08,-0.002805058291990819,IARAX,real estate,1999
1999-09-09,-0.00417084111684727,IARAX,real estate,1999
1999-09-10,-0.0006234299184621247,IARAX,real estate,1999
1999-09-13,-0.0017339663861468747,IARAX,real estate,1999
1999-09-14,-0.005360756588326623,IARAX,real estate,1999
1999-09-15,-0.0026217268765743647,IARAX,real estate,1999
1999-09-16,-0.0010683214812788242,IARAX,real estate,1999
1999-09-17,-0.00016178466416974112,IARAX,real estate,1999
1999-09-20,-0.0014413982693681437,IARAX,real estate,1999
1999-09-21,-0.003993846723735853,IARAX,real estate,1999
1999-09-22,-0.0033453166160346006,IARAX,real estate,1999
1999-09-23,-0.0022113813521152646,IARAX,real estate,1999
1999-09-24,-0.004321253931650611,IARAX,real estate,1999
1999-09-27,0.0014367685466792545,IARAX,real estate,1999
1999-09-28,-0.0014213927320048214,IARAX,real estate,1999
1999-09-29,0.0024360441168281284,IARAX,real estate,1999
1999-09-30,0.008971183192970564,IARAX,real estate,1999
1999-10-01,-0.007878646106183235,IARAX,real estate,1999
1999-10-04,0.0012013476977272778,IARAX,real estate,1999
1999-10-05,0.005018286886546637,IARAX,real estate,1999
1999-10-06,-0.0013516082710490608,IARAX,real estate,1999
1999-10-07,-0.009381908674491082,IARAX,real estate,1999
1999-10-08,-0.002275481641103114,IARAX,real estate,1999
1999-10-11,0.004179926657257438,IARAX,real estate,1999
1999-10-12,-0.0037547130160725823,IARAX,real estate,1999
1999-10-13,-0.007401137768843194,IARAX,real estate,1999
1999-10-14,-0.004482433388957119,IARAX,real estate,1999
1999-10-15,-0.0037638597138671005,IARAX,real estate,1999
1999-10-18,-0.0033974241852214914,IARAX,real estate,1999
1999-10-19,0.0011668468024816588,IARAX,real estate,1999
1999-10-20,-0.0017429828826602506,IARAX,real estate,1999
1999-10-21,-0.008076628498972432,IARAX,real estate,1999
1999-10-22,0.0003343970563297971,IARAX,real estate,1999
1999-10-25,-0.0021347712359380457,IARAX,real estate,1999
1999-10-26,-0.003306417248558199,IARAX,real estate,1999
1999-10-27,-0.0016425969982846967,IARAX,real estate,1999
1999-10-28,0.0015759796931299756,IARAX,real estate,1999
1999-10-29,0.01198649835657465,IARAX,real estate,1999
1999-11-01,0.006150106163887545,IARAX,real estate,1999
1999-11-02,0.012469591474443566,IARAX,real estate,1999
1999-11-03,0.0042712725627215425,IARAX,real estate,1999
1999-11-04,-0.004308509066144963,IARAX,real estate,1999
1999-11-05,-0.004557684802519111,IARAX,real estate,1999
1999-11-08,-0.001741286884477878,IARAX,real estate,1999
1999-11-09,0.0002836098312725147,IARAX,real estate,1999
1999-11-10,-0.0033793072045232415,IARAX,real estate,1999
1999-11-11,-0.00510997630720183,IARAX,real estate,1999
1999-11-12,-0.002610083471893494,IARAX,real estate,1999
1999-11-15,-0.004794179559850496,IARAX,real estate,1999
1999-11-16,0.00033884672795747963,IARAX,real estate,1999
1999-11-17,-2.8004834783842676e-05,IARAX,real estate,1999
1999-11-18,-0.004342201990287402,IARAX,real estate,1999
1999-11-19,0.004209603963663859,IARAX,real estate,1999
1999-11-22,-0.009361487305679367,IARAX,real estate,1999
1999-11-23,-0.003696601134619412,IARAX,real estate,1999
1999-11-24,-0.00030576456148151556,IARAX,real estate,1999
1999-11-26,-0.0003364922615511765,IARAX,real estate,1999
1999-11-29,-0.003294294356339895,IARAX,real estate,1999
