Date,Residual,Fund,Sector,Year
1999-01-05,0.004356556706110575,TRREX,real estate,1999
1999-01-06,0.0003520840699468017,TRREX,real estate,1999
1999-01-07,-0.007057717673937621,TRREX,real estate,1999
1999-01-08,0.002615326236236784,TRREX,real estate,1999
1999-01-11,-0.0053352359354146926,TRREX,real estate,1999
1999-01-12,-0.0008114165122277079,TRREX,real estate,1999
1999-01-13,-0.0011541095931162915,TRREX,real estate,1999
1999-01-14,-0.003204273901705455,TRREX,real estate,1999
1999-01-15,0.001315170282176446,TRREX,real estate,1999
1999-01-19,0.003917290112524037,TRREX,real estate,1999
1999-01-20,-0.004318491670359147,TRREX,real estate,1999
1999-01-21,0.0003079664059694675,TRREX,real estate,1999
1999-01-22,-0.0006529254729207667,TRREX,real estate,1999
1999-01-25,0.0011298269769594099,TRREX,real estate,1999
1999-01-26,-0.004554935246050431,TRREX,real estate,1999
1999-01-27,-0.005169027526656796,TRREX,real estate,1999
1999-01-28,-0.010206932860133428,TRREX,real estate,1999
1999-01-29,-0.006697440633831262,TRREX,real estate,1999
1999-02-01,0.00805804103672989,TRREX,real estate,1999
1999-02-02,0.0010203415028051813,TRREX,real estate,1999
1999-02-03,0.0046808155269679064,TRREX,real estate,1999
1999-02-04,0.0033690768419006915,TRREX,real estate,1999
1999-02-05,-0.0005929572035424633,TRREX,real estate,1999
1999-02-08,-7.853549480700957e-05,TRREX,real estate,1999
1999-02-09,0.002035224996113228,TRREX,real estate,1999
1999-02-10,-0.00767346121793124,TRREX,real estate,1999
1999-02-11,-0.008774287501102608,TRREX,real estate,1999
1999-02-12,-0.006469862957043485,TRREX,real estate,1999
1999-02-16,0.0010083708664009852,TRREX,real estate,1999
1999-02-17,-0.005630138273663769,TRREX,real estate,1999
1999-02-18,0.003927183537302823,TRREX,real estate,1999
1999-02-19,0.0020014989103555084,TRREX,real estate,1999
1999-02-22,0.006131737319147021,TRREX,real estate,1999
1999-02-23,0.0014373974028344338,TRREX,real estate,1999
1999-02-24,0.003743680856099884,TRREX,real estate,1999
1999-02-25,-0.003238367527177907,TRREX,real estate,1999
1999-02-26,-0.0016302207680850029,TRREX,real estate,1999
1999-03-01,0.006927873931351138,TRREX,real estate,1999
1999-03-02,0.00020305371370895036,TRREX,real estate,1999
1999-03-03,-0.0017037426371651196,TRREX,real estate,1999
1999-03-04,0.0020274078173684205,TRREX,real estate,1999
1999-03-05,0.00336335982004153,TRREX,real estate,1999
1999-03-08,-0.0018491316666163422,TRREX,real estate,1999
1999-03-09,0.0016896932634946006,TRREX,real estate,1999
1999-03-10,-0.0033254283208053285,TRREX,real estate,1999
1999-03-11,-0.003646285380150261,TRREX,real estate,1999
1999-03-12,0.00030514373106417005,TRREX,real estate,1999
1999-03-15,-0.006423485027159403,TRREX,real estate,1999
1999-03-16,-0.006379135911540932,TRREX,real estate,1999
1999-03-17,0.0007712352650859824,TRREX,real estate,1999
1999-03-18,-0.004348998119248833,TRREX,real estate,1999
1999-03-19,-0.002289179451159989,TRREX,real estate,1999
1999-03-22,-0.008450239617648628,TRREX,real estate,1999
1999-03-23,-0.003172058249443066,TRREX,real estate,1999
1999-03-24,0.000642479438761203,TRREX,real estate,1999
1999-03-25,-0.002556011823789397,TRREX,real estate,1999
1999-03-26,-4.844998473026185e-05,TRREX,real estate,1999
1999-03-29,0.009733687507670246,TRREX,real estate,1999
1999-03-30,0.0033183526823822116,TRREX,real estate,1999
1999-03-31,0.009597349255638668,TRREX,real estate,1999
1999-04-01,-0.005617788327359401,TRREX,real estate,1999
1999-04-05,-0.0005828841109160026,TRREX,real estate,1999
1999-04-06,-0.0018930730153315927,TRREX,real estate,1999
1999-04-07,-0.0032998256645536874,TRREX,real estate,1999
1999-04-08,0.0009046046461693342,TRREX,real estate,1999
1999-04-09,-0.0022492703434773944,TRREX,real estate,1999
1999-04-12,0.006005983521217666,TRREX,real estate,1999
1999-04-13,0.009449135893139627,TRREX,real estate,1999
1999-04-14,0.013158756581569897,TRREX,real estate,1999
1999-04-15,0.017168413306112913,TRREX,real estate,1999
1999-04-16,0.03489696018130063,TRREX,real estate,1999
1999-04-19,0.019066904712437757,TRREX,real estate,1999
1999-04-20,-0.0025955216859343032,TRREX,real estate,1999
1999-04-21,-0.0036534729617257095,TRREX,real estate,1999
1999-04-22,0.005530283261648626,TRREX,real estate,1999
1999-04-23,0.00600774737580091,TRREX,real estate,1999
1999-04-26,-0.00602703677826128,TRREX,real estate,1999
1999-04-27,-0.007025376988367514,TRREX,real estate,1999
1999-04-28,0.010848948232774979,TRREX,real estate,1999
1999-04-29,0.0001247896117594989,TRREX,real estate,1999
1999-04-30,0.012227908494884922,TRREX,real estate,1999
1999-05-03,0.000979326210727956,TRREX,real estate,1999
1999-05-04,-4.494478784690349e-05,TRREX,real estate,1999
1999-05-05,0.0034487505462079387,TRREX,real estate,1999
1999-05-06,-5.7628819495491104e-05,TRREX,real estate,1999
1999-05-07,0.004560700299618895,TRREX,real estate,1999
1999-05-10,0.014794951668057731,TRREX,real estate,1999
1999-05-11,0.005174523945787049,TRREX,real estate,1999
1999-05-12,0.004391392151940219,TRREX,real estate,1999
1999-05-13,-0.0014362141660579143,TRREX,real estate,1999
1999-05-14,-0.007825391396576833,TRREX,real estate,1999
1999-05-17,-0.005506787746260214,TRREX,real estate,1999
1999-05-18,-0.0038124225284203576,TRREX,real estate,1999
1999-05-19,0.004561735785529774,TRREX,real estate,1999
1999-05-20,0.010566567913393499,TRREX,real estate,1999
1999-05-21,0.008312943519876225,TRREX,real estate,1999
1999-05-24,-0.0017491720569716386,TRREX,real estate,1999
1999-05-25,0.0002727530296298287,TRREX,real estate,1999
1999-05-26,-0.014975445257415511,TRREX,real estate,1999
