Date,Residual,Fund,Sector,Year
1999-01-05,0.008814497687066342,FDCPX,technology,1999
1999-01-06,-0.01298106095137428,FDCPX,technology,1999
1999-01-07,0.010747729431153537,FDCPX,technology,1999
1999-01-08,-0.009317400192021038,FDCPX,technology,1999
1999-01-11,0.029386943521994037,FDCPX,technology,1999
1999-01-12,-0.003706123290788888,FDCPX,technology,1999
1999-01-13,0.01555295132683207,FDCPX,technology,1999
1999-01-14,0.005873570604608878,FDCPX,technology,1999
1999-01-15,-0.0018273473499368087,FDCPX,technology,1999
1999-01-19,0.00951925323636035,FDCPX,technology,1999
1999-01-20,0.0032876365681138945,FDCPX,technology,1999
1999-01-21,0.003218368368224988,FDCPX,technology,1999
1999-01-22,-0.01452502953321497,FDCPX,technology,1999
1999-01-25,-0.004997959850496446,FDCPX,technology,1999
1999-01-26,0.007298666002126149,FDCPX,technology,1999
1999-01-27,-0.0056112347088229375,FDCPX,technology,1999
1999-01-28,0.009047817293482873,FDCPX,technology,1999
1999-01-29,0.012836352155301963,FDCPX,technology,1999
1999-02-01,0.0036325754542529736,FDCPX,technology,1999
1999-02-02,-0.012454374615486243,FDCPX,technology,1999
1999-02-03,0.0026607929238207147,FDCPX,technology,1999
1999-02-04,-0.021938152300001238,FDCPX,technology,1999
1999-02-05,-0.004949874602847678,FDCPX,technology,1999
1999-02-08,0.019005606893722972,FDCPX,technology,1999
1999-02-09,-0.022515207689978986,FDCPX,technology,1999
1999-02-10,-0.003881725207107876,FDCPX,technology,1999
1999-02-11,0.021417962381524585,FDCPX,technology,1999
1999-02-12,-0.023837574388338095,FDCPX,technology,1999
1999-02-16,0.00590633286721535,FDCPX,technology,1999
1999-02-17,-0.03699121212866501,FDCPX,technology,1999
1999-02-18,-0.00504823224212167,FDCPX,technology,1999
1999-02-19,0.002589731383297724,FDCPX,technology,1999
1999-02-22,-0.003704655729640502,FDCPX,technology,1999
1999-02-23,0.01126871229976788,FDCPX,technology,1999
1999-02-24,0.01126498639831676,FDCPX,technology,1999
1999-02-25,-0.013046978264591051,FDCPX,technology,1999
1999-02-26,-0.04295963428954727,FDCPX,technology,1999
1999-03-01,-0.0045797361540234295,FDCPX,technology,1999
1999-03-02,-0.012831444781996564,FDCPX,technology,1999
1999-03-03,0.002207321073887136,FDCPX,technology,1999
1999-03-04,-0.007006092252325383,FDCPX,technology,1999
1999-03-05,0.01316274692951511,FDCPX,technology,1999
1999-03-08,0.020274112168524122,FDCPX,technology,1999
1999-03-09,-0.010854296831737668,FDCPX,technology,1999
1999-03-10,-0.007215557226783062,FDCPX,technology,1999
1999-03-11,-0.019158457075808343,FDCPX,technology,1999
1999-03-12,-0.006793583120003234,FDCPX,technology,1999
1999-03-15,-0.000269800095802495,FDCPX,technology,1999
1999-03-16,0.023743020774753817,FDCPX,technology,1999
1999-03-17,0.005436708860192613,FDCPX,technology,1999
1999-03-18,-0.0075460474159233255,FDCPX,technology,1999
1999-03-19,-7.98005619421574e-05,FDCPX,technology,1999
1999-03-22,-0.0076037613494017485,FDCPX,technology,1999
1999-03-23,-0.0016397991265412956,FDCPX,technology,1999
1999-03-24,0.01733134948409082,FDCPX,technology,1999
1999-03-25,0.004357068245714697,FDCPX,technology,1999
1999-03-26,-0.0016907301514406062,FDCPX,technology,1999
1999-03-29,0.010615879217087783,FDCPX,technology,1999
1999-03-30,0.00409812996198869,FDCPX,technology,1999
1999-03-31,0.019204318640858278,FDCPX,technology,1999
1999-04-01,0.011989079715113312,FDCPX,technology,1999
1999-04-05,0.011829524424840872,FDCPX,technology,1999
1999-04-06,0.008427906356902796,FDCPX,technology,1999
1999-04-07,-0.023030645143874345,FDCPX,technology,1999
1999-04-08,-0.007212737362745159,FDCPX,technology,1999
1999-04-09,0.0020434383768259262,FDCPX,technology,1999
1999-04-12,-0.037252348004258105,FDCPX,technology,1999
1999-04-13,-0.0036533285583581383,FDCPX,technology,1999
1999-04-14,-0.0012182312963932365,FDCPX,technology,1999
1999-04-15,0.0007041135780273822,FDCPX,technology,1999
1999-04-16,-0.013791185267039105,FDCPX,technology,1999
1999-04-19,-0.03915374553630353,FDCPX,technology,1999
1999-04-20,0.002213350616815511,FDCPX,technology,1999
1999-04-21,0.003318774256625974,FDCPX,technology,1999
1999-04-22,0.007831886298161592,FDCPX,technology,1999
1999-04-23,0.0033172463835437305,FDCPX,technology,1999
1999-04-26,0.011823196685624674,FDCPX,technology,1999
1999-04-27,-0.021824492925176922,FDCPX,technology,1999
1999-04-28,-0.012311444867078518,FDCPX,technology,1999
1999-04-29,-0.010446433023200006,FDCPX,technology,1999
1999-04-30,0.01540273495644484,FDCPX,technology,1999
1999-05-03,-0.022696177017429063,FDCPX,technology,1999
1999-05-04,-0.007353324062300243,FDCPX,technology,1999
1999-05-05,0.000993057303756796,FDCPX,technology,1999
1999-05-06,-0.019060573172000356,FDCPX,technology,1999
1999-05-07,0.001042366229385883,FDCPX,technology,1999
1999-05-10,0.022495553718254818,FDCPX,technology,1999
1999-05-11,0.008972011459180695,FDCPX,technology,1999
1999-05-12,0.010243228278908726,FDCPX,technology,1999
1999-05-13,-0.023622252468852724,FDCPX,technology,1999
1999-05-14,0.00705397733420509,FDCPX,technology,1999
1999-05-17,0.007940049080289651,FDCPX,technology,1999
1999-05-18,0.01051794864678919,FDCPX,technology,1999
1999-05-19,-0.006551096242709999,FDCPX,technology,1999
1999-05-20,-0.013196537384239605,FDCPX,technology,1999
1999-05-21,-0.0017715743972183604,FDCPX,technology,1999
1999-05-24,-0.004200683225637464,FDCPX,technology,1999
1999-05-25,-0.012487108918336223,FDCPX,technology,1999
1999-05-26,0.015004329719821009,FDCPX,technology,1999
1999-05-27,0.012823088139112569,FDCPX,technology,1999
1999-05-28,-0.009871417054537774,FDCPX,technology,1999
1999-06-01,-0.013810249223699264,FDCPX,technology,1999
1999-06-02,0.010508861606378199,FDCPX,technology,1999
1999-06-03,-0.021265629454387397,FDCPX,technology,1999
1999-06-04,0.01171009168779432,FDCPX,technology,1999
1999-06-07,0.014961534820601289,FDCPX,technology,1999
1999-06-08,-0.01183066170640224,FDCPX,technology,1999
1999-06-09,0.017667668959791636,FDCPX,technology,1999
1999-06-10,0.003144901275301073,FDCPX,technology,1999
1999-06-11,0.001994957136428088,FDCPX,technology,1999
1999-06-14,-0.01795938443712727,FDCPX,technology,1999
1999-06-15,0.0046099229973204595,FDCPX,technology,1999
1999-06-16,0.010570787427163806,FDCPX,technology,1999
1999-06-17,-0.004582563625632209,FDCPX,technology,1999
1999-06-18,0.0027996452811452494,FDCPX,technology,1999
1999-06-21,0.024449302109289132,FDCPX,technology,1999
1999-06-22,-0.013904175328671869,FDCPX,technology,1999
1999-06-23,0.013044584008943837,FDCPX,technology,1999
1999-06-24,-0.01820532606196372,FDCPX,technology,1999
1999-06-25,0.004746665309584001,FDCPX,technology,1999
1999-06-28,-0.005149240050192325,FDCPX,technology,1999
1999-06-29,0.0025555754656597755,FDCPX,technology,1999
1999-06-30,-0.01201615678818316,FDCPX,technology,1999
1999-07-01,0.005874002928026327,FDCPX,technology,1999
1999-07-02,-0.0050982572137126154,FDCPX,technology,1999
1999-07-06,0.00029548637747527084,FDCPX,technology,1999
1999-07-07,-0.002947318746014276,FDCPX,technology,1999
1999-07-08,0.014954024104100069,FDCPX,technology,1999
1999-07-09,0.0018535064714682407,FDCPX,technology,1999
1999-07-12,0.0014494238426802889,FDCPX,technology,1999
1999-07-13,0.001069680923443251,FDCPX,technology,1999
1999-07-14,0.014578071480756526,FDCPX,technology,1999
1999-07-15,0.002082002061006699,FDCPX,technology,1999
1999-07-16,-0.007773698395684377,FDCPX,technology,1999
1999-07-19,-0.003900587643860731,FDCPX,technology,1999
1999-07-20,-0.015609196150273147,FDCPX,technology,1999
1999-07-21,0.013024051078689447,FDCPX,technology,1999
1999-07-22,-0.019055693189446814,FDCPX,technology,1999
1999-07-23,0.00976476854976985,FDCPX,technology,1999
1999-07-26,-0.013388683845939744,FDCPX,technology,1999
1999-07-27,0.013354804079244675,FDCPX,technology,1999
1999-07-28,0.008520025027347226,FDCPX,technology,1999
1999-07-29,-0.00600660693055801,FDCPX,technology,1999
1999-07-30,0.013717983805017842,FDCPX,technology,1999
1999-08-02,-0.008664515262337243,FDCPX,technology,1999
1999-08-03,-0.003326932018184378,FDCPX,technology,1999
1999-08-04,0.003233987434279016,FDCPX,technology,1999
1999-08-05,-0.004154869350143654,FDCPX,technology,1999
1999-08-06,0.009469059328668417,FDCPX,technology,1999
1999-08-09,-0.008466173665463305,FDCPX,technology,1999
1999-08-10,0.002040011569235759,FDCPX,technology,1999
1999-08-11,0.02431069612411792,FDCPX,technology,1999
1999-08-12,-0.014553845285901028,FDCPX,technology,1999
1999-08-13,0.002211176474382577,FDCPX,technology,1999
1999-08-16,-0.0012920591190082173,FDCPX,technology,1999
1999-08-17,-0.010889742622327449,FDCPX,technology,1999
1999-08-18,0.003154010119785918,FDCPX,technology,1999
1999-08-19,0.0028884531511567365,FDCPX,technology,1999
1999-08-20,0.0029441501090801837,FDCPX,technology,1999
1999-08-23,-0.0020960141159894717,FDCPX,technology,1999
1999-08-24,0.012614718111556608,FDCPX,technology,1999
1999-08-25,0.0030865043154166914,FDCPX,technology,1999
1999-08-26,-0.0007234134222023347,FDCPX,technology,1999
1999-08-27,0.010659812883683477,FDCPX,technology,1999
1999-08-30,0.007180385068838873,FDCPX,technology,1999
1999-08-31,0.015252691828692483,FDCPX,technology,1999
1999-09-01,-0.013636454230853889,FDCPX,technology,1999
1999-09-02,0.008136338117323857,FDCPX,technology,1999
1999-09-03,-0.004914121364314961,FDCPX,technology,1999
1999-09-07,0.004534396326470152,FDCPX,technology,1999
1999-09-08,-0.00991498726146477,FDCPX,technology,1999
1999-09-09,0.01245907793019819,FDCPX,technology,1999
1999-09-10,0.003425361226944673,FDCPX,technology,1999
1999-09-13,-0.008725726491686285,FDCPX,technology,1999
1999-09-14,0.015464989889065757,FDCPX,technology,1999
1999-09-15,-0.009317798553211049,FDCPX,technology,1999
1999-09-16,-0.007379443520900622,FDCPX,technology,1999
1999-09-17,0.009463269262624117,FDCPX,technology,1999
1999-09-20,0.011803091453043679,FDCPX,technology,1999
1999-09-21,-0.0029340912878381455,FDCPX,technology,1999
1999-09-22,0.006711920069321246,FDCPX,technology,1999
1999-09-23,-0.01730529830756619,FDCPX,technology,1999
