Date,Residual,Fund,Sector,Year
1999-01-05,0.01126576063101642,FSPTX,technology,1999
1999-01-06,-0.007691937669730427,FSPTX,technology,1999
1999-01-07,0.006400532339549406,FSPTX,technology,1999
1999-01-08,-0.011205597341963946,FSPTX,technology,1999
1999-01-11,0.03289796036387095,FSPTX,technology,1999
1999-01-12,-0.0005073609758555961,FSPTX,technology,1999
1999-01-13,0.0202347512353024,FSPTX,technology,1999
1999-01-14,0.008575378633629466,FSPTX,technology,1999
1999-01-15,-0.003282495097897631,FSPTX,technology,1999
1999-01-19,0.008517542681591724,FSPTX,technology,1999
1999-01-20,0.002613119663276882,FSPTX,technology,1999
1999-01-21,-0.0049491657971704114,FSPTX,technology,1999
1999-01-22,-0.012750072838808094,FSPTX,technology,1999
1999-01-25,-0.01055739600662484,FSPTX,technology,1999
1999-01-26,0.009151324682499434,FSPTX,technology,1999
1999-01-27,0.004344578000275847,FSPTX,technology,1999
1999-01-28,0.0034075826755013,FSPTX,technology,1999
1999-01-29,-0.00013242528852381447,FSPTX,technology,1999
1999-02-01,-0.005688406328086007,FSPTX,technology,1999
1999-02-02,-0.016697025252600226,FSPTX,technology,1999
1999-02-03,0.007855754743494568,FSPTX,technology,1999
1999-02-04,-0.019667611958164702,FSPTX,technology,1999
1999-02-05,-0.014105568625770462,FSPTX,technology,1999
1999-02-08,0.01752806886488408,FSPTX,technology,1999
1999-02-09,-0.02508946628528537,FSPTX,technology,1999
1999-02-10,-0.010500391307213653,FSPTX,technology,1999
1999-02-11,0.018740720902903997,FSPTX,technology,1999
1999-02-12,-0.015667747308924045,FSPTX,technology,1999
1999-02-16,-0.0004253037230023491,FSPTX,technology,1999
1999-02-17,-0.03529518694538923,FSPTX,technology,1999
1999-02-18,-0.004344994407237863,FSPTX,technology,1999
1999-02-19,0.003791870963343151,FSPTX,technology,1999
1999-02-22,6.15727007900746e-06,FSPTX,technology,1999
1999-02-23,0.011345180132021706,FSPTX,technology,1999
1999-02-24,0.018645535990356385,FSPTX,technology,1999
1999-02-25,-0.010949142754366158,FSPTX,technology,1999
1999-02-26,-0.02911089774369552,FSPTX,technology,1999
1999-03-01,-0.004784333919269607,FSPTX,technology,1999
1999-03-02,-0.0070476321393769074,FSPTX,technology,1999
1999-03-03,-0.004865117618062018,FSPTX,technology,1999
1999-03-04,-0.010001039413169634,FSPTX,technology,1999
1999-03-05,0.011814064487781158,FSPTX,technology,1999
1999-03-08,0.024663098557568378,FSPTX,technology,1999
1999-03-09,-0.003307664377863359,FSPTX,technology,1999
1999-03-10,-0.010516574712975837,FSPTX,technology,1999
1999-03-11,-0.018380095609626067,FSPTX,technology,1999
1999-03-12,-0.009659527089684612,FSPTX,technology,1999
1999-03-15,0.0022352358862753816,FSPTX,technology,1999
1999-03-16,0.01592818867443159,FSPTX,technology,1999
1999-03-17,0.0034570610100739443,FSPTX,technology,1999
1999-03-18,-0.004720627994786817,FSPTX,technology,1999
1999-03-19,0.009429622660227344,FSPTX,technology,1999
1999-03-22,-0.005743083789066059,FSPTX,technology,1999
1999-03-23,-0.0020124569198363695,FSPTX,technology,1999
1999-03-24,0.004166997318837561,FSPTX,technology,1999
1999-03-25,0.005359740528540321,FSPTX,technology,1999
1999-03-26,0.0012780076961096615,FSPTX,technology,1999
1999-03-29,-9.180114214376103e-05,FSPTX,technology,1999
1999-03-30,0.0017259355529207457,FSPTX,technology,1999
1999-03-31,0.01742535606608554,FSPTX,technology,1999
1999-04-01,0.012711700844752614,FSPTX,technology,1999
1999-04-05,-0.0026386627758700834,FSPTX,technology,1999
1999-04-06,0.01473046244987002,FSPTX,technology,1999
1999-04-07,-0.013358924609777601,FSPTX,technology,1999
1999-04-08,0.0030733071672780117,FSPTX,technology,1999
1999-04-09,-0.0027081097059317174,FSPTX,technology,1999
1999-04-12,-0.021592049615428238,FSPTX,technology,1999
1999-04-13,0.004218727170030055,FSPTX,technology,1999
1999-04-14,-0.0053354198146757445,FSPTX,technology,1999
1999-04-15,-0.013996989501744071,FSPTX,technology,1999
1999-04-16,-0.007061752113210765,FSPTX,technology,1999
1999-04-19,-0.06035277860260657,FSPTX,technology,1999
