Date,Residual,Fund,Sector,Year
1999-01-05,-0.0023309485875081873,MTCAX,technology,1999
1999-01-06,-0.0002866478308470831,MTCAX,technology,1999
1999-01-07,0.0013180661586309097,MTCAX,technology,1999
1999-01-08,-0.005477921203008237,MTCAX,technology,1999
1999-01-11,0.012938882102729466,MTCAX,technology,1999
1999-01-12,-0.004666378498012647,MTCAX,technology,1999
1999-01-13,0.005398491310309273,MTCAX,technology,1999
1999-01-14,0.007569208409331608,MTCAX,technology,1999
1999-01-15,0.01764478971090734,MTCAX,technology,1999
1999-01-19,0.02202683756444001,MTCAX,technology,1999
1999-01-20,-0.021761331986502503,MTCAX,technology,1999
1999-01-21,0.006877280618399498,MTCAX,technology,1999
1999-01-22,0.005031899057848285,MTCAX,technology,1999
1999-01-25,0.00032387225519464255,MTCAX,technology,1999
1999-01-26,0.005569090387760742,MTCAX,technology,1999
1999-01-27,0.0019652775414689162,MTCAX,technology,1999
1999-01-28,0.01128670339623717,MTCAX,technology,1999
1999-01-29,-0.0025905529438614624,MTCAX,technology,1999
1999-02-01,0.01319858233001241,MTCAX,technology,1999
1999-02-02,-0.01695114019784709,MTCAX,technology,1999
1999-02-03,-0.0024319367643203735,MTCAX,technology,1999
1999-02-04,-0.013877028534574568,MTCAX,technology,1999
1999-02-05,-0.011667520523164845,MTCAX,technology,1999
1999-02-08,0.013360037844615598,MTCAX,technology,1999
1999-02-09,-0.011635686853851766,MTCAX,technology,1999
1999-02-10,-0.010448849045280777,MTCAX,technology,1999
1999-02-11,0.024242832277772856,MTCAX,technology,1999
1999-02-12,-0.012214329672237848,MTCAX,technology,1999
1999-02-16,-0.003303795453023708,MTCAX,technology,1999
1999-02-17,-0.03279890231587068,MTCAX,technology,1999
1999-02-18,-0.01211256302231911,MTCAX,technology,1999
1999-02-19,0.006060641169662506,MTCAX,technology,1999
1999-02-22,-0.012264912654881836,MTCAX,technology,1999
1999-02-23,0.021210347560131015,MTCAX,technology,1999
1999-02-24,0.005184472985428335,MTCAX,technology,1999
1999-02-25,-0.003288811304204907,MTCAX,technology,1999
1999-02-26,-0.018498853264312533,MTCAX,technology,1999
1999-03-01,-0.000357600436324925,MTCAX,technology,1999
1999-03-02,-0.005677444406637313,MTCAX,technology,1999
1999-03-03,-0.016925932166338094,MTCAX,technology,1999
1999-03-04,-0.0027750325460182256,MTCAX,technology,1999
1999-03-05,-0.011026899462659286,MTCAX,technology,1999
1999-03-08,0.008641292453104136,MTCAX,technology,1999
1999-03-09,0.004659256958928444,MTCAX,technology,1999
1999-03-10,-0.014257243357157742,MTCAX,technology,1999
1999-03-11,-0.01682477133659144,MTCAX,technology,1999
1999-03-12,-0.024439129312021923,MTCAX,technology,1999
1999-03-15,0.00315555413062555,MTCAX,technology,1999
1999-03-16,0.00871034681927922,MTCAX,technology,1999
1999-03-17,0.0030072739196622175,MTCAX,technology,1999
1999-03-18,-0.011714620361010224,MTCAX,technology,1999
1999-03-19,-0.009147197615105702,MTCAX,technology,1999
1999-03-22,-0.008252432482348433,MTCAX,technology,1999
1999-03-23,0.0066752822274989895,MTCAX,technology,1999
1999-03-24,0.011062438084475969,MTCAX,technology,1999
1999-03-25,0.008878884068562295,MTCAX,technology,1999
1999-03-26,0.012439015965677744,MTCAX,technology,1999
1999-03-29,0.011152960542447809,MTCAX,technology,1999
1999-03-30,-0.009752313011724988,MTCAX,technology,1999
1999-03-31,0.01642031262615332,MTCAX,technology,1999
1999-04-01,-0.0013184274026309352,MTCAX,technology,1999
1999-04-05,-0.029833804986071317,MTCAX,technology,1999
1999-04-06,-0.0027307154180166437,MTCAX,technology,1999
1999-04-07,-0.030578843119153435,MTCAX,technology,1999
1999-04-08,0.006387859515598284,MTCAX,technology,1999
1999-04-09,0.012779695983422393,MTCAX,technology,1999
1999-04-12,-0.01867239748694891,MTCAX,technology,1999
1999-04-13,-0.008645195172507763,MTCAX,technology,1999
1999-04-14,0.0074019396967339324,MTCAX,technology,1999
1999-04-15,0.0030295398240157492,MTCAX,technology,1999
1999-04-16,-0.009931220538140032,MTCAX,technology,1999
1999-04-19,-0.029429855350993583,MTCAX,technology,1999
1999-04-20,0.0005799291285543927,MTCAX,technology,1999
1999-04-21,-0.018412781172042085,MTCAX,technology,1999
1999-04-22,0.03138356230108847,MTCAX,technology,1999
1999-04-23,0.01600504377684342,MTCAX,technology,1999
1999-04-26,0.017248362446093953,MTCAX,technology,1999
1999-04-27,-0.020049453047762067,MTCAX,technology,1999
1999-04-28,-0.005639471816243299,MTCAX,technology,1999
1999-04-29,-0.004558918215315004,MTCAX,technology,1999
1999-04-30,0.006541620206551967,MTCAX,technology,1999
1999-05-03,-0.01341143205414091,MTCAX,technology,1999
1999-05-04,-0.001154727578142967,MTCAX,technology,1999
1999-05-05,-0.005898308672916134,MTCAX,technology,1999
1999-05-06,-0.007056667621732962,MTCAX,technology,1999
1999-05-07,0.0028795441531822338,MTCAX,technology,1999
1999-05-10,0.006252511265802638,MTCAX,technology,1999
1999-05-11,0.006310811138109579,MTCAX,technology,1999
1999-05-12,0.015345535247010374,MTCAX,technology,1999
1999-05-13,-0.012456368961595445,MTCAX,technology,1999
1999-05-14,0.006959163410603073,MTCAX,technology,1999
1999-05-17,0.007527049906647074,MTCAX,technology,1999
1999-05-18,0.008401494118267698,MTCAX,technology,1999
1999-05-19,0.01751106069491397,MTCAX,technology,1999
1999-05-20,0.003125165448613094,MTCAX,technology,1999
1999-05-21,0.0038511242720238137,MTCAX,technology,1999
1999-05-24,-0.005204465627750617,MTCAX,technology,1999
1999-05-25,-0.005595067129446421,MTCAX,technology,1999
1999-05-26,-0.0012090991531959784,MTCAX,technology,1999
1999-05-27,0.013962292664497005,MTCAX,technology,1999
1999-05-28,0.00690408945316506,MTCAX,technology,1999
1999-06-01,-0.003980507232315823,MTCAX,technology,1999
1999-06-02,0.004060548552980213,MTCAX,technology,1999
1999-06-03,-0.0162526851189476,MTCAX,technology,1999
1999-06-04,0.01665533926821163,MTCAX,technology,1999
1999-06-07,0.0098547910716156,MTCAX,technology,1999
1999-06-08,-0.00325278988264569,MTCAX,technology,1999
1999-06-09,0.010720921723930486,MTCAX,technology,1999
1999-06-10,-0.008673921112571108,MTCAX,technology,1999
1999-06-11,0.002653005833095584,MTCAX,technology,1999
1999-06-14,-0.007522482705115986,MTCAX,technology,1999
1999-06-15,-0.00046590458852164077,MTCAX,technology,1999
1999-06-16,0.02403401455023374,MTCAX,technology,1999
1999-06-17,0.004953193263511419,MTCAX,technology,1999
1999-06-18,0.003995412377660174,MTCAX,technology,1999
1999-06-21,0.00777514647603169,MTCAX,technology,1999
1999-06-22,-0.003480664877963827,MTCAX,technology,1999
1999-06-23,0.013387579310856348,MTCAX,technology,1999
1999-06-24,-0.005705587101241613,MTCAX,technology,1999
1999-06-25,0.0022721807523680975,MTCAX,technology,1999
1999-06-28,0.005588287112775132,MTCAX,technology,1999
1999-06-29,0.008316004146080353,MTCAX,technology,1999
1999-06-30,-0.013579317517292678,MTCAX,technology,1999
1999-07-01,0.00387633524547786,MTCAX,technology,1999
1999-07-02,-0.0010741382926870956,MTCAX,technology,1999
1999-07-06,-0.00018922741313259967,MTCAX,technology,1999
1999-07-07,0.0018232918274634184,MTCAX,technology,1999
1999-07-08,0.00506681030078454,MTCAX,technology,1999
1999-07-09,-0.0058323509577986165,MTCAX,technology,1999
1999-07-12,0.007035355900470285,MTCAX,technology,1999
1999-07-13,-0.003356589340962681,MTCAX,technology,1999
1999-07-14,0.007188610691383375,MTCAX,technology,1999
1999-07-15,0.004625447303852629,MTCAX,technology,1999
1999-07-16,0.0029202094836057466,MTCAX,technology,1999
1999-07-19,-0.0049624120029583335,MTCAX,technology,1999
1999-07-20,-0.013174190195989966,MTCAX,technology,1999
1999-07-21,0.006144145071318574,MTCAX,technology,1999
1999-07-22,-0.020678842186137004,MTCAX,technology,1999
1999-07-23,0.0005910243499895166,MTCAX,technology,1999
1999-07-26,-0.008403646940149084,MTCAX,technology,1999
1999-07-27,0.01177148951658426,MTCAX,technology,1999
1999-07-28,0.001548922156932548,MTCAX,technology,1999
1999-07-29,-0.006492091218853703,MTCAX,technology,1999
1999-07-30,0.015763144394120784,MTCAX,technology,1999
1999-08-02,-0.0024383000063152856,MTCAX,technology,1999
1999-08-03,-0.008654515572104612,MTCAX,technology,1999
1999-08-04,-0.001869546317318312,MTCAX,technology,1999
1999-08-05,-0.004029221726448678,MTCAX,technology,1999
1999-08-06,0.004040472596892721,MTCAX,technology,1999
1999-08-09,-0.005535166022401274,MTCAX,technology,1999
1999-08-10,-0.00630722307194183,MTCAX,technology,1999
1999-08-11,0.01633383320712563,MTCAX,technology,1999
1999-08-12,-0.0026335395448647066,MTCAX,technology,1999
1999-08-13,0.004690320650073201,MTCAX,technology,1999
1999-08-16,-0.0019518990146827632,MTCAX,technology,1999
1999-08-17,-0.004783462951910619,MTCAX,technology,1999
1999-08-18,-0.001988391356121089,MTCAX,technology,1999
1999-08-19,0.002339915509345098,MTCAX,technology,1999
1999-08-20,-0.0024895330002394304,MTCAX,technology,1999
1999-08-23,-0.002357018806363173,MTCAX,technology,1999
1999-08-24,0.003764294208992885,MTCAX,technology,1999
1999-08-25,0.005169488161589112,MTCAX,technology,1999
1999-08-26,0.0035442813336614403,MTCAX,technology,1999
1999-08-27,0.0052311940605082406,MTCAX,technology,1999
1999-08-30,0.004557359322692193,MTCAX,technology,1999
1999-08-31,0.012462570744124102,MTCAX,technology,1999
1999-09-01,-0.006196421046815435,MTCAX,technology,1999
1999-09-02,0.0032234711374631523,MTCAX,technology,1999
1999-09-03,0.007057834845749185,MTCAX,technology,1999
1999-09-07,0.00986807051765824,MTCAX,technology,1999
1999-09-08,0.0011870309859833505,MTCAX,technology,1999
1999-09-09,0.01106647543415671,MTCAX,technology,1999
1999-09-10,0.009126328888953457,MTCAX,technology,1999
1999-09-13,-0.00525151022940068,MTCAX,technology,1999
