Date,Residual,Fund,Sector,Year
1999-01-05,0.0002521115957239174,EVUAX,utilities,1999
1999-01-06,-0.00816964925702382,EVUAX,utilities,1999
1999-01-07,-0.0024694781570725804,EVUAX,utilities,1999
1999-01-08,-0.00893117133996603,EVUAX,utilities,1999
1999-01-11,-0.010504427392013696,EVUAX,utilities,1999
1999-01-12,0.0016590930854665986,EVUAX,utilities,1999
1999-01-13,-0.008587844053263205,EVUAX,utilities,1999
1999-01-14,-0.005052662136715789,EVUAX,utilities,1999
1999-01-15,0.0006992934553085427,EVUAX,utilities,1999
1999-01-19,0.004845285230965083,EVUAX,utilities,1999
1999-01-20,-0.006703120531012266,EVUAX,utilities,1999
1999-01-21,0.002427445962883643,EVUAX,utilities,1999
1999-01-22,0.0031773866395720042,EVUAX,utilities,1999
1999-01-25,-0.015086144337237675,EVUAX,utilities,1999
1999-01-26,-0.0029812480051061574,EVUAX,utilities,1999
1999-01-27,-0.008166433165135016,EVUAX,utilities,1999
1999-01-28,-0.006793445122449688,EVUAX,utilities,1999
1999-01-29,-0.012038543224870689,EVUAX,utilities,1999
1999-02-01,0.0014262323296971053,EVUAX,utilities,1999
1999-02-02,-0.0021072978986446905,EVUAX,utilities,1999
1999-02-03,-0.004207123678557016,EVUAX,utilities,1999
1999-02-04,-0.004885823426059916,EVUAX,utilities,1999
1999-02-05,0.0034012057986803537,EVUAX,utilities,1999
1999-02-08,0.003824262010660616,EVUAX,utilities,1999
1999-02-09,0.006337689197030106,EVUAX,utilities,1999
1999-02-10,-0.006904060228886362,EVUAX,utilities,1999
1999-02-11,-0.0005983097851891273,EVUAX,utilities,1999
1999-02-12,-0.007414047675773167,EVUAX,utilities,1999
1999-02-16,0.01665223193587346,EVUAX,utilities,1999
1999-02-17,-0.007621595336334061,EVUAX,utilities,1999
1999-02-18,0.0026091107426581637,EVUAX,utilities,1999
1999-02-19,-0.004837984732407144,EVUAX,utilities,1999
1999-02-22,0.0010980150447548326,EVUAX,utilities,1999
1999-02-23,-0.012370466503046986,EVUAX,utilities,1999
1999-02-24,0.004809899518862191,EVUAX,utilities,1999
1999-02-25,-0.010634712316536177,EVUAX,utilities,1999
1999-02-26,0.003265362916637502,EVUAX,utilities,1999
1999-03-01,-0.00313268887584324,EVUAX,utilities,1999
1999-03-02,0.0010650162853736616,EVUAX,utilities,1999
1999-03-03,-0.0035327019680460123,EVUAX,utilities,1999
1999-03-04,0.011539814096600695,EVUAX,utilities,1999
1999-03-05,0.002640114164092218,EVUAX,utilities,1999
1999-03-08,-0.008709665902203456,EVUAX,utilities,1999
1999-03-09,-0.003133904969093914,EVUAX,utilities,1999
1999-03-10,-0.003490889252005431,EVUAX,utilities,1999
1999-03-11,-0.001958861290107878,EVUAX,utilities,1999
1999-03-12,0.007947362619993044,EVUAX,utilities,1999
1999-03-15,-0.001789200266616089,EVUAX,utilities,1999
1999-03-16,0.003992829856016424,EVUAX,utilities,1999
1999-03-17,0.007874509805199343,EVUAX,utilities,1999
1999-03-18,0.002560704192691221,EVUAX,utilities,1999
1999-03-19,0.006389968022609901,EVUAX,utilities,1999
1999-03-22,-0.007100005517064484,EVUAX,utilities,1999
1999-03-23,-0.00535986539419833,EVUAX,utilities,1999
1999-03-24,0.005439931287213142,EVUAX,utilities,1999
1999-03-25,-0.004181799840398379,EVUAX,utilities,1999
1999-03-26,0.0012587179008157852,EVUAX,utilities,1999
