Date,Residual,Fund,Sector,Year
1999-01-05,-0.0010519328263317957,FKUTX,utilities,1999
1999-01-06,-0.005027739286233222,FKUTX,utilities,1999
1999-01-07,-0.003419502531416363,FKUTX,utilities,1999
1999-01-08,-0.008244650964688512,FKUTX,utilities,1999
1999-01-11,-0.008770331370607724,FKUTX,utilities,1999
1999-01-12,0.004254560405634583,FKUTX,utilities,1999
1999-01-13,0.0025187971745365633,FKUTX,utilities,1999
1999-01-14,-0.00236790086529743,FKUTX,utilities,1999
1999-01-15,-0.0017609212222819176,FKUTX,utilities,1999
1999-01-19,-0.005421012695370767,FKUTX,utilities,1999
1999-01-20,-0.004860606786319183,FKUTX,utilities,1999
1999-01-21,0.010046772876975044,FKUTX,utilities,1999
1999-01-22,0.005108712920424289,FKUTX,utilities,1999
1999-01-25,-0.0025902138968435166,FKUTX,utilities,1999
1999-01-26,-0.004522361123638479,FKUTX,utilities,1999
1999-01-27,-0.005702193247937212,FKUTX,utilities,1999
1999-01-28,-0.004200845327895289,FKUTX,utilities,1999
1999-01-29,-0.011417352011335334,FKUTX,utilities,1999
1999-02-01,-0.013016131960561981,FKUTX,utilities,1999
1999-02-02,-0.0006004347693668896,FKUTX,utilities,1999
1999-02-03,0.0002935997466854427,FKUTX,utilities,1999
1999-02-04,-0.006222108541560176,FKUTX,utilities,1999
1999-02-05,0.006525965669209281,FKUTX,utilities,1999
1999-02-08,0.005207274991143266,FKUTX,utilities,1999
1999-02-09,-0.0005705684133331286,FKUTX,utilities,1999
1999-02-10,-0.0027017220933420356,FKUTX,utilities,1999
1999-02-11,-0.008679969489348991,FKUTX,utilities,1999
1999-02-12,-0.013014384164065827,FKUTX,utilities,1999
1999-02-16,0.009289326765158396,FKUTX,utilities,1999
1999-02-17,0.010005075794156888,FKUTX,utilities,1999
1999-02-18,0.010723615446128196,FKUTX,utilities,1999
1999-02-19,-0.007044058089461476,FKUTX,utilities,1999
1999-02-22,-0.002704342019023641,FKUTX,utilities,1999
1999-02-23,-0.009821085711056965,FKUTX,utilities,1999
1999-02-24,0.0021225651459025794,FKUTX,utilities,1999
1999-02-25,-0.006800711360359075,FKUTX,utilities,1999
1999-02-26,0.001788854173233405,FKUTX,utilities,1999
1999-03-01,-0.0038178221573576705,FKUTX,utilities,1999
1999-03-02,0.010079365566486862,FKUTX,utilities,1999
1999-03-03,0.0005297142087781352,FKUTX,utilities,1999
1999-03-04,0.009867833954906167,FKUTX,utilities,1999
1999-03-05,0.006916806870086759,FKUTX,utilities,1999
1999-03-08,-0.009644566601789,FKUTX,utilities,1999
1999-03-09,-0.01054977312066276,FKUTX,utilities,1999
1999-03-10,-0.0033317956400559143,FKUTX,utilities,1999
1999-03-11,0.00518762630004968,FKUTX,utilities,1999
1999-03-12,0.018176137714894063,FKUTX,utilities,1999
1999-03-15,-0.00560418945162445,FKUTX,utilities,1999
1999-03-16,0.0027264496473789956,FKUTX,utilities,1999
1999-03-17,0.0018551607636504907,FKUTX,utilities,1999
1999-03-18,0.0018662906806711978,FKUTX,utilities,1999
1999-03-19,-0.002951895252143749,FKUTX,utilities,1999
1999-03-22,0.00034550261548528863,FKUTX,utilities,1999
1999-03-23,0.002838949672878401,FKUTX,utilities,1999
1999-03-24,0.020391131147508477,FKUTX,utilities,1999
1999-03-25,-0.01293594791625871,FKUTX,utilities,1999
1999-03-26,-0.011240600038240667,FKUTX,utilities,1999
1999-03-29,-0.010075156427949504,FKUTX,utilities,1999
1999-03-30,-0.014014115933639134,FKUTX,utilities,1999
1999-03-31,-0.004502117904734347,FKUTX,utilities,1999
1999-04-01,0.00827238825191544,FKUTX,utilities,1999
1999-04-05,0.0032571157683595944,FKUTX,utilities,1999
1999-04-06,-0.004701078587487372,FKUTX,utilities,1999
1999-04-07,-0.006237938408508681,FKUTX,utilities,1999
1999-04-08,0.01210096307257939,FKUTX,utilities,1999
1999-04-09,-0.003287125696929327,FKUTX,utilities,1999
1999-04-12,0.0043220325043868,FKUTX,utilities,1999
1999-04-13,-0.003686719013051827,FKUTX,utilities,1999
1999-04-14,-0.004245030891113316,FKUTX,utilities,1999
1999-04-15,0.007870224784225612,FKUTX,utilities,1999
1999-04-16,0.012032377397468935,FKUTX,utilities,1999
1999-04-19,0.01565314839426077,FKUTX,utilities,1999
1999-04-20,0.01573715333695872,FKUTX,utilities,1999
1999-04-21,-0.0070959375511331696,FKUTX,utilities,1999
1999-04-22,-0.009339440552306486,FKUTX,utilities,1999
1999-04-23,0.001424265684294723,FKUTX,utilities,1999
1999-04-26,-0.0005810188122644012,FKUTX,utilities,1999
1999-04-27,0.0055833989586654455,FKUTX,utilities,1999
1999-04-28,0.008055807555661834,FKUTX,utilities,1999
1999-04-29,0.011472615388586111,FKUTX,utilities,1999
1999-04-30,0.0027850317923190505,FKUTX,utilities,1999
1999-05-03,0.009001826964143912,FKUTX,utilities,1999
1999-05-04,-0.0024388321126466725,FKUTX,utilities,1999
1999-05-05,-0.0011117655174875374,FKUTX,utilities,1999
1999-05-06,0.0003691327877274051,FKUTX,utilities,1999
1999-05-07,-5.58042224244633e-05,FKUTX,utilities,1999
1999-05-10,0.003949976857662978,FKUTX,utilities,1999
1999-05-11,0.0022183692343107444,FKUTX,utilities,1999
1999-05-12,-0.0001232735082994091,FKUTX,utilities,1999
1999-05-13,0.016075201408259375,FKUTX,utilities,1999
1999-05-14,-0.005179520802860751,FKUTX,utilities,1999
1999-05-17,0.011549337547574342,FKUTX,utilities,1999
1999-05-18,-0.0006264376533821076,FKUTX,utilities,1999
1999-05-19,0.009477362704646218,FKUTX,utilities,1999
1999-05-20,0.0022716313406820916,FKUTX,utilities,1999
1999-05-21,0.005916447750488234,FKUTX,utilities,1999
1999-05-24,0.011379229046972698,FKUTX,utilities,1999
1999-05-25,0.006593750503969157,FKUTX,utilities,1999
1999-05-26,0.002743145520346098,FKUTX,utilities,1999
1999-05-27,-0.01045116710876855,FKUTX,utilities,1999
1999-05-28,0.005204438172141571,FKUTX,utilities,1999
1999-06-01,-0.008590344816758059,FKUTX,utilities,1999
1999-06-02,-0.004168620599042327,FKUTX,utilities,1999
