Date,Residual,Fund,Sector,Year
1999-01-05,0.010207615779528239,FSUTX,utilities,1999
1999-01-06,-0.0013597329657696576,FSUTX,utilities,1999
1999-01-07,-0.0035305852231392342,FSUTX,utilities,1999
1999-01-08,8.593781093042211e-05,FSUTX,utilities,1999
1999-01-11,-0.008492085553067075,FSUTX,utilities,1999
1999-01-12,0.0022388373984387894,FSUTX,utilities,1999
1999-01-13,0.0014243144418894585,FSUTX,utilities,1999
1999-01-14,-0.011260330718523963,FSUTX,utilities,1999
1999-01-15,0.006104620587197553,FSUTX,utilities,1999
1999-01-19,0.032127671885073664,FSUTX,utilities,1999
1999-01-20,-0.0034276593532480016,FSUTX,utilities,1999
1999-01-21,0.0015106793657659774,FSUTX,utilities,1999
1999-01-22,0.007048593613908287,FSUTX,utilities,1999
1999-01-25,-0.019657728885130336,FSUTX,utilities,1999
1999-01-26,-0.011178661588645371,FSUTX,utilities,1999
1999-01-27,-0.004384857216323387,FSUTX,utilities,1999
1999-01-28,0.0066143566013366125,FSUTX,utilities,1999
1999-01-29,-0.0021891860340974693,FSUTX,utilities,1999
1999-02-01,0.002739378600535746,FSUTX,utilities,1999
1999-02-02,-0.005035289638669855,FSUTX,utilities,1999
1999-02-03,-0.0009134399983984458,FSUTX,utilities,1999
1999-02-04,-0.005760476329864053,FSUTX,utilities,1999
1999-02-05,0.0002285965697767494,FSUTX,utilities,1999
1999-02-08,0.008662856751042386,FSUTX,utilities,1999
1999-02-09,0.0011309602088510843,FSUTX,utilities,1999
1999-02-10,-0.011406440537938867,FSUTX,utilities,1999
1999-02-11,0.003788144469462143,FSUTX,utilities,1999
1999-02-12,-0.005372252360818525,FSUTX,utilities,1999
1999-02-16,0.015502340611049409,FSUTX,utilities,1999
1999-02-17,-0.011341842435755228,FSUTX,utilities,1999
1999-02-18,0.011554375882078652,FSUTX,utilities,1999
1999-02-19,-0.005558487864182197,FSUTX,utilities,1999
1999-02-22,0.004917729872772246,FSUTX,utilities,1999
1999-02-23,-0.01677594832916704,FSUTX,utilities,1999
1999-02-24,0.017304332332839022,FSUTX,utilities,1999
1999-02-25,0.0018083052780567257,FSUTX,utilities,1999
1999-02-26,-0.007598561733644078,FSUTX,utilities,1999
1999-03-01,-0.013738018812831536,FSUTX,utilities,1999
