Date,Residual,Fund,Sector,Year
1999-01-05,0.022720923414075847,FUGAX,utilities,1999
1999-01-06,-0.010346429592017228,FUGAX,utilities,1999
1999-01-07,0.002420963449955766,FUGAX,utilities,1999
1999-01-08,0.00039367204109766116,FUGAX,utilities,1999
1999-01-11,-0.004468881201506018,FUGAX,utilities,1999
1999-01-12,0.001508562173168063,FUGAX,utilities,1999
1999-01-13,0.0022986902583303497,FUGAX,utilities,1999
1999-01-14,-0.006313649152459817,FUGAX,utilities,1999
1999-01-15,0.006805778569245923,FUGAX,utilities,1999
1999-01-19,0.03453731922473959,FUGAX,utilities,1999
1999-01-20,0.006021347633324345,FUGAX,utilities,1999
1999-01-21,-0.006538973498357848,FUGAX,utilities,1999
1999-01-22,0.002691994351311554,FUGAX,utilities,1999
1999-01-25,-0.01586407065208097,FUGAX,utilities,1999
1999-01-26,-0.009352219364513416,FUGAX,utilities,1999
1999-01-27,-0.001539282149060366,FUGAX,utilities,1999
1999-01-28,0.00817281072910094,FUGAX,utilities,1999
1999-01-29,-0.006315997270767349,FUGAX,utilities,1999
1999-02-01,0.003776657102586232,FUGAX,utilities,1999
1999-02-02,-0.00918990669586697,FUGAX,utilities,1999
1999-02-03,0.0015879164120328765,FUGAX,utilities,1999
1999-02-04,-0.004581304420906497,FUGAX,utilities,1999
1999-02-05,0.001168431500073933,FUGAX,utilities,1999
1999-02-08,0.0004937123339741989,FUGAX,utilities,1999
1999-02-09,0.0003680733134712663,FUGAX,utilities,1999
1999-02-10,-0.017854895290754208,FUGAX,utilities,1999
1999-02-11,0.006953561584448254,FUGAX,utilities,1999
1999-02-12,-0.00904809147564256,FUGAX,utilities,1999
1999-02-16,0.011712770946909121,FUGAX,utilities,1999
1999-02-17,-0.012533853036761695,FUGAX,utilities,1999
1999-02-18,0.005552409971911573,FUGAX,utilities,1999
1999-02-19,-0.006028235784235145,FUGAX,utilities,1999
1999-02-22,0.007278745849668349,FUGAX,utilities,1999
1999-02-23,-0.012617958858905454,FUGAX,utilities,1999
1999-02-24,0.014234548837477996,FUGAX,utilities,1999
1999-02-25,0.0013582507832217029,FUGAX,utilities,1999
1999-02-26,-0.005321622195157677,FUGAX,utilities,1999
1999-03-01,-0.01312430230227828,FUGAX,utilities,1999
1999-03-02,0.003114288662997353,FUGAX,utilities,1999
1999-03-03,-0.004473273855493284,FUGAX,utilities,1999
1999-03-04,0.0011570194552811622,FUGAX,utilities,1999
1999-03-05,0.00105324316593617,FUGAX,utilities,1999
1999-03-08,0.0015919843386581131,FUGAX,utilities,1999
1999-03-09,-0.0018283418533556635,FUGAX,utilities,1999
1999-03-10,-0.0031494866263061267,FUGAX,utilities,1999
1999-03-11,-0.0044420099346699354,FUGAX,utilities,1999
1999-03-12,0.007264535282753042,FUGAX,utilities,1999
1999-03-15,-0.000625391684866479,FUGAX,utilities,1999
1999-03-16,0.004983714056173073,FUGAX,utilities,1999
1999-03-17,0.018374190390974383,FUGAX,utilities,1999
1999-03-18,-0.0024117711897254767,FUGAX,utilities,1999
1999-03-19,0.002638623282696404,FUGAX,utilities,1999
1999-03-22,-0.007940761957078605,FUGAX,utilities,1999
1999-03-23,9.674761154106204e-05,FUGAX,utilities,1999
1999-03-24,0.010086436695882373,FUGAX,utilities,1999
1999-03-25,-0.009661539503853553,FUGAX,utilities,1999
1999-03-26,0.002617394262077308,FUGAX,utilities,1999
1999-03-29,-0.009490595135974509,FUGAX,utilities,1999
1999-03-30,-0.006177619534646371,FUGAX,utilities,1999
1999-03-31,0.00394107134454982,FUGAX,utilities,1999
1999-04-01,0.005073586561381133,FUGAX,utilities,1999
1999-04-05,-0.002756955736856928,FUGAX,utilities,1999
1999-04-06,0.0004534441378911167,FUGAX,utilities,1999
1999-04-07,0.006556575718327343,FUGAX,utilities,1999
1999-04-08,0.010316489387996043,FUGAX,utilities,1999
1999-04-09,0.01597203456143755,FUGAX,utilities,1999
1999-04-12,0.01739481872225162,FUGAX,utilities,1999
1999-04-13,0.00471459976571095,FUGAX,utilities,1999
1999-04-14,-0.014542736885020618,FUGAX,utilities,1999
1999-04-15,-0.007833223701038216,FUGAX,utilities,1999
1999-04-16,0.005303785023670876,FUGAX,utilities,1999
1999-04-19,-0.007702997666707763,FUGAX,utilities,1999
1999-04-20,0.003252108186238693,FUGAX,utilities,1999
1999-04-21,0.004743214878786331,FUGAX,utilities,1999
1999-04-22,0.006635924235103216,FUGAX,utilities,1999
1999-04-23,-0.009558600606128674,FUGAX,utilities,1999
1999-04-26,0.00026503184945782243,FUGAX,utilities,1999
1999-04-27,-0.005159502202515978,FUGAX,utilities,1999
1999-04-28,0.006846785234116616,FUGAX,utilities,1999
1999-04-29,0.0020690213025914934,FUGAX,utilities,1999
1999-04-30,-0.003193355105474442,FUGAX,utilities,1999
1999-05-03,-0.009571026566369215,FUGAX,utilities,1999
1999-05-04,-0.0004465634774017506,FUGAX,utilities,1999
1999-05-05,0.012729644564642671,FUGAX,utilities,1999
