Date,Residual,Fund,Sector,Year
1999-01-05,0.004052491639788483,MMUFX,utilities,1999
1999-01-06,-0.002899008859169194,MMUFX,utilities,1999
1999-01-07,-0.0037983720381036916,MMUFX,utilities,1999
1999-01-08,-0.009589735040665983,MMUFX,utilities,1999
1999-01-11,-0.010793401477566598,MMUFX,utilities,1999
1999-01-12,0.00036284551000922115,MMUFX,utilities,1999
1999-01-13,-0.01042584233539478,MMUFX,utilities,1999
1999-01-14,-0.00476498744543889,MMUFX,utilities,1999
1999-01-15,0.003342282003705137,MMUFX,utilities,1999
1999-01-19,0.009404483647342757,MMUFX,utilities,1999
1999-01-20,-0.0016526795369413605,MMUFX,utilities,1999
1999-01-21,0.0034006780353667276,MMUFX,utilities,1999
1999-01-22,-0.003350620897818059,MMUFX,utilities,1999
1999-01-25,-0.00921592311189532,MMUFX,utilities,1999
1999-01-26,-0.00544972295153243,MMUFX,utilities,1999
1999-01-27,8.841781007772401e-05,MMUFX,utilities,1999
1999-01-28,-0.0029244351652151467,MMUFX,utilities,1999
1999-01-29,-0.0029619551639369236,MMUFX,utilities,1999
1999-02-01,0.00018881208952776,MMUFX,utilities,1999
1999-02-02,-0.005310839216381402,MMUFX,utilities,1999
1999-02-03,-0.0016723945617939133,MMUFX,utilities,1999
1999-02-04,0.002554144273962168,MMUFX,utilities,1999
1999-02-05,0.0018399920322064033,MMUFX,utilities,1999
1999-02-08,-0.0035322272052905643,MMUFX,utilities,1999
1999-02-09,0.00029576135327563993,MMUFX,utilities,1999
1999-02-10,-0.005621328874632074,MMUFX,utilities,1999
1999-02-11,-0.004743664268890312,MMUFX,utilities,1999
1999-02-12,-0.005569408115216586,MMUFX,utilities,1999
1999-02-16,0.005043743033019946,MMUFX,utilities,1999
1999-02-17,-0.002138218513784379,MMUFX,utilities,1999
1999-02-18,0.004280714811282546,MMUFX,utilities,1999
1999-02-19,-0.005569034130905567,MMUFX,utilities,1999
1999-02-22,0.0030971882325074584,MMUFX,utilities,1999
1999-02-23,-0.008945034578652174,MMUFX,utilities,1999
1999-02-24,0.011381165878546245,MMUFX,utilities,1999
1999-02-25,-0.004771218965590941,MMUFX,utilities,1999
1999-02-26,-0.001292286173225259,MMUFX,utilities,1999
1999-03-01,-0.007754214448678258,MMUFX,utilities,1999
1999-03-02,0.0005502835071413961,MMUFX,utilities,1999
1999-03-03,-0.007068415631508204,MMUFX,utilities,1999
1999-03-04,0.0011519254786931873,MMUFX,utilities,1999
1999-03-05,0.0043431684246252825,MMUFX,utilities,1999
1999-03-08,-0.0008822200215548204,MMUFX,utilities,1999
1999-03-09,0.0023444150210124278,MMUFX,utilities,1999
1999-03-10,0.002760449782782546,MMUFX,utilities,1999
1999-03-11,-0.002150912418213931,MMUFX,utilities,1999
1999-03-12,0.004727846029787849,MMUFX,utilities,1999
1999-03-15,-0.007370513036646917,MMUFX,utilities,1999
