Fund,Year,L2_Norm,Sector,Cluster_k5
CSEIX,1999,0.0879028504594898,real estate,2
CSEIX,2000,0.0940285842038437,real estate,2
CSEIX,2001,0.0796157795102266,real estate,2
CSEIX,2002,0.1153988651323531,real estate,3
CSEIX,2003,0.0814664679327671,real estate,2
CSEIX,2004,0.1465798293555812,real estate,4
CSEIX,2005,0.1051665343306465,real estate,3
CSEIX,2006,0.0953439754482288,real estate,2
CSEIX,2007,0.1372431979209837,real estate,4
CSEIX,2008,0.4282829057615896,real estate,5
CSEIX,2009,0.3205570123085785,real estate,5
CSEIX,2010,0.1256879029998523,real estate,4
CSEIX,2011,0.1237853870190418,real estate,3
CSEIX,2012,0.0899185414859722,real estate,2
CSEIX,2013,0.1058160710015678,real estate,3
CSEIX,2014,0.1080887613117831,real estate,3
CSEIX,2015,0.1208494163909327,real estate,3
CSEIX,2016,0.1304842517336823,real estate,4
CSEIX,2017,0.0886123027626925,real estate,2
CSEIX,2018,0.1321489713966444,real estate,4
CSEIX,2019,0.1081560147980955,real estate,3
CSEIX,2020,0.2026747370056893,real estate,5
CSEIX,2021,0.1088749429324549,real estate,3
CSEIX,2022,0.1473434881589506,real estate,4
CSEIX,2023,0.1463104130860609,real estate,4
CSEIX,2024,0.1373456374007158,real estate,4
CSEIX,2025,0.1302342707535437,real estate,4
DFREX,1999,0.0935832199346931,real estate,2
DFREX,2000,0.0969270107400009,real estate,2
DFREX,2001,0.0839110708512192,real estate,2
DFREX,2002,0.124940930596788,real estate,4
DFREX,2003,0.0908283031695854,real estate,2
DFREX,2004,0.1585499147150565,real estate,5
DFREX,2005,0.1195982107972491,real estate,3
DFREX,2006,0.1171980326882307,real estate,3
DFREX,2007,0.1655781580239325,real estate,5
DFREX,2008,0.4609282501849517,real estate,5
DFREX,2009,0.3425599060972401,real estate,5
DFREX,2010,0.1374849935601232,real estate,4
DFREX,2011,0.1297525508935408,real estate,4
DFREX,2012,0.0937412941022834,real estate,2
DFREX,2013,0.1124815050456732,real estate,3
DFREX,2014,0.0918001969144967,real estate,2
DFREX,2015,0.1286345011018021,real estate,4
DFREX,2016,0.1463758130615417,real estate,4
DFREX,2017,0.0943080016180271,real estate,2
DFREX,2018,0.1337033163548748,real estate,4
DFREX,2019,0.110712316421854,real estate,3
DFREX,2020,0.2423624437459647,real estate,5
DFREX,2021,0.1131574800145878,real estate,3
DFREX,2022,0.1457270735860387,real estate,4
DFREX,2023,0.1438699611763365,real estate,4
DFREX,2024,0.1403398869720194,real estate,4
DFREX,2025,0.131864440523606,real estate,4
DPREX,1999,0.0940891751645998,real estate,2
DPREX,2000,0.100332661663946,real estate,3
DPREX,2001,0.0854852707040383,real estate,2
DPREX,2002,0.1150484668229438,real estate,3
DPREX,2003,0.0881800286271531,real estate,2
DPREX,2004,0.1499141209466857,real estate,4
DPREX,2005,0.1116713992059611,real estate,3
DPREX,2006,0.1165882018529034,real estate,3
DPREX,2007,0.1598735235376203,real estate,5
DPREX,2008,0.4421306658693145,real estate,5
DPREX,2009,0.3486587018465009,real estate,5
DPREX,2010,0.1352947792847722,real estate,4
DPREX,2011,0.1289170065798432,real estate,4
DPREX,2012,0.0955218156885006,real estate,2
DPREX,2013,0.1073563217259883,real estate,3
DPREX,2014,0.0887826816005213,real estate,2
DPREX,2015,0.1276070832428806,real estate,4
DPREX,2016,0.1286790411875142,real estate,4
DPREX,2017,0.0943558357715247,real estate,2
DPREX,2018,0.1327816100394681,real estate,4
DPREX,2019,0.0928773218337398,real estate,2
DPREX,2020,0.0972778433125567,real estate,2
DPREX,2021,0.0567737495230853,real estate,1
DPREX,2022,0.0861552433309518,real estate,2
DPREX,2023,0.0698422507350968,real estate,1
DPREX,2024,0.0738633750546232,real estate,1
DPREX,2025,0.0662655356731974,real estate,1
FREAX,1999,0.0943773404894867,real estate,2
FREAX,2000,0.0981371139081517,real estate,2
FREAX,2001,0.1402866266791007,real estate,4
FREAX,2002,0.1125315662424807,real estate,3
FREAX,2003,0.0972453568810677,real estate,2
FREAX,2004,0.1502229617332749,real estate,4
FREAX,2005,0.1077121691065104,real estate,3
FREAX,2006,0.1141413173238219,real estate,3
FREAX,2007,0.1559964212332153,real estate,4
FREAX,2008,0.4196546297341494,real estate,5
FREAX,2009,0.3257290023880397,real estate,5
FREAX,2010,0.1292842454946428,real estate,4
FREAX,2011,0.1272875973013064,real estate,4
FREAX,2012,0.0906673150851088,real estate,2
FREAX,2013,0.1075732846120298,real estate,3
FREAX,2014,0.0847693188207717,real estate,2
FREAX,2015,0.1230583241343205,real estate,3
FREAX,2016,0.1316522293410526,real estate,4
FREAX,2017,0.0905711955419046,real estate,2
FREAX,2018,0.1327127129005518,real estate,4
FREAX,2019,0.1114382547300584,real estate,3
FREAX,2020,0.1914009072599681,real estate,5
FREAX,2021,0.1145451249625613,real estate,3
FREAX,2022,0.1442489011151375,real estate,4
FREAX,2023,0.1412669404556194,real estate,4
FREAX,2024,0.1329790720514095,real estate,4
FREAX,2025,0.1287612832921119,real estate,4
FRESX,1999,0.1030305790365553,real estate,3
FRESX,2000,0.1010717031741522,real estate,3
FRESX,2001,0.0835541548197155,real estate,2
FRESX,2002,0.1197227881196816,real estate,3
FRESX,2003,0.0857863893122931,real estate,2
FRESX,2004,0.1477928855264393,real estate,4
FRESX,2005,0.117685402646028,real estate,3
FRESX,2006,0.1162710231359077,real estate,3
FRESX,2007,0.1626637667894313,real estate,5
FRESX,2008,0.4478173663285095,real estate,5
FRESX,2009,0.3555767918397559,real estate,5
FRESX,2010,0.1396066862251663,real estate,4
FRESX,2011,0.1299450146260988,real estate,4
FRESX,2012,0.0957951860742284,real estate,2
FRESX,2013,0.1106970848878329,real estate,3
FRESX,2014,0.0925756196736821,real estate,2
FRESX,2015,0.1261626334186426,real estate,4
FRESX,2016,0.1345411867508585,real estate,4
FRESX,2017,0.0953108673917745,real estate,2
FRESX,2018,0.1386549402504672,real estate,4
FRESX,2019,0.1111065236301398,real estate,3
FRESX,2020,0.2035072094063952,real estate,5
FRESX,2021,0.1126293691680422,real estate,3
FRESX,2022,0.1455957172688196,real estate,4
FRESX,2023,0.13668785669859,real estate,4
FRESX,2024,0.141250615605301,real estate,4
FRESX,2025,0.1334139252835255,real estate,4
IARAX,1999,0.1020702301100832,real estate,3
IARAX,2000,0.1013348084631741,real estate,3
IARAX,2001,0.0841743898814746,real estate,2
IARAX,2002,0.1166621511549098,real estate,3
IARAX,2003,0.0874489325082389,real estate,2
IARAX,2004,0.1440120778636525,real estate,4
IARAX,2005,0.1112482659847291,real estate,3
IARAX,2006,0.1113195970012992,real estate,3
IARAX,2007,0.1567108830913709,real estate,5
IARAX,2008,0.4314057061520549,real estate,5
IARAX,2009,0.321253424286719,real estate,5
IARAX,2010,0.1263709441455371,real estate,4
IARAX,2011,0.1213841484945262,real estate,3
IARAX,2012,0.091058791352884,real estate,2
IARAX,2013,0.1038214896723565,real estate,3
IARAX,2014,0.0809629586959525,real estate,2
IARAX,2015,0.1161775923311635,real estate,3
IARAX,2016,0.1231108667281631,real estate,3
IARAX,2017,0.0874726421439366,real estate,2
IARAX,2018,0.1270055288696221,real estate,4
IARAX,2019,0.1526928877738771,real estate,4
IARAX,2020,0.1945187347506911,real estate,5
IARAX,2021,0.112668888055236,real estate,3
IARAX,2022,0.152558981576439,real estate,4
IARAX,2023,0.1439829501770739,real estate,4
IARAX,2024,0.1399146305087454,real estate,4
IARAX,2025,0.1309245630413364,real estate,4
PHRAX,1999,0.1098438318764381,real estate,3
PHRAX,2000,0.099889208343454,real estate,3
PHRAX,2001,0.0874843499329578,real estate,2
PHRAX,2002,0.1202745756232071,real estate,3
PHRAX,2003,0.0886466857296213,real estate,2
PHRAX,2004,0.1566872488613032,real estate,5
PHRAX,2005,0.1198003572840593,real estate,3
PHRAX,2006,0.118789163962498,real estate,3
PHRAX,2007,0.1692772399478922,real estate,5
PHRAX,2008,0.4418191414333962,real estate,5
PHRAX,2009,0.3405980751485237,real estate,5
PHRAX,2010,0.1369348207299417,real estate,4
PHRAX,2011,0.1304871239421831,real estate,4
PHRAX,2012,0.0958278830823845,real estate,2
PHRAX,2013,0.1113719161938658,real estate,3
PHRAX,2014,0.0904104245656595,real estate,2
PHRAX,2015,0.1261305490815608,real estate,4
PHRAX,2016,0.1323367679712072,real estate,4
PHRAX,2017,0.0963161183644696,real estate,2
PHRAX,2018,0.1396436749187555,real estate,4
PHRAX,2019,0.1104857538744469,real estate,3
PHRAX,2020,0.2087518704294409,real estate,5
PHRAX,2021,0.1187870148202298,real estate,3
PHRAX,2022,0.1480695925452064,real estate,4
PHRAX,2023,0.1424828275871454,real estate,4
PHRAX,2024,0.137688521363149,real estate,4
PHRAX,2025,0.1289768869733882,real estate,4
RPFRX,1999,0.0997035697943542,real estate,3
RPFRX,2000,0.0992441386716531,real estate,2
RPFRX,2001,0.082881600815656,real estate,2
RPFRX,2002,0.1179270932596388,real estate,3
RPFRX,2003,0.0871175550892199,real estate,2
RPFRX,2004,0.1437839718266494,real estate,4
RPFRX,2005,0.108597946087821,real estate,3
RPFRX,2006,0.098763502253454,real estate,2
RPFRX,2007,0.1265751274862551,real estate,4
RPFRX,2008,0.3428296989399701,real estate,5
RPFRX,2009,0.2601203743622169,real estate,5
RPFRX,2010,0.107558026936157,real estate,3
RPFRX,2011,0.1082965186012603,real estate,3
RPFRX,2012,0.0821943679249984,real estate,2
RPFRX,2013,0.1034343230027417,real estate,3
RPFRX,2014,0.0772445671960215,real estate,1
RPFRX,2015,0.1071101826867288,real estate,3
RPFRX,2016,0.1189332915944448,real estate,3
