,BULIX,EVUAX,FIUIX,FKUTX,FSUTX,FUGAX,GASFX,ICTUX,MMUFX,PRUAX,YEAR_MODE
1999,5,3,5,5,5,6,5,6,2,4,5
2000,8,9,9,9,9,10,9,7,8,8,9
2001,8,8,6,9,8,8,9,7,6,9,8
2002,9,8,9,9,9,9,9,7,7,8,9
2003,3,2,4,4,4,4,4,5,2,3,4
2004,2,2,2,2,2,2,3,5,1,3,2
2005,2,2,2,3,2,2,3,2,2,4,2
2006,1,2,2,2,2,2,2,2,2,3,2
2007,3,3,3,5,6,6,3,3,2,2,3
2008,8,7,8,9,9,9,8,7,8,9,8
2009,5,3,6,6,8,8,5,4,5,4,5
2010,2,2,2,2,3,3,2,2,2,2,2
2011,2,2,2,3,3,3,2,3,1,2,2
2012,2,1,2,2,2,2,2,3,1,1,2
2013,2,2,2,3,3,3,2,4,1,1,2
2014,3,3,2,4,4,5,4,5,2,9,4
2015,4,4,3,7,7,7,6,6,4,5,4
2016,6,5,5,7,7,7,6,7,5,5,5
2017,3,2,2,4,4,4,3,3,2,2,2
2018,6,5,5,7,7,7,6,6,2,5,5
2019,4,3,3,5,4,4,3,3,2,4,3
2020,9,9,8,10,10,10,9,10,8,9,9
2021,5,5,5,7,6,7,5,6,4,4,5
2022,8,8,7,8,8,8,8,7,7,8,8
2023,8,7,6,8,8,8,6,7,7,7,7
2024,8,7,7,8,8,8,6,7,8,8,8
2025,7,6,7,7,8,7,7,7,7,8,7
mode,2,2,2,7,8,7,2,7,2,4,
median,5.0,3.0,5.0,6.0,6.0,7.0,5.0,6.0,2.0,4.0,
switches,19,20,19,21,19,20,18,18,19,21,
inertia,4,4,5,3,4,3,4,4,3,2,
